category_id	count	encoding	sequence
1	43652	5	-1,0
2	28730	8	1,0
3	9041	9	-1,-1
4	5979	13	1,-1
5	5428	20	-1,1
6	1348	26	1,1
7	2970	44	-1,-2
8	451	53	1,-2
9	2093	90	-1,2
10	10	103	1,2
11	1270	170	-1,-3
12	27	188	1,-3
13	1043	299	-1,3
14	1	323	1,3
15	652	495	-1,-4
16	1	526	1,-4
17	643	779	-1,4
18	382	1175	-1,-5
19	2	1223	1,-5
20	483	1710	-1,5
21	312	2414	-1,-6
22	489	3320	-1,6
23	353	4464	-1,-7
24	953	5885	-1,7
25	4295	7625	-1,-8
26	32352	9729	-1,8
27	20710	12245	-1,-9
28	21617	15224	-1,9
29	15324	18720	-1,-10
30	13232	22790	-1,10
31	10919	27494	-1,-11
32	7480	32895	-1,11
33	7147	39059	-1,-12
34	3613	46055	-1,12
35	3783	53955	-1,-13
36	1074	62834	-1,13
37	346	72770	-1,-14
