category_id	count	encoding	sequence
1	601	212	-10,0
2	353	233	10,0
3	232	234	-10,-1
4	1766	255	-11,0
5	286	256	10,-1
6	1815	278	11,0
7	392	279	-11,-1
8	325	281	-10,1
9	2662	302	-12,0
10	668	303	11,-1
11	545	305	10,1
12	2985	327	12,0
13	593	328	-12,-1
14	417	330	-11,1
15	3211	353	-13,0
16	903	354	12,-1
17	850	356	11,1
18	91	359	-10,-2
19	3682	380	13,0
20	830	381	-13,-1
21	477	383	-12,1
22	169	386	10,-2
23	3232	408	-14,0
24	992	409	13,-1
25	869	411	12,1
26	147	414	-11,-2
27	4066	437	14,0
28	1133	438	-14,-1
29	531	440	-13,1
30	273	443	11,-2
31	3100	467	-15,0
32	1068	468	14,-1
33	819	470	13,1
34	217	473	-12,-2
35	141	477	-10,2
36	3681	498	15,0
37	1224	499	-15,-1
38	583	501	-14,1
39	318	504	12,-2
40	291	508	10,2
41	2187	530	-16,0
42	1193	531	15,-1
43	734	533	14,1
44	299	536	-13,-2
45	167	540	-11,2
46	1991	563	16,0
47	1099	564	-16,-1
48	564	566	-15,1
49	349	569	13,-2
50	349	573	11,2
51	1046	597	-17,0
52	1054	598	16,-1
53	608	600	15,1
54	414	603	-14,-2
55	192	607	-12,2
56	754	632	17,0
57	1072	633	-17,-1
58	459	635	-16,1
59	363	638	14,-2
60	324	642	12,2
61	48	647	-10,-3
62	585	669	17,-1
63	480	671	16,1
64	389	674	-15,-2
65	206	678	-13,2
66	92	683	10,-3
67	813	706	-18,-1
68	341	708	-17,1
69	345	711	15,-2
70	281	715	13,2
71	75	720	-11,-3
72	222	746	17,1
73	280	749	-16,-2
74	215	753	-14,2
75	142	758	11,-3
76	231	785	-18,1
77	235	788	16,-2
78	238	792	14,2
79	103	797	-12,-3
80	184	828	-17,-2
81	191	832	-15,2
82	124	837	12,-3
83	167	869	17,-2
84	177	873	15,2
85	144	878	-13,-3
86	76	884	-10,3
87	179	911	-18,-2
88	138	915	-16,2
89	159	920	13,-3
90	168	926	10,3
91	76	958	16,2
92	186	963	-14,-3
93	84	969	-11,3
94	29	998	-19,-2
95	65	1002	-17,2
96	165	1007	14,-3
97	167	1013	11,3
98	15	1047	17,2
99	171	1052	-15,-3
100	89	1058	-12,3
101	26	1093	-18,2
102	142	1098	15,-3
103	162	1104	12,3
104	3	1111	-9,-4
105	105	1145	-16,-3
106	91	1151	-13,3
107	62	1193	16,-3
108	133	1199	13,3
109	33	1206	-10,-4
110	53	1242	-17,-3
111	99	1248	-14,3
112	60	1255	10,-4
113	11	1292	17,-3
114	106	1298	14,3
115	45	1305	-11,-4
116	23	1343	-18,-3
117	87	1349	-15,3
118	86	1356	11,-4
119	80	1401	15,3
120	56	1408	-12,-4
121	59	1454	-16,3
122	98	1461	12,-4
123	22	1508	16,3
124	75	1515	-13,-4
125	23	1523	-9,4
126	19	1563	-17,3
127	82	1570	13,-4
128	1	1619	17,3
129	98	1626	-14,-4
130	48	1634	-10,4
131	2	1676	-18,3
132	88	1683	14,-4
133	111	1691	10,4
134	81	1741	-15,-4
135	46	1749	-11,4
136	67	1800	15,-4
137	106	1808	11,4
138	49	1860	-16,-4
139	50	1868	-12,4
140	21	1921	16,-4
141	71	1929	12,4
142	20	1983	-17,-4
143	45	1991	-13,4
144	3	2046	17,-4
145	74	2054	13,4
146	12	2063	-9,-5
147	9	2110	-18,-4
148	53	2118	-14,4
149	1	2127	9,-5
150	58	2183	14,4
151	24	2192	-10,-5
152	48	2249	-15,4
153	45	2258	10,-5
154	38	2316	15,4
155	30	2325	-11,-5
156	33	2384	-16,4
157	47	2393	11,-5
158	11	2453	16,4
159	32	2462	-12,-5
160	12	2523	-17,4
161	61	2532	12,-5
162	1	2594	17,4
163	53	2603	-13,-5
164	42	2675	13,-5
165	60	2748	-14,-5
166	33	2758	-9,5
167	47	2822	14,-5
168	9	2832	9,5
169	49	2897	-15,-5
170	43	2907	-10,5
171	40	2973	15,-5
172	90	2983	10,5
173	28	3050	-16,-5
174	33	3060	-11,5
175	12	3128	16,-5
176	65	3138	11,5
177	10	3207	-17,-5
178	34	3217	-12,5
179	1	3287	17,-5
180	66	3297	12,5
181	26	3378	-13,5
182	46	3460	13,5
183	23	3543	-14,5
184	30	3627	14,5
185	16	3638	-9,-6
186	26	3712	-15,5
187	5	3723	9,-6
188	23	3798	15,5
189	19	3809	-10,-6
190	16	3885	-16,5
191	39	3896	10,-6
192	2	3973	16,5
193	28	3984	-11,-6
194	3	4062	-17,5
195	47	4073	11,-6
196	26	4163	-12,-6
197	46	4254	12,-6
198	27	4346	-13,-6
199	34	4439	13,-6
200	35	4533	-14,-6
201	29	4628	14,-6
202	24	4724	-15,-6
203	52	4736	-9,6
204	22	4821	15,-6
205	28	4833	9,6
206	14	4919	-16,-6
207	45	4931	-10,6
208	90	5030	10,6
209	6	5118	-17,-6
210	30	5130	-11,6
211	1	5219	17,-6
212	66	5231	11,6
213	24	5333	-12,6
214	7	5436	12,6
215	24	5540	-13,6
216	27	5645	13,6
217	22	5751	-14,6
218	21	5858	14,6
219	16	5966	-15,6
220	12	6075	15,6
221	32	6088	-9,-7
222	14	6185	-16,6
223	18	6198	9,-7
224	29	6309	-10,-7
225	1	6408	-17,6
226	44	6421	10,-7
227	23	6534	-11,-7
228	31	6648	11,-7
229	20	6763	-12,-7
230	19	6879	12,-7
231	17	6996	-13,-7
232	21	7114	13,-7
233	22	7233	-14,-7
234	22	7353	14,-7
235	22	7474	-15,-7
236	16	7596	15,-7
237	10	7719	-16,-7
238	165	7733	-9,7
239	10	7843	16,-7
240	106	7857	9,7
241	3	7968	-17,-7
242	73	7982	-10,7
243	113	8108	10,7
244	33	8235	-11,7
245	59	8363	11,7
246	24	8492	-12,7
247	56	8622	12,7
248	13	8753	-13,7
249	24	8885	13,7
250	10	9018	-14,7
251	13	9152	14,7
252	11	9287	-15,7
253	11	9423	15,7
254	1955	9438	-8,-8
255	6	9560	-16,7
256	544	9575	8,-8
257	1	9698	16,7
258	169	9713	-9,-8
259	2	9837	-17,7
260	103	9852	9,-8
261	50	9992	-10,-8
262	72	10133	10,-8
263	29	10275	-11,-8
264	37	10418	11,-8
265	15	10562	-12,-8
266	34	10707	12,-8
267	24	10853	-13,-8
268	17	11000	13,-8
269	16	11148	-14,-8
270	14	11297	14,-8
271	15	11447	-15,-8
272	10	11598	15,-8
273	6	11750	-16,-8
274	1	11903	16,-8
275	25874	11919	8,8
276	2	12057	-17,-8
277	5021	12073	-9,8
278	1194	12228	9,8
279	200	12384	-10,8
280	235	12541	10,8
281	60	12699	-11,8
282	77	12858	11,8
283	32	13018	-12,8
284	63	13179	12,8
285	20	13341	-13,8
286	18	13504	13,8
287	12	13668	-14,8
288	7	13833	14,8
289	6	13999	-15,8
290	8	14166	15,8
291	3	14334	-16,8
292	2	14673	-17,8
293	15491	14861	-9,-9
294	4750	15033	9,-9
295	237	15206	-10,-9
296	195	15380	10,-9
297	56	15555	-11,-9
298	70	15731	11,-9
299	25	15908	-12,-9
300	3	16086	12,-9
301	19	16265	-13,-9
302	17	16445	13,-9
303	19	16626	-14,-9
304	17	16808	14,-9
305	10	16991	-15,-9
306	4	17175	15,-9
307	7	17360	-16,-9
308	1	17546	16,-9
309	20015	18318	9,9
310	4346	18509	-10,9
311	1120	18701	10,9
312	165	18894	-11,9
313	156	19088	11,9
314	50	19283	-12,9
315	23	19479	12,9
316	18	19676	-13,9
317	23	19874	13,9
318	17	20073	-14,9
319	13	20273	14,9
320	10	20474	-15,9
321	7	20676	15,9
