category_id	count	encoding	ordinal_pattern
1	141270	4	1
2	17662	41	2,1
3	29573	103	1,2
4	267	1170	3,2,1
5	2694	2141	2,3,1
6	413	6099	3,1,2
7	2430	14194	1,3,2
8	48	53952	2,1,3
9	2014	71251	1,2,3
10	1079	695602	4,3,2,1
11	28	812169	3,4,2,1
12	4	2312317	4,2,3,1
13	2269	2910074	2,4,3,1
14	9	7681234	3,2,4,1
15	256	8382461	2,3,4,1
16	1	20018622	3,4,1,2
17	1369	115831808	1,4,3,2
18	272	223037754	3,1,4,2
19	224	240736651	1,3,4,2
20	3	1455921733	4,2,1,3
21	206	7414027333	1,2,4,3
22	1	82929742905	3,1,2,4
23	10	84406462144	1,3,2,4
24	1	118867859567	2,1,3,4
25	30	119831804233	1,2,3,4
26	9003	241939070681	5,4,3,2,1
27	53	243581409427	4,5,3,2,1
28	23	329818582280	5,3,4,2,1
29	6	333972073275	3,5,4,2,1
30	2	447461310998	4,3,5,2,1
31	4	450065653122	3,4,5,2,1
32	8	4276544606457	2,5,4,3,1
33	228	5331051228824	2,4,5,3,1
34	2	29500766215625	5,3,2,4,1
35	2	29621315682420	3,5,2,4,1
36	3	35339207019531	2,5,3,4,1
37	4	49570451543624	2,3,5,4,1
38	4	284408113733642	2,4,3,5,1
39	2	324773947063331	2,3,4,5,1
40	14018	6722618618503198	1,5,4,3,2
41	1422	7356613985963558	1,4,5,3,2
42	27	24891768664725622	3,5,1,4,2
43	1	29019348511295869	1,5,3,4,2
44	25	33687442493396169	3,1,5,4,2
45	246	33711103038692314	1,3,5,4,2
46	35	129011684101740015	3,1,4,5,2
47	5	129076454082168748	1,3,4,5,2
48	2	27491123804168662048	1,5,2,4,3
49	2	30267859818747844796	2,1,5,4,3
50	925	30269800960526846668	1,2,5,4,3
51	1	69837031054107900321	2,4,1,5,3
52	5	76096719543626801251	1,2,4,5,3
53	5	7535358702532023859978	1,2,5,3,4
54	1	27340439601273710908916	2,3,1,5,4
55	28	27716406218134160509151	1,3,2,5,4
56	1	28096237093828930073231	2,1,3,5,4
57	1253	28096563534483707065048	1,2,3,5,4
58	4	764619747434166452074254	3,4,2,1,5
59	370	1296433289786357056749934	1,4,3,2,5
60	2004	1307411205638058986767576	1,3,4,2,5
61	2	3442821028912875784259254	3,2,1,4,5
62	5	3442833051654530433892121	2,3,1,4,5
63	409	3468640012677423114112894	1,3,2,4,5
64	3	3494591786396056605273317	2,1,3,4,5
65	1281	3494603944476652049559658	1,2,3,4,5
