iter	s	map_value	first_derivative	second_derivative	raw_step	damping	accepted	sciml_first_derivative	first_derivative_mismatch
1	2.138971949060	4.433048273863	-8.925627367639e-01	4.684622176370e+03	1.905303572327e-04	1.000000	true	-8.925627367638e-01	1.465494392505e-14
2	2.139162479418	4.432963667091	6.694294249378e-03	4.755483412682e+03	-1.407700052433e-06	1.000000	true	6.694294249392e-03	1.401136151546e-14
3	2.139161071718	4.432963662379	3.777490589111e-07	4.754946755469e+03	-7.944338356188e-11	1.000000	true	3.777490644604e-07	5.549359117947e-15
4	2.139161071638	4.432963662379	-8.515922818867e-13	4.754946725189e+03	0.000000000000e+00	1.000000	true	-8.575268501815e-13	5.934568294780e-15

# final
# s=2.139161071638
# map_value=4.432963662379
# first_derivative=-8.515922818867e-13
# second_derivative=4.754946725189e+03
# event_time=12.182926751265
# event_state=(-2.105460439519, -0.000000000000, 1.719695231955)
# current_state=(1.462587115914, 0.000000000000, 1.321040478488)
# event_time_d1=1.026857830201e+00
# event_time_d2=3.287823271410e+04
# sciml_first_derivative=-8.575268501815e-13
# first_derivative_mismatch=5.934568294780e-15
