direction	step_index	alpha	predicted_s	branch_points	branch_s_min	branch_s_max	used_s0	local_dx	local_dz	local_damping	local_sigma_min	local_sigma_max	local_residual_norm	converged	predictor_only	broke	status	accepted_steps	total_trace_rows	final_s	map_value	first_derivative	second_derivative	correction_abs	state_jump	event_time	current_x	current_y	current_z	event_x	event_y	event_z	event_time_d1	event_time_d2	sciml_first_derivative	first_derivative_mismatch
seed	0	0.400000000000	4.485451975406	0	NaN	NaN	4.485451975406	0.000000000000e+00	0.000000000000e+00	1.000000	NaN	NaN	NaN	true	false	false	ok	4	4	4.458572390102	1.174044495901	-7.496362289110e-13	6.314703010582e-01	2.687958530347e-02	0.000000000000e+00	4.541698483467	2.111533184703	0.000000000000	1.728468286846	-1.083533338620	-0.000000000000	1.139869571390	-7.637160190252e+00	5.265041991213e+01	-7.493607009262e-13	2.755279847328e-16
decreasing	1143	0.000000000000	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.00035017508754377186 to alpha=0.0	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1142	0.000350175088	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0007003501750875437 to alpha=0.00035017508754377186	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1141	0.000700350175	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0010505252626313156 to alpha=0.0007003501750875437	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1140	0.001050525263	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0014007003501750874 to alpha=0.0010505252626313156	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1139	0.001400700350	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0017508754377188595 to alpha=0.0014007003501750874	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1138	0.001750875438	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0021010505252626313 to alpha=0.0017508754377188595	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1137	0.002101050525	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0024512256128064033 to alpha=0.0021010505252626313	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1136	0.002451225613	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.002801400700350175 to alpha=0.0024512256128064033	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1135	0.002801400700	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.003151575787893947 to alpha=0.002801400700350175	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
