alpha	lambda	critical_state	critical_kind	critical_source	critical_theta	critical_theta_dx	critical_theta_dxx	critical_refine_mode	critical_scan_mode	critical_refine_input_x	critical_scan_best_x	critical_scan_left_x	critical_scan_right_x	critical_scan_spacing	critical_trace_len	critical_bracketed	absxmax_count	absxmax_dot_values	status
0.558317	0.200000	1.110225294,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.165898981	1.498840703	NaN	secant_max_iters_best	sign_change_pair	1.095225294	1.215225294	1.095225294	1.110225294	0.015000000	8	true	16	-0.763508507,-0.443570923,-0.389213890,-0.374284372,-0.369300042,-0.367142841,-0.365874285,-0.364949591,-0.364205748,-0.363585110,-0.363060431,-0.362614566,-0.362234699,-0.361910529,-0.361633553,-0.361396679	ok
0.558317	0.202806	1.095225294,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.425516326	-1.493713439	NaN	secant_max_iters_best	sign_change_pair	1.114715252	1.234715252	1.084715252	1.099715252	0.015000000	8	true	16	0.760173158,0.441457628,0.387240873,0.372714020,0.368330189,0.366798326,0.366099752,0.365670211,0.365350093,0.365090944,0.364874905,0.364693036,0.364539420,0.364409474,0.364299473,0.364206311	ok
0.558317	0.205611	1.114715252,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.171282845	1.477119929	NaN	secant_max_iters_best	sign_change_pair	1.099715252	1.219715252	1.099715252	1.114715252	0.015000000	8	true	16	-0.764358509,-0.443841167,-0.390024599,-0.375840848,-0.371602086,-0.370109502,-0.369412192,-0.368975285,-0.368648804,-0.368386515,-0.368170387,-0.367990796,-0.367841126,-0.367716254,-0.367611969,-0.367524839	ok
0.558317	0.208417	1.099715252,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.421600688	-1.481425080	NaN	secant_max_iters_best	sign_change_pair	1.119031894	1.014031894	1.089031894	1.104031894	0.015000000	8	true	16	0.760785025,0.441294285,0.387537200,0.373748992,0.370157663,0.369351325,0.369277213,0.369374315,0.369496036,0.369607326,0.369702049,0.369781030,0.369846456,0.369900552,0.369945251,0.369982171	ok
0.558317	0.211222	1.119031894,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.176371363	1.458156916	NaN	secant_max_iters_best	sign_change_pair	1.119031894	1.239031894	1.104031894	1.119031894	0.015000000	8	true	16	-0.765172265,-0.444063199,-0.390755490,-0.377283037,-0.373752421,-0.372880778,-0.372704244,-0.372699047,-0.372730034,-0.372764054,-0.372793906,-0.372818718,-0.372839020,-0.372855549,-0.372869011,-0.372879937	ok
0.558317	0.214028	1.119031894,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.175750552	1.472409331	NaN	secant_max_iters_best	sign_change_pair	1.104031894	1.224031894	1.104031894	1.119031894	0.015000000	8	true	16	-0.765204265,-0.443881375,-0.390789963,-0.377663272,-0.374502583,-0.373962076,-0.374061173,-0.374279338,-0.374489723,-0.374667372,-0.374812040,-0.374928584,-0.375022130,-0.375097081,-0.375157153,-0.375205242	ok
0.558317	0.216834	1.104031894,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.419339098	-1.472624144	NaN	secant_max_iters_best	sign_change_pair	1.123494037	1.243494037	1.093494037	1.108494037	0.015000000	8	true	16	0.762017678,0.441820346,0.388857773,0.376120622,0.373545266,0.373601299,0.374221987,0.374868470,0.375421600,0.375870409,0.376228456,0.376512296,0.376736751,0.376913965,0.377053771,0.377164015	ok
0.558317	0.219639	1.123494037,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.181038001	1.451549887	NaN	secant_max_iters_best	sign_change_pair	1.108494037	1.228494037	1.108494037	1.123494037	0.015000000	8	true	16	-0.766046390,-0.444097035,-0.391466239,-0.378979940,-0.376436350,-0.376408663,-0.376908755,-0.377433256,-0.377875472,-0.378227638,-0.378503138,-0.378717353,-0.378883522,-0.379012284,-0.379111996,-0.379189174	ok
0.558317	0.222445	1.108494037,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.415519741	-1.464322384	NaN	secant_max_iters_best	sign_change_pair	1.126247476	1.246247476	1.096247476	1.111247476	0.015000000	8	true	16	0.762631934,0.441645345,0.389084832,0.376993759,0.375083072,0.375700301,0.376751680,0.377713160,0.378490223,0.379094810,0.379558987,0.379913438,0.380183506,0.380388989,0.380545251,0.380664013	ok
0.558317	0.225251	1.126247476,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.183823007	1.449671865	NaN	secant_max_iters_best	sign_change_pair	1.111247476	1.231247476	1.111247476	1.126247476	0.015000000	8	true	16	-0.766592838,-0.444069130,-0.391841074,-0.379939487,-0.377959329,-0.378380708,-0.379206870,-0.379956968,-0.380550504,-0.381001496,-0.381339642,-0.381592034,-0.381780114,-0.381920197,-0.382024540,-0.382102256	ok
0.558317	0.228056	1.111247476,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.414215216	-1.455693996	NaN	secant_max_iters_best	sign_change_pair	1.130657252	1.250657252	1.100657252	1.115657252	0.015000000	8	true	16	0.763472406,0.441992463,0.389890646,0.378374804,0.376960296,0.377926334,0.379189381,0.380260711,0.381080250,0.381686442,0.382129667,0.382452478,0.382687351,0.382858302,0.382982785,0.383073479	ok
0.558317	0.230862	1.130657252,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.188987634	1.429897978	NaN	secant_max_iters_best	sign_change_pair	1.130657252	1.250657252	1.115657252	1.130657252	0.015000000	8	true	16	-0.767422973,-0.444232701,-0.392374769,-0.380965783,-0.379403058,-0.380101638,-0.381079962,-0.381895049,-0.382500594,-0.382934938,-0.383243268,-0.383461673,-0.383616522,-0.383726467,-0.383804689,-0.383860386	ok
0.558317	0.233667	1.130657252,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.188398403	1.444001674	NaN	secant_max_iters_best	sign_change_pair	1.115657252	1.235657252	1.115657252	1.130657252	0.015000000	8	true	16	-0.767463008,-0.444029433,-0.392325123,-0.381148276,-0.379792481,-0.380621320,-0.381657041,-0.382480394,-0.383067632,-0.383472743,-0.383749829,-0.383939442,-0.384069641,-0.384159425,-0.384221535,-0.384264677	ok
0.558317	0.236473	1.115657252,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.411861040	-1.445122547	NaN	secant_max_iters_best	sign_change_pair	1.135268843	1.255268843	1.105268843	1.120268843	0.015000000	8	true	16	0.764690937,0.442347525,0.390821328,0.380002260,0.379100357,0.380305528,0.381584882,0.382538713,0.383182050,0.383601723,0.383873448,0.384050051,0.384165832,0.384242392,0.384293430,0.384327743	ok
0.558317	0.239279	1.135268843,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.193834788	1.421769917	NaN	secant_max_iters_best	sign_change_pair	1.120268843	1.240268843	1.120268843	1.135268843	0.015000000	8	true	16	-0.768329929,-0.444187545,-0.392769618,-0.381918651,-0.380734328,-0.381550194,-0.382448786,-0.383083120,-0.383479820,-0.383718301,-0.383860788,-0.383946804,-0.383999603,-0.384032601,-0.384053598,-0.384067140	ok
0.558317	0.242084	1.120268843,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.407899137	-1.435979289	NaN	secant_max_iters_best	sign_change_pair	1.139621855	1.259621855	1.109621855	1.124621855	0.015000000	8	true	16	0.765291047,0.442116778,0.390858268,0.380408250,0.379729437,0.380925306,0.382018400,0.382706195,0.383080000,0.383267010,0.383355472,0.383395578,0.383413152,0.383420590,0.383423615,0.383424787	ok
0.558317	0.244890	1.139621855,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.198861210	1.403176448	NaN	secant_max_iters_best	sign_change_pair	1.139621855	1.259621855	1.124621855	1.139621855	0.015000000	8	true	16	-0.769147235,-0.444282453,-0.393076591,-0.382402500,-0.381167308,-0.381711970,-0.382230346,-0.382482331,-0.382554698,-0.382544661,-0.382508540,-0.382471257,-0.382441025,-0.382418963,-0.382403706,-0.382393495	ok
0.558317	0.247695	1.139621855,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.198302764	1.416554320	NaN	secant_max_iters_best	sign_change_pair	1.124621855	1.244621855	1.124621855	1.139621855	0.015000000	8	true	16	-0.769196403,-0.444066343,-0.392947918,-0.382345324,-0.381051695,-0.381399556,-0.381654680,-0.381651465,-0.381516838,-0.381356568,-0.381219040,-0.381116387,-0.381045302,-0.380998148,-0.380967704,-0.380948359	ok
0.558317	0.250501	1.124621855,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.405666019	-1.423101867	NaN	secant_max_iters_best	sign_change_pair	1.144165525	1.264165525	1.114165525	1.129165525	0.015000000	8	true	16	0.766519841,0.442407260,0.391501274,0.381245561,0.380258559,0.380677496,0.380787598,0.380541820,0.380166884,0.379815321,0.379543037,0.379352400,0.379226605,0.379146490,0.379096605,0.379065958	ok
0.558317	0.253307	1.144165525,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.203580886	1.395706421	NaN	secant_max_iters_best	sign_change_pair	1.129165525	1.249165525	1.129165525	1.144165525	0.015000000	8	true	16	-0.770047807,-0.444149365,-0.393119620,-0.382395863,-0.380570123,-0.380088731,-0.379469009,-0.378732259,-0.378068543,-0.377563529,-0.377216349,-0.376992178,-0.376852912,-0.376768516,-0.376718088,-0.376688270	ok
0.558317	0.256112	1.129165525,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.401862283	-1.416940148	NaN	secant_max_iters_best	sign_change_pair	1.148488471	1.028488471	1.118488471	1.133488471	0.015000000	8	true	16	0.767127283,0.442162944,0.391385253,0.381108537,0.379629881,0.379116159,0.378148731,0.376960636,0.375898860,0.375105063,0.374571715,0.374236210,0.374033699,0.373914570,0.373845561,0.373806010	ok
0.558317	0.258918	1.148488471,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.208511092	1.377886341	NaN	secant_max_iters_best	sign_change_pair	1.148488471	1.268488471	1.133488471	1.148488471	0.015000000	8	true	16	-0.770857736,-0.444173314,-0.393127123,-0.382015314,-0.379213603,-0.377399491,-0.375493975,-0.373772155,-0.372465227,-0.371585258,-0.371036998,-0.370712000,-0.370525321,-0.370420194,-0.370361647,-0.370329350	ok
0.558317	0.261723	1.148488471,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	0.207981046	1.390673651	NaN	secant_max_iters_best	sign_change_pair	1.133488471	1.253488471	1.133488471	1.148488471	0.015000000	8	true	16	-0.770915039,-0.443942675,-0.392890997,-0.381564943,-0.378176455,-0.375523194,-0.372800358,-0.370462871,-0.368767845,-0.367672430,-0.367015707,-0.366640579,-0.366432735,-0.366319816,-0.366259175,-0.366226812	ok
0.558317	0.264529	1.133488471,0.000000000,1.432125950	maximum	continued_angle_secant_max_iters_best	1.399710318	-1.401671077	NaN	secant_max_iters_best	sign_change_pair	1.153002340	1.273002340	1.123002340	1.138002340	0.015000000	8	true	16	0.768362375,0.442365224,0.391609813,0.380623533,0.377205934,0.373929598,0.370269433,0.367061046,0.364741225,0.363264275,0.362398318,0.361916834,0.361658062,0.361521951,0.361451297,0.361414940	ok
