category_id	count	encoding	sequence
1	141837	14	-1,0,0
2	122898	19	1,0,0
3	4744	34	1,-1,0
4	13012	35	-1,0,-1
5	9959	43	1,0,-1
6	7145	65	-1,-1,-1
7	10852	76	1,-1,-1
8	764	118	1,-2,0
9	11100	152	-1,0,1
10	4416	169	1,0,1
11	72	209	-1,-2,-1
12	2861	229	1,-2,-1
13	8258	252	-1,-1,1
14	3775	274	1,-1,1
15	248	349	1,-3,0
16	729	405	-1,1,1
17	3697	433	1,1,1
18	29	560	-1,-3,-1
19	1035	593	1,-3,-1
20	836	664	1,-2,1
21	4570	740	-1,0,-2
22	2293	778	1,0,-2
23	113	859	1,-4,0
24	2348	1080	-1,-1,-2
25	2419	1126	1,-1,-2
26	4	1274	-1,-4,-1
27	486	1324	1,-4,-1
28	225	1429	1,-3,1
29	1216	1539	-1,1,-2
30	1502	1594	1,1,-2
31	59	1828	1,-5,0
32	1680	2144	-1,-2,-2
33	1456	2209	1,-2,-2
34	4	2555	-1,-5,-1
35	260	2626	1,-5,-1
36	88	2773	1,-4,1
37	4484	3239	-1,0,2
38	1123	3319	1,0,2
39	33	3484	1,-6,0
40	21	3915	-1,-3,-2
41	525	4003	1,-3,-2
42	1454	4277	-1,-1,2
43	965	4369	1,-1,2
44	157	4751	1,-6,-1
45	44	4948	1,-5,1
46	1228	5564	-1,1,2
47	328	5669	1,1,2
48	24	6103	1,-7,0
49	9	6669	-1,-4,-2
50	238	6784	1,-4,-2
51	1881	7139	-1,-2,2
52	341	7258	1,-2,2
53	1	7874	-1,-7,-1
54	100	7999	1,-7,-1
55	24	8254	1,-6,1
56	659	9178	1,2,2
57	14	10009	1,-8,0
58	5	10730	-1,-5,-2
59	124	10876	1,-5,-2
60	5	11324	-1,-3,2
61	111	11474	1,-3,2
62	2152	12089	-1,0,-3
63	821	12244	1,0,-3
64	2	12560	-1,-8,-1
65	67	12718	1,-8,-1
66	13	13039	1,-7,1
67	938	14877	-1,-1,-3
68	804	15049	1,-1,-3
69	5	15574	1,-9,0
70	2	16470	-1,-6,-2
71	73	16651	1,-6,-2
72	39	17389	1,-4,2
73	614	18144	-1,1,-3
74	395	18334	1,1,-3
75	56	19304	1,-9,-1
76	13	19699	1,-8,1
77	809	21944	-1,-2,-3
78	487	22153	1,-2,-3
79	9	23218	1,-10,0
80	2	24309	-1,-7,-2
81	43	24529	1,-7,-2
82	22	25423	1,-5,2
83	4	26334	-1,2,-3
84	378	26563	1,2,-3
85	4	27965	-1,-10,-1
86	43	28201	1,-10,-1
87	4	28678	1,-9,1
88	513	31374	-1,-3,-3
89	252	31624	1,-3,-3
90	7	33409	1,-11,0
91	1	34715	-1,-8,-2
92	27	34978	1,-8,-2
93	10	36044	1,-6,2
94	2348	38780	-1,0,3
95	483	39058	1,0,3
96	2	39620	-1,-11,-1
97	42	39901	1,-11,-1
98	7	40468	1,-10,1
99	5	43659	-1,-4,-3
100	124	43954	1,-4,-3
101	693	45450	-1,-1,3
102	395	45751	1,-1,3
103	8	46663	1,-12,0
104	1	48204	-1,-9,-2
105	26	48514	1,-9,-2
106	10	49768	1,-7,2
107	635	52974	-1,1,3
108	122	53299	1,1,3
109	3	54614	-1,-12,-1
110	43	54944	1,-12,-1
111	7	55609	1,-11,1
112	63	59683	1,-5,-3
113	511	61424	-1,-2,3
114	133	61774	1,-2,3
115	14	63544	1,-13,0
116	2	65340	-1,-10,-2
117	15	65701	1,-10,-2
118	7	67159	1,-8,2
119	110	70875	-1,2,3
120	59	71251	1,2,3
121	1	73535	-1,-13,-1
122	62	73918	1,-13,-1
123	7	74689	1,-12,1
124	1	79002	-1,-6,-3
125	42	79399	1,-6,-3
126	666	81405	-1,-3,3
127	57	81808	1,-3,3
128	30	84664	1,-14,0
129	15	87151	1,-11,-2
130	2	88829	1,-9,2
131	172	93526	1,3,3
132	7	97019	-1,-14,-1
133	101	97459	1,-14,-1
134	9	98344	1,-13,1
135	1	103284	-1,-7,-3
136	23	103738	1,-7,-3
137	9	106029	-1,-4,3
138	20	106489	1,-4,3
139	1226	109277	-1,0,-4
140	377	109744	1,0,-4
141	93	110683	1,-15,0
142	1	113049	-1,-12,-2
143	13	113524	1,-12,-2
144	2	115438	1,-10,2
145	515	123752	-1,-1,-4
146	388	124249	1,-1,-4
147	9	125750	-1,-15,-1
148	341	126251	1,-15,-1
149	18	127258	1,-14,1
150	19	133384	1,-8,-3
151	19	136501	1,-5,3
152	362	139655	-1,1,-4
153	175	140183	1,1,-4
154	1	142309	1,-16,0
155	3	144990	-1,-13,-2
156	16	145528	1,-13,-2
157	3	147694	1,-11,2
158	252	157079	-1,-2,-4
159	212	157639	1,-2,-4
160	34	160460	-1,-16,-1
161	1482	161026	1,-16,-1
162	42	162163	1,-15,1
163	13	169069	1,-9,-3
164	1	172576	1,-6,3
165	104	176120	-1,2,-4
166	110	176713	1,2,-4
167	3	183314	-1,-14,-2
168	32	183919	1,-14,-2
169	4	186353	1,-12,2
170	282	196877	-1,-3,-4
171	115	197504	1,-3,-4
172	126	203839	1,-16,1
173	1	210924	-1,-10,-3
174	8	211573	1,-10,-3
175	10	215494	1,-7,3
176	152	220114	1,3,-4
177	2	228825	-1,-15,-2
178	108	229501	1,-15,-2
179	3	232219	1,-13,2
180	245	243950	-1,-4,-4
181	62	244648	1,-4,-4
182	8	261724	1,-11,-3
183	2	266083	1,-8,3
184	1487	276395	-1,0,4
185	239	277138	1,0,4
186	7	282375	-1,-16,-2
187	502	283126	1,-16,-2
188	6	286144	1,-14,2
189	1	299150	-1,-5,-4
190	31	299923	1,-5,-4
191	415	305370	-1,-1,4
192	191	306151	1,-1,4
193	9	320398	1,-12,-3
194	1	325219	1,-9,3
195	387	336609	-1,1,4
196	56	337429	1,1,4
197	1	345694	1,-17,-2
198	13	349028	1,-15,2
199	23	364229	1,-6,-4
200	172	370229	-1,-2,4
201	70	371089	1,-2,4
202	1	387639	-1,-13,-3
203	10	388519	1,-13,-3
204	4	393826	1,-10,3
205	154	406350	-1,2,4
206	28	407251	1,2,4
207	52	421819	1,-16,2
208	10	438514	1,-7,-4
209	259	445095	-1,-3,4
210	28	446038	1,-3,4
211	1	466094	-1,-14,-3
212	21	467059	1,-14,-3
213	1	472876	1,-11,3
214	23	487576	1,3,4
215	7	523774	1,-8,-4
216	327	530964	-1,-4,4
217	9	531994	1,-4,4
218	3	555984	-1,-15,-3
219	51	557038	1,-15,-3
220	2	563389	1,-12,3
221	57	579424	1,4,4
222	5	621053	1,-9,-4
223	11	628880	-1,-5,4
224	9	630001	1,-5,4
225	801	639014	-1,0,-5
226	202	640144	1,0,-5
227	4	658377	-1,-16,-3
228	223	659524	1,-16,-3
229	3	666433	1,-13,3
230	328	693252	-1,-1,-5
231	192	694429	1,-1,-5
232	5	731443	1,-10,-4
233	5	741151	1,-6,4
234	264	750924	-1,1,-5
235	96	752149	1,1,-5
236	1	783124	1,-14,3
237	150	812174	-1,-2,-5
238	111	813448	1,-2,-5
239	3	856084	1,-11,-4
240	1	866584	1,-7,4
241	123	877149	-1,2,-5
242	49	878473	1,2,-5
243	4	914626	1,-15,3
244	123	945999	-1,-3,-5
245	63	947374	1,-3,-5
246	1	994754	-1,-12,-4
247	6	996164	1,-12,-4
248	3	1007488	1,-8,4
249	6	1018877	-1,3,-5
250	37	1020304	1,3,-5
251	29	1062151	1,-16,3
252	111	1095939	-1,-4,-5
253	38	1097419	1,-4,-5
254	1	1151402	-1,-13,-4
