delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-21.676677	-48.909343	0.827700	continued:5	8352498601412987157708100408081045314443024071805717307011454261589101510873036433520156288977764562727073345745050344384930195959430197932636943611677858846448758654092985358458435628857450546621697923211907888040104129420094007492928623907878413315025214675487164322609096007371749195529090864569267457653631491832474549004252385390104214652454744367559207625791910077989239114536782426985172441239454048985429248332349496877479511779065208508330075442935	366481715405715731962596174397444440908455712741162102914110832793314761922936292764514381936613372230179767396689286848869507597465646051778853571428291151001728050930368358616371535361151067924191428222632645529644055766533646718495586543366520525329522903110985262384518307663129317329354385246919949293235804075654703289329040502504229108930801364953353666404678814844240652374841100665865750576806539387365235557426456704359129682260473354050959388286863046125455298208065373839172819990677	-1,0,0,-1,0,0,-2,0,0,-1,0,0	9,0,1,1,0,-1,0,0,1,0,1	ok
-1.498999	-21.676677	-49.390943	0.827533	full	8067940240179150680394498152343124972424911185907480226438920339494135963496769885790026879945403128675075272239513366052759240475467164326274798759783701694809759236058242510397447539321268101088763272570741884948934569945956734017627362490587001769147619717162024209794954485964714915033950955462247936492051480314513415459401808790702885383324379057275303635610640146112485357540810985041104304147842963993202528577298504762268943465734739027690415056560	33032701735202027271568386963317446622376241121974003680697707778774957962361003091448334477933670956723834238370696406423576515736770325713569793206447155995347438486510207164320738434158203560325074981346707867851135049232278225434531030637154395321508231840725921769819028634435980776554120313705314364408196832833513500457586937463964522393011666631619079182000885236055812355566519193439832701698523487813192321645997095908360927289200808768972686068185001621832551012492836246908763060744437557059706428942976264992884139005486111198324747870260237582055427420722548632030639227	-1,0,0,-1,0,0,-1,0,0,-1,0,0	9,0,1,1,2,0,-2,0,0,1,1	ok
-1.497998	-21.676677	-45.841165	0.836405	continued:5	3983866135364168678889339414224089154291373861747978084723549004727453930404120066659850440947719580815251661078836911524693515402100988475723638231307403250328948043068199310775086421596231039130151809659082017063062102840627469012547789875238954672368457687491305909354533574630653988598709335796403742461797504087696212525318625799690913106450472726609066255683503647063719484572600866114517557943902421873612466318893943100742606310036091754362134656434893196214320693822349319158915214117669469763379769223162516056537825963024035186595307863552976165473484532109949982162048050216913327861046725830451438497553249868397266405672006004441195925819679573740066180411315668925140113354457952541385980597913555283295999660593995495090697511410826599474489442342877298039843389129377139306945948174199972431264549992540509814064898948245891498236997944675159578301834355976425104342277922804108128924216423455526955573359000026391754832268710	169716751257881361235217606105813015915218689641031436236618859449494658901743100276389108847189445143401373411285386692619921704634868842314335011614796076107985334943805737580479437460204426674272379914805673665631687343734206308282737238620285514441243074063950605744332698833853054536184089553440258304884315308036585590419213095400009980955913940441242265271378417749759428223291304010958442057	-1,0,0,1,0,-2,0,0,-1,0,0,1	9,0,1,2,0,0,6,0,4,0,0	ok
-1.496997	-21.676677	-46.522945	0.833612	continued:5	13724449754139436083536514044772290754877491272492097571162174935642512107488564324085961424081595053582515107570763713032684975464898115641230248857712332600869745867838655423337524118437253559387228222921215409313921488119433725331260748011120895184879459831003745270050948704860346254595110270895804632429003612166176056038226036222044804989131652726836179689555003061636068482521652129867828455534191127664033078901362086869720453315090313138724790923327125058990651957824855170979263299791625984685394271421067402723577898366956025378634105641909297043967811458530526064151994384075153104895984882368266539213243687708923080424976370455	8079242593079363097741409477585305397229343788609040917790213742280820468532980580877224078920100303261927820380220537335567242091860587494091945532767026853428776025994154827907749579086794944786028542896500661967128738398255378229368775574774174854682706011589047094391776316954468271770890363364783362783259688199548710033152184754860286083603120932866093586084293703114215849048977436024489894098826184358220977390465721371458703486048596840724338429963408951521229208741937903825053247575532543826210531297039196965269391480705148816422693153982895728670073002989377750707981225352844189892519904296582106030086573996482885488997318523310057159513927363438833195734250607489242850026059633364511616583558184951869911471057213115031678044894974797826226714970822465578481898093624745957684262215937800898859032962401092392742382050235	-1,0,0,1,0,0,-8,0,0,1,-1,0	9,0,1,3,0,1,1,0,1,4,1	ok
-1.495996	-21.676677	-47.178092	0.830819	continued:5	107123325930662514908083518406527135234727114974264314647169181119293077755500305522952584142997726233351318749872699796510851642711747856247022953926667077396923104329715610871201927510527595364950326173839496520809087198289240926406197255925970860112357329028837522655682516678912099586608713110764785943814051814712769005179248691661440219187476899926990075459333686207988203327069577234852913243680930081612417658927823633258823916340899212899838825253168352236352342451760013052639505066807543943987045614730584263977466573265547058331722734096091133777445830623504537776747599856081252325621362609302329064689806501918935776045220568999069059183743944852686581864420931853673516639862750142729470175214874891140857126329828504605008270133912958363247346419977458103366700274071478726445949596678148737840921669743121112636445856784798482232777664158565623433890416319060459693246782392665541947908049999325357955699784799376922084132815904745072168155340347230216832428381538681196873158966805253740957937724790813982862191116572889257034365930772145183845098258831847491173151103356668671183136644949258458511395617345332390552041857160443613889492485587556297398017942118716067081902276597267074876672461487406387667882762953146161015392441143867929479391484321149973595019522992237207643001710650730582073418755569412073367203508382862825607352760942876427557753755109016418616159291612054330232831049100562407178934331320544835099123968972194648410790049958888027352191283822870817375374076208113032867127816392355129044684817470215284359346825853562591258027034872093559289328106806451865410805928001043119056889110260001531400554544207965	125740883776749960542965112079284393194526242675748263632563027594810207214714990394087932435074421782113507982169998998424902305965176138671283053936853810491528896410741305837609738284149106716388321734910740223933628190086890642904699645856771696289732287818132469791263423141311417607930048559203997261551397849182440642396313949652168905554477880930204550853303505301472911670057080682880960569462246566880575706865238876804251773232346760806985798340268989209840339417880636403841752458807847759388778590974061632101404526753293278904518372964144389369964044718250418591502332117	-1,0,0,1,0,1,-1,0,0,1,0,2	9,0,1,5,-1,0,0,1,0,1,1	ok
-1.494995	-21.676677	-47.803267	0.828566	continued:5	2492861802993470600508759046752084194881561588339448330816579942824418211439075468345433507293538251938513455879159922972998669048552996352688730077138499138624122667316460711712206187826636979912689423470625304010988148074360892102976174903360163512072000673009189707118555823221805547793690413519074232390812578210482013776011554774143854190057252312270805325757146773427927791606671982923390667086740871032232202001842254884978489109933268518089122681291315030618636135830579089310948218783405448749534732850397746817615606424136989254819433545441760841537389334333637770907236608247572565236202150598495111650640328122685811693831028337094744803148853386625101412382745512606139493044820227245443512818486449519866815065277500838932451575617795780014702946372531713461420610763669388269407808403998624737952894428603971599034161637897765351067289339375441324947856514004707243749161331280289183420913826674156957867408567494639297903365702738426757165625444749352423983066948860018526754358536337982914960094768666448454450931633795413425751704703578380609954813420459096774682347348686264269928235912884141649525903781081489887381785356506308214395206611338211096368546437971935174504690747352223772471596982996442823372984377055375526346821023670911766526496525044936466976793635266552215604533058530040755051040313084048111093900582755448327933961950102648848452977898970835227063478791984432949655704194924939623187413101420215246389853967032766140979465155771297787294409778177118184019084787662206716340904973101975950712521398783320195014815775312515968134843175	780938744798779424725028333404469009034742704212039081780945569677354873295925247786212376186777950488796711152596821050164147900606897280595475402659785807833008976703085683154670867701536009069382920284790086364959274506708276303313597914669975730743322859445403251595260533423452222705854748354866679393909507677892893865323640063378718750166745482304095105382561431900366290302289275810002428897212200598510995011267853037539097463696756919244957770748654308107732252467351627	-1,0,0,1,0,5,6,0,-3,0,-6	9,0,1,7,1,0,2,8,2,2	ok
-1.493994	-21.676677	-48.389444	0.827317	continued:5	402908558307349545725277204673293880434784014890995377123101798289933653003490986729219990195330962015637680522948090823176416258116066433649490975214897305393237966707137120005084053380201770933732858930474480710333342902086455050820449831251632072293041276753228708787380748602107385676542379168542306480111198061730383033701174040417539476159246581450830230015446237308673532430425431672737109580203156534820671975983773302704005113983621824763032464256445660681977698933603964601492322632607878377097976250052400826739937852186589958965587682233064029393040674867624000488649971239557724949038597042266734702744299443128150529033641038978755918239228070299617992657304405421420858986267794071846724289576041561025814347820513787683435288091646250231114084844819022103015924119102962510988218280360902680713574623811755227112812741427477421670358741441221602403655417952001469014882797838370951127757210831202663556065271427956961629708922667082657305245817997764809501384117198660795091033477757497662611152116029857042905886009601871221580715974028947182155480811393632878714741104735060496991332016227637940472253969886912648260813049239129076614738468664930721232575591837324940152789245345811996149676413724515120163340206513699203257636479284560479502634828475487238672837253213328485566982576725	96306833710468062845858982567579332849879516800303481800157020105767267534927047812452861514929143308094716069489209215132523445012946553308413205938363103547430531093201089203490971773868983894722788812689565701779448235864707500135494345233171388806167260345845282442909811683056553511128633140413880930664837419751838191367102663362344735341105644150708653416573340431410382146592591694989367292775035777027	-1,0,0,1,-1,0,0,1,-1,0,0,-2	9,0,1,8,0,8,-7,0,0,2	ok
-1.492993	-21.676677	-48.925399	0.826943	continued:5	2155368924498612508883806687960500907001581771903718112291152722002693540458812603883704833539041951204994673828172891640085657190167140166134471371609320279057593489455192552801269951311391318262334462067132341421731437193785575339163722575432860557198917351523550551271416766389329395847776982999305844458889355016945339512392750568861901980976288428334328028309868053055581679366416710485079481040069560517044431561206491175321483792713688520609820792149666976141211375944531601451451645594149801415689021558897960252901097034694914938595903188544585245273704624211998855930929659493119440614821184396802886161651660554784762598989168375131477244825318316186537423107398180640935697198089473858669272215235280934525613742591750659595711048086059707215309650685923748851459595498061607810	9330740579781702853677603516531953608768842300341438731686377974030399604680276626137251633381241576441752776617133785068833965145385341989334745202822731622830756313699450076412594654488648710948803924630708734946836230069855201594281050443528066598851797321310045497784949079183782144382213309819606277407138523178842269669219731587769928531806404776848974816681207487	-1,0,0,1,1,6,-9,0,0,5,0	9,0,-2,-1,0,0,3,1,-2,0,-1	ok
-1.491992	-21.676677	-49.403972	0.826569	full	12187217872283550177624981299388460566877282933040505025831721576125477818316177604836110652266723017321954869928884403585274019724645825464378700424554841530027691242224970511703678802411315321153013258691020315242482550100342114250393793992190	6101142529532620419967470117037850383898902559313089376646826706168832919729309978979004993775790537415805181407123341316333531220830556042026762600167561628494660558583326911165236668852223065071026425677789244459169450122899661546939620344975696375951379549662789871470446960750131488682536122306237366294425641184631305022883447207880547669950447607585867189530304923729051795909117	-1,0,0,1,3,7,4,1,-1,0,0	9,0,-2,0,0,-3,0,0,2,0,-1	ok
-1.490991	-21.676677	-45.862322	0.835551	continued:5	69437733690602322627926596734351948175993121080827256797774486221333082571376306985181227918337416337139512094796927963176120191162026590230821433977147968826315066330208419063751909417985495691578409467710118343283666480071937941243756994411124916132099582429735973571922498192501814127280508596222855902956747421495730792610431636451731472631945485026142541466509688781582735817403056341368131842941059911014053101473496133080386864101003650204270641532698829495563696906915422504290675563124553229231305321916541591225275108200133588690077489991277079431052684529248868593528343531585816432939785690842768736490293111364541555188986641125393063351991216515534486699885884803375886380095638363701132351807360396129951514249950720089943892335340993288023110150301026882930208560856138763158676041670013996822646656524189905028221856680609272297771658645642819692643435178218738099980144242403018597248701851950086811514107193209694228949393168781642797772334893273673595243177489939127572302832599682250154681135609658584059516111483586486721222184161866587545569798863257500184233980765511005590665004460741480625289093479544444909265983472128579355941201717892855864987815684460900075758503610780142905575948727693581710033318844986756439546798827	564046839238615231273279242967214367380332841833962282079140236308838592731145688977183061223755357895938259287300971148297799676114006036335368731789308478715512528630683497434768907428049033844898352471935188119455180032163099326424252406110688505656905075924224975271626237757	-1,0,0,2,0,1,1,0,3,-9,0,1	9,0,-2,0,0,2,0,1,0,-1,0	ok
