category_id	count	encoding	sequence
1	82684	2600339	-1,0,0,0,0,0
2	99846	2602619	1,0,0,0,0,0
3	6	2757724	1,-1,0,0,0,0
4	1	3088853	1,-2,0,0,0,0
5	23	4753985	-1,0,-1,0,0,0
6	43	4757068	1,0,-1,0,0,0
7	4	5000701	1,-1,-1,0,0,0
8	2	8394752	-1,0,1,0,0,0
9	2	8398849	1,0,1,0,0,0
10	3	14356760	-1,0,-2,0,0,0
11	8	14362118	1,0,-2,0,0,0
12	5	14919451	1,-1,-2,0,0,0
13	1	15492959	1,1,-2,0,0,0
14	2534	27258035	-1,0,0,-1,0,0
15	1005	27265418	1,0,0,-1,0,0
16	3	38557369	1,0,-3,0,0,0
17	1	39725239	1,-1,-3,0,0,0
18	33	43417220	-1,0,-1,-1,0,0
19	391	43426538	1,0,-1,-1,0,0
20	3	44703238	1,-1,-1,-1,0,0
21	1	60824933	1,0,3,0,0,0
22	10	67634264	-1,0,1,-1,0,0
23	60	67645894	1,0,1,-1,0,0
24	1	69425434	1,-1,1,-1,0,0
25	2	93810752	-1,0,-4,0,0,0
26	4	93824449	1,0,-4,0,0,0
27	8	103212527	-1,0,-2,-1,0,0
28	26	103226894	1,0,-2,-1,0,0
29	3	105669451	1,-1,-2,-1,0,0
30	2	154536989	-1,0,2,-1,0,0
31	9	154554569	1,0,2,-1,0,0
32	1	214420984	1,-1,-5,0,0,0
33	1	227345825	-1,0,-3,-1,0,0
34	3	227367148	1,0,-3,-1,0,0
35	411	250174895	-1,0,0,1,0,0
36	656	250197263	1,0,0,1,0,0
37	3	329076683	1,0,3,-1,0,0
38	1	334900138	1,-1,3,-1,0,0
39	1	359079800	-1,0,-1,1,0,0
40	5	359106598	1,0,-1,1,0,0
41	2	439546423	1,0,-6,0,0,0
42	1	469113764	-1,0,-4,-1,0,0
43	1	469144394	1,0,-4,-1,0,0
44	1	476740879	1,-1,-4,-1,0,0
45	2754	524475077	-1,0,0,0,-1,0
46	1526	524507464	1,0,0,0,-1,0
47	3	659516719	1,0,4,-1,0,0
48	1	669322576	1,-1,4,-1,0,0
49	1	709834679	1,0,-2,1,0,0
50	1645	730709105	-1,0,-1,0,-1,0
51	465	730747333	1,0,-1,0,-1,0
52	413	741336763	1,-1,-1,0,-1,0
53	1	866049770	-1,0,-7,0,0,0
54	2	866091388	1,0,-7,0,0,0
55	1	915128369	1,0,-5,-1,0,0
56	1	927663199	1,-1,-5,-1,0,0
57	19	1005918229	1,0,1,0,-1,0
58	1	1254479003	1,0,5,-1,0,0
