category_id	count	encoding	sequence
1	1800	2641532	-10,0,0,0,0,0
2	3747	2643830	10,0,0,0,0,0
3	4815	2646129	-11,0,0,0,0,0
4	10023	2648429	11,0,0,0,0,0
5	6619	2650730	-12,0,0,0,0,0
6	13302	2653032	12,0,0,0,0,0
7	6532	2655335	-13,0,0,0,0,0
8	15041	2657639	13,0,0,0,0,0
9	5653	2659944	-14,0,0,0,0,0
10	13408	2662250	14,0,0,0,0,0
11	4703	2664557	-15,0,0,0,0,0
12	10227	2666865	15,0,0,0,0,0
13	3149	2669174	-16,0,0,0,0,0
14	6535	2671484	16,0,0,0,0,0
15	87	2795412	9,-1,0,0,0,0
16	31	2797776	-10,-1,0,0,0,0
17	1023	2800141	10,-1,0,0,0,0
18	102	2802507	-11,-1,0,0,0,0
19	1280	2804874	11,-1,0,0,0,0
20	182	2807242	-12,-1,0,0,0,0
21	1265	2809611	12,-1,0,0,0,0
22	290	2811981	-13,-1,0,0,0,0
23	1050	2814352	13,-1,0,0,0,0
24	366	2816724	-14,-1,0,0,0,0
25	647	2819097	14,-1,0,0,0,0
26	369	2821471	-15,-1,0,0,0,0
27	337	2823846	15,-1,0,0,0,0
28	394	2826222	-16,-1,0,0,0,0
29	90	2828599	16,-1,0,0,0,0
30	237	2830977	-17,-1,0,0,0,0
31	18	2958510	9,1,0,0,0,0
32	14	2960942	-10,1,0,0,0,0
33	801	2963375	10,1,0,0,0,0
34	59	2965809	-11,1,0,0,0,0
35	859	2968244	11,1,0,0,0,0
36	102	2970680	-12,1,0,0,0,0
37	819	2973117	12,1,0,0,0,0
38	162	2975555	-13,1,0,0,0,0
39	801	2977994	13,1,0,0,0,0
40	294	2980434	-14,1,0,0,0,0
41	453	2982875	14,1,0,0,0,0
42	264	2985317	-15,1,0,0,0,0
43	207	2987760	15,1,0,0,0,0
44	262	2990204	-16,1,0,0,0,0
45	78	2992649	16,1,0,0,0,0
46	345	2995095	-17,1,0,0,0,0
47	86	3128733	9,-2,0,0,0,0
48	8	3131234	-10,-2,0,0,0,0
49	245	3133736	10,-2,0,0,0,0
50	16	3136239	-11,-2,0,0,0,0
51	252	3138743	11,-2,0,0,0,0
52	26	3141248	-12,-2,0,0,0,0
53	201	3143754	12,-2,0,0,0,0
54	44	3146261	-13,-2,0,0,0,0
55	131	3148769	13,-2,0,0,0,0
56	43	3151278	-14,-2,0,0,0,0
57	37	3153788	14,-2,0,0,0,0
58	21	3156299	-15,-2,0,0,0,0
59	5	3158811	15,-2,0,0,0,0
60	5	3161324	-16,-2,0,0,0,0
61	2	3166353	-17,-2,0,0,0,0
62	34	3306288	9,2,0,0,0,0
63	4	3308859	-10,2,0,0,0,0
64	194	3311431	10,2,0,0,0,0
65	12	3314004	-11,2,0,0,0,0
66	160	3316578	11,2,0,0,0,0
67	19	3319153	-12,2,0,0,0,0
68	128	3321729	12,2,0,0,0,0
69	24	3324306	-13,2,0,0,0,0
70	122	3326884	13,2,0,0,0,0
71	44	3329463	-14,2,0,0,0,0
72	34	3332043	14,2,0,0,0,0
73	22	3334624	-15,2,0,0,0,0
74	6	3337206	15,2,0,0,0,0
75	11	3339789	-16,2,0,0,0,0
76	3	3344958	-17,2,0,0,0,0
77	47	3491385	9,-3,0,0,0,0
78	2	3494027	-10,-3,0,0,0,0
79	96	3496670	10,-3,0,0,0,0
80	5	3499314	-11,-3,0,0,0,0
81	80	3501959	11,-3,0,0,0,0
82	9	3504605	-12,-3,0,0,0,0
83	61	3507252	12,-3,0,0,0,0
84	11	3509900	-13,-3,0,0,0,0
85	34	3512549	13,-3,0,0,0,0
86	10	3515199	-14,-3,0,0,0,0
87	4	3517850	14,-3,0,0,0,0
