delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-2.000000	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.995996	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.991992	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.987988	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.983984	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.979980	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.975976	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.971972	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.967968	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.963964	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.959960	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.955956	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.951952	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.947948	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.943944	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.939940	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.935936	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.931932	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.927928	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.923924	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.919920	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.915916	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.911912	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.907908	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.903904	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.899900	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.895896	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.891892	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.887888	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.883884	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.879880	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.875876	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.871872	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.867868	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.863864	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.859860	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.855856	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.851852	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.847848	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.843844	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.839840	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.835836	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.831832	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.827828	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.823824	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.819820	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.815816	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.811812	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.807808	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.803804	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.799800	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.795796	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.791792	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.787788	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.783784	-47.907908								error: BoundsError: attempt to access 0-element Vector{Float64} at index [1]
-1.779780	-47.907908	-40.923237	0.942163	full	0	0			ok
-1.775776	-47.907908	-40.938997	0.941815	full	0	0			ok
-1.771772	-47.907908	-40.954809	0.941465	full	0	0			ok
-1.767768	-47.907908	-39.913651	0.937966	continued:5	0	0			ok
-1.763764	-47.907908	-40.986592	0.940759	full	0	0			ok
-1.759760	-47.907908	-40.057219	0.937252	continued:5	0	0			ok
-1.755756	-47.907908	-41.018602	0.940046	full	0	0			ok
-1.751752	-47.907908	-40.170951	0.936530	continued:5	0	0			ok
-1.747748	-47.907908	-41.050852	0.939324	full	0	0			ok
-1.743744	-47.907908	-40.268915	0.935800	continued:5	0	0			ok
-1.739740	-47.907908	-41.083358	0.938593	full	0	0			ok
-1.735736	-47.907908	-40.739303	0.935026	continued:5	0	0			ok
-1.731732	-47.907908	-41.271999	0.936275	continued:5	0	0			ok
-1.727728	-47.907908	-41.544369	0.935773	full	0	0			ok
-1.723724	-47.907908	-40.862210	0.933988	continued:5	0	0			ok
-1.719720	-47.907908	-41.337456	0.934903	continued:5	0	0			ok
-1.715716	-47.907908	-41.595833	0.934401	full	0	0			ok
-1.711712	-47.907908	-40.970243	0.932784	continued:5	0	0			ok
-1.707708	-47.907908	-41.401899	0.933492	continued:5	0	0			ok
-1.703704	-47.907908	-41.648041	0.932991	full	0	0			ok
-1.699700	-47.907908	-40.011527	0.928321	continued:5	0	0			ok
-1.695696	-47.907908	-41.104536	0.931114	continued:5	0	0			ok
-1.691692	-47.907908	-41.488059	0.931616	continued:5	0	0			ok
-1.687688	-47.907908	-41.718916	0.931114	full	0	0			ok
-1.683684	-47.907908	-40.485287	0.927748	continued:5	0	0			ok
-1.679680	-47.907908	-41.233548	0.929538	continued:5	0	0			ok
-1.675676	-47.907908	-41.573978	0.929705	continued:5	0	0			ok
-1.671672	-47.907908	-41.791399	0.929204	full	0	0			ok
-1.667668	-47.907908	-40.761056	0.926688	continued:5	0	0			ok
-1.663664	-47.907908	-41.351411	0.927730	continued:5	0	0			ok
-1.659660	-47.907908	-41.660204	0.927770	continued:5	0	0			ok
