category_id	count	encoding	sequence
1	63785	0	
2	3120	1	0
3	3726	2	-1
4	460	19	1,0,0
5	36	25	-2,0,0
6	1447	32	2,0,0
7	75	40	-3,0,0
8	8	46	-5
9	1185	49	3,0,0
10	92	59	-4,0,0
11	11	67	-6
12	800	70	4,0,0
13	54	82	-5,0,0
14	3	84	-4,-1,0
15	10	92	-7
16	487	95	5,0,0
17	1	100	-3,1,0
18	51	109	-6,0,0
19	4	111	-5,-1,0
20	10	121	-8
21	836	124	6,0,0
22	8	129	-4,1,0
23	499	140	-7,0,0
24	6	142	-6,-1,0
25	3	144	-5,-2
26	8	146	-4,-1,-1
27	8	154	-9
28	3144	157	7,0,0
29	114	159	6,-1,0
30	3	160	-6,0,-1
31	9	162	-5,1,0
32	841	175	-8,0,0
33	9	177	-7,-1,0
34	22	178	6,0,-1
35	4	179	-6,-2
36	29	181	-5,-1,-1
37	5	191	-10
38	4360	194	8,0,0
39	128	196	7,-1,0
40	11	197	-7,0,-1
41	8	199	-6,1,0
42	1	200	5,-1,-1
43	1044	214	-9,0,0
44	21	216	-8,-1,0
45	10	217	7,0,-1
46	3	218	-7,-2
47	211	219	6,1,0
48	34	220	-6,-1,-1
49	3	232	-11
50	5007	235	9,0,0
51	151	237	8,-1,0
52	18	238	-8,0,-1
53	2	240	-7,1,0
54	1	241	6,-1,-1
55	1192	257	-10,0,0
56	19	259	-9,-1,0
57	49	260	8,0,-1
58	3	261	-8,-2
59	206	262	7,1,0
60	42	263	-7,-1,-1
61	2	277	-12
62	5578	280	10,0,0
63	181	282	9,-1,0
64	23	283	-9,0,-1
65	9	285	-8,1,0
66	3	286	7,-1,-1
67	1255	304	-11,0,0
68	29	306	-10,-1,0
69	57	307	9,0,-1
70	1	308	-9,-2
71	194	309	8,1,0
72	44	310	-8,-1,-1
73	36	313	6,-2,0
74	2	314	-6,1,-1
75	2	326	-13
76	5173	329	11,0,0
77	198	331	10,-1,0
78	37	332	-10,0,-1
79	10	334	-9,1,0
80	5	335	8,-1,-1
81	2	338	-7,-2,0
82	20	339	6,1,-1
83	1213	355	-12,0,0
84	46	357	-11,-1,0
85	69	358	10,0,-1
86	2	359	-10,-2
87	193	360	9,1,0
88	54	361	-9,-1,-1
89	45	364	7,-2,0
90	1	365	-7,1,-1
91	21	367	-6,0,1
92	2	379	-14
93	4112	382	12,0,0
94	219	384	11,-1,0
95	54	385	-11,0,-1
96	17	387	-10,1,0
97	7	388	9,-1,-1
98	3	391	-8,-2,0
99	17	392	7,1,-1
100	123	394	6,0,1
101	2	397	-5,-2,-1
102	9	399	-4,-1,1
103	1126	410	-13,0,0
104	64	412	-12,-1,0
105	85	413	11,0,-1
106	1	414	-11,-2
107	171	415	10,1,0
108	58	416	-10,-1,-1
109	50	419	8,-2,0
110	3	420	-8,1,-1
111	31	422	-7,0,1
112	2	436	-15
113	3229	439	13,0,0
114	219	441	12,-1,0
115	70	442	-12,0,-1
116	21	444	-11,1,0
117	20	445	10,-1,-1
118	3	448	-9,-2,0
119	20	449	8,1,-1
120	127	451	7,0,1
121	89	453	6,2,0
122	16	454	-6,-2,-1
123	3	456	-5,-1,1
124	981	469	-14,0,0
125	92	471	-13,-1,0
126	104	472	12,0,-1
127	1	473	-12,-2
128	146	474	11,1,0
129	63	475	-11,-1,-1
130	59	478	9,-2,0
131	4	479	-9,1,-1
