category_id	count	encoding	sequence
1	59341	0	
2	933	1	0
3	2394	2	-1
4	35	3	0,0
5	209	7	-2
6	13	10	0,0,0
7	1	28	0,0,-1
8	11	29	-4
9	2	36	0,-2
10	203	44	-1,-2
11	32	63	-2,-2
12	7	66	0,0,0,0
13	8	113	-4,-2
14	7	170	-1,-3
15	4	495	-1,-4
16	2	1175	-1,-5
17	1	2080	0,-2,-2
18	63	2144	-1,-2,-2
19	6	2275	-2,-2,-2
20	2	2278	0,0,0,0,0
21	6	2549	-4,-2,-2
22	1	3915	-1,-3,-2
23	2	6669	-1,-4,-2
24	2	10730	-1,-5,-2
25	1	24309	-1,-7,-2
26	1	48204	-1,-9,-2
27	18	2593502	-1,-2,-2,-2
28	1	2598057	-2,-2,-2,-2
29	1	2598060	0,0,0,0,0,0
30	3	2607179	-4,-2,-2,-2
31	10	3374956582769	-1,-2,-2,-2,-2
32	3	3374961778888	-2,-2,-2,-2,-2
33	20489	3374961778891	0,0,0,0,0,0,0
34	15323	3374964376952	-1,0,0,0,0,0,0
35	16658	3374966975014	1,0,0,0,0,0,0
36	24	3374969573077	-2,0,0,0,0,0,0
37	5	3374972171138	-4,-2,-2,-2,-2
38	258	3374972171141	2,0,0,0,0,0,0
39	5	3374974769206	-3,0,0,0,0,0,0
40	1	3374977367272	3,0,0,0,0,0,0
41	21	3380885357970	0,-1,0,0,0,0,0
42	1	3380890558651	1,-1,0,0,0,0,0
43	2	3380893158993	-2,-1,0,0,0,0,0
44	5	3386816733510	0,1,0,0,0,0,0
45	1	3386819336130	-1,1,0,0,0,0,0
46	2	3410615113625	-1,-5,-2,-2,-2
47	2	3537655031485	0,-14,0,0,0,0,0
48	2	3549938664519	-1,-15,0,0,0,0,0
49	1	3549943993638	-2,-15,0,0,0,0,0
50	65	3789593973028	0,0,-1,0,0,0,0
51	1	3796055339131	0,-1,-1,0,0,0,0
52	1	3802524966675	0,1,-1,0,0,0,0
53	1	3834997272550	0,-4,-1,0,0,0,0
54	37	4248339951871	0,0,1,0,0,0,0
55	1	4426968242346	0,-13,1,0,0,0,0
56	14	4755181056328	0,0,-2,0,0,0,0
57	1	4965281243560	0,-14,-2,0,0,0,0
58	4	5314394966653	0,0,2,0,0,0,0
59	1	5322721471480	0,-1,2,0,0,0,0
60	4	5930573166001	0,0,-3,0,0,0,0
61	1	5939613668625	0,-1,-3,0,0,0,0
62	1	6196972446756	0,-15,-3,0,0,0,0
63	1	6196979487763	1,-15,-3,0,0,0,0
64	2	9068784543253	0,0,-5,0,0,0,0
65	2	11125315729153	0,0,-6,0,0,0,0
66	100	11285546784060	0,0,0,-1,0,0,0
67	13	11285551534964	-1,0,0,-1,0,0,0
68	8	11285556285869	1,0,0,-1,0,0,0
69	2	11300193821091	0,-1,0,-1,0,0,0
70	2	11314855113915	0,1,0,-1,0,0,0
71	6	12471923283771	0,0,-1,-1,0,0,0
72	5	13766456846971	0,0,1,-1,0,0,0
73	1	13800474324630	0,1,1,-1,0,0,0
74	1	15177523770111	0,0,-2,-1,0,0,0
75	1	15195815446230	0,-1,-2,-1,0,0,0
76	1	16498815799546	0,0,-8,0,0,0,0
77	1	16714036117551	0,0,2,-1,0,0,0
78	1	16733699682651	0,-1,2,-1,0,0,0
79	2	18385468892560	0,0,-3,-1,0,0,0
80	1	20201888232606	0,0,3,-1,0,0,0
81	1	20247247485155	-1,1,3,-1,0,0,0
82	1	29141111742060	0,0,5,-1,0,0,0
83	57	35201566641153	0,0,0,1,0,0,0
84	1	35201575031810	-1,0,0,1,0,0,0
85	3	38398524054528	0,0,-1,1,0,0,0
86	1	40954747899691	0,0,-13,0,0,0,0
87	2	40954766000464	1,0,-13,0,0,0,0
88	1	40993257292120	0,-1,-13,0,0,0,0
89	1	41379946940881	0,0,7,-1,0,0,0
90	4	41847567293260	0,0,1,1,0,0,0
91	1	44613783887593	1,0,13,0,0,0,0
92	1	44654845797388	1,-1,13,0,0,0,0
93	1	49570471457535	0,0,2,1,0,0,0
94	1	52941190788484	1,-2,14,0,0,0,0
95	1	58869751281935	-1,15,-15,0,0,0,0
96	1	58920326790843	-2,-16,-15,0,0,0,0
97	1	62912973003936	0,-1,-10,-1,0,0,0
98	1	81522435527248	-3,-18,-17,0,0,0,0
99	1	101072626955310	0,0,-13,-1,0,0,0
100	18	102981405561310	0,0,0,-2,0,0,0
101	2	102981434264119	1,0,0,-2,0,0,0
102	2	109191191364261	0,-1,13,-1,0,0,0
103	1	111132155743246	0,0,-1,-2,0,0,0
104	1	111132185560309	1,0,-1,-2,0,0,0
105	1	119843553297196	0,0,1,-2,0,0,0
106	1	119843584260859	1,0,1,-2,0,0,0
107	1	129148428461536	0,0,-2,-2,0,0,0
108	2	139081202637301	0,0,2,-2,0,0,0
109	1	185958611329590	0,-1,4,-2,0,0,0
110	7	284078913915891	0,0,0,2,0,0,0
111	1	284243501917095	0,-1,0,2,0,0,0
112	1	284407517487246	0,-15,-14,1,0,0,0
