category_id	count	encoding	sequence
1	157	0	
2	116	1	0
3	15	3	0,0
4	14	10	0,0,0
5	10	14	-1,0,0
6	35	17	2,0
7	20	19	1,0,0
8	8	30	3,0
9	2	32	2,0,0
10	13	49	3,0,0
11	18	66	0,0,0,0
12	63	70	4,0,0
13	57	95	5,0,0
14	1	116	2,0,0,0
15	26	124	6,0,0
16	20	147	3,0,0,0
17	19	157	7,0,0
18	69	182	4,0,0,0
19	9	194	8,0,0
20	10	221	5,0,0,0
21	9	264	6,0,0,0
22	5	278	11,0
23	7	280	10,0,0
24	1	311	7,0,0,0
25	2	362	8,0,0,0
26	3	417	9,0,0,0
27	1	496	0,3,0
28	7	2278	0,0,0,0,0
29	3	2556	0,4,0,0
30	5	2695	3,0,0,0,0
31	22	2842	4,0,0,0,0
32	15	2993	5,0,0,0,0
33	7	3148	6,0,0,0,0
34	4	3307	7,0,0,0,0
35	3	3470	8,0,0,0,0
36	1	3637	9,0,0,0,0
37	2	16836	0,4,0,0,0
38	1	24753	0,5,0,0,0
39	1	123753	0,0,3,0
40	5	2598060	0,0,0,0,0,0
41	1	2607182	2,0,0,0,0,0
42	2	2611749	3,0,0,0,0,0
43	11	2616320	4,0,0,0,0,0
44	6	2620895	5,0,0,0,0,0
45	1	2625474	6,0,0,0,0,0
46	2	2630057	7,0,0,0,0,0
47	1	2634644	8,0,0,0,0,0
48	1	2639235	9,0,0,0,0,0
49	1	3270403	0,0,4,0,0
50	1	10846153	0,0,5,0,0
51	3	3374961778891	0,0,0,0,0,0,0
52	1	3374977367272	3,0,0,0,0,0,0
53	5	3374982563407	4,0,0,0,0,0,0
54	5	3374987759546	5,0,0,0,0,0,0
55	4	3374992955689	6,0,0,0,0,0,0
56	1	3374998151836	7,0,0,0,0,0,0
57	1	3375003347987	8,0,0,0,0,0,0
58	1	3375008544142	9,0,0,0,0,0,0
59	1	8171903674378	0,0,4,0,0,0,0
60	3	5695183504492614029263278	0,0,0,0,0,0,0,0
61	5	5695183504519613723494442	4,0,0,0,0,0,0,0
62	4	5695183504526363647052243	5,0,0,0,0,0,0,0
63	1	5695183504533113570610048	6,0,0,0,0,0,0,0
64	1	5695183504539863494167857	7,0,0,0,0,0,0,0
65	1	5695183504546613417725670	8,0,0,0,0,0,0,0
66	5	16217557574922386301420536972254869595782763547560	0,0,0,0,0,0,0,0,0
67	1	16217557574922386301420582533722905536694997653820	4,0,0,0,0,0,0,0,0
68	1	16217557574922386301420593924089914521923056180395	5,0,0,0,0,0,0,0,0
69	3	16217557574922386301420616704823932492379173233557	7,0,0,0,0,0,0,0,0
70	2	16217557574922386301420628095190941477607231760144	8,0,0,0,0,0,0,0,0
71	1	131504586847961235687181874578063117114329409897615188504091716162522225834932122128288032336298141	0,0,0,0,0,0,0,0,0,0
72	2	131504586847961235687181874578063117114329409897744928964691095252933590130710161085054294444678657	4,0,0,0,0,0,0,0,0,0
73	1	131504586847961235687181874578063117114329409897777364079840940025536431204654670824245859971773796	5,0,0,0,0,0,0,0,0,0
74	1	8646728181026489602610406537158318670928372786737024641130379069394221138489756289944296330853109491783103228320259156323820532046390690495023508594748510161622756623804541999900949433039014860317	4,0,0,0,0,0,0,0,0,0,0
75	1	8646728181026489602610406537158318670928372786737024641130379069394221138489756289944296330853110017801450620165201905051318844298859147812663099055502526528487406712707881728389462585168360052923	6,0,0,0,0,0,0,0,0,0,0
76	1	8646728181026489602610406537158318670928372786737024641130379069394221138489756289944296330853110543819798012010144653778817156551327605130302689516256542895352056801611221456877975737297705245545	8,0,0,0,0,0,0,0,0,0,0
77	47771	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816343660564752246587817144249698118611074911061187626140754429306578884898095116510555810942627764467245810598277119141113742608011841983463944410469867424643313675310062597234983157066538572943899435	0,0,0,0,0,0,0,0,0,0,0,0
78	1	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816352307292933273077419754656235276929745839433974363165395559685648279119233606266845755238958617575685557006721749514772611431919383437239804154797540665120741568766508595097526080989667353268374589	-1,0,0,0,0,0,0,0,0,0,0,0
79	8	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816360954021114299567022365062772435248416767806761100190036690064717673340372096023135699535289470684125303415166379888431480255826924891015663899125213905598169462222954592960069004912796133592849744	1,0,0,0,0,0,0,0,0,0,0,0
80	27	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816378247477476352546227585875846751885758624552334574239318950822856461782649075535715588127951176901004796232055640635749217903642007798567383387780560386553025249135846588685154852759053694241800057	2,0,0,0,0,0,0,0,0,0,0,0
81	103	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816395540933838405525432806688921068523100481297908048288601211580995250224926055048295476720612883117884289048944901383066955551457090706119102876435906867507881036048738584410240700605311254890750374	3,0,0,0,0,0,0,0,0,0,0,0
82	91	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928616739335301863382037085201145976272239453658981262846128190508219395966448887917209180943430756816412834390200458504638027501995385160442338043481522337883472339134038667203034560875365313274589334763781865834162130384693199272173613670822365091253348462736822961630580135326548451568815539700695	4,0,0,0,0,0,0,0,0,0,0,0
