delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	runtime_seconds	status	error
-1.500000000	-36.666666667	0	-5.07577158819e-05	-8.93659096782e-05	-0.000110052501363	-0.00336246772101	-0.00925364360287	-0.0141694004262	40088.560675	5000.000000	true	8	2.832272	ok	
-1.388888889	-36.666666667	0	-6.71115279027e-06	-2.82180679673e-05	-3.47321587217e-05	-0.00935804259972	-0.014319367258	-0.0262633991984	30040.902687	5000.000000	true	6	0.094817	ok	
-1.277777778	-36.666666667	3.00463432445	0.000180263111684	-4.64583556935e-05	-0.000103650005166	-0.00650682772338	-0.0114170709584	-0.0215570661842	80008.422494	5000.000000	true	16	0.311193	ok	
-1.166666667	-36.666666667	3.01638483925	8.47812353928e-05	5.00531655823e-05	1.37624227145e-05	-0.00906916579771	-0.0147958512042	-0.0370780095619	45006.369484	5000.000000	true	9	0.466188	ok	
-1.055555556	-36.666666667	1.5330034529	1.22638329825e-05	-2.30089184523e-05	-8.16596344547e-05	-0.00967140985101	-0.0152091976285	-0.0439039518916	30000.467028	5000.000000	true	6	0.449533	ok	
-0.944444444	-36.666666667	3.00422226482	6.36153818637e-05	1.00384800547e-06	-2.26999393822e-05	-0.00992815284266	-0.0152725273846	-0.0426214905578	50003.949955	5000.000000	true	10	0.641488	ok	
-0.833333333	-36.666666667	0	-4.31227769887e-05	-4.56195226763e-05	-0.000135852908678	-0.0100722398452	-0.0153334855233	-0.0432927693335	35004.925454	5000.000000	true	7	0.492605	ok	
-0.722222222	-36.666666667	0	-4.31620809608e-05	-6.29356913584e-05	-0.000101841464681	-0.00982636037001	-0.0152910043423	-0.0445989223287	40030.170042	5000.000000	true	8	0.594400	ok	
-0.611111111	-36.666666667	0	-1.97627939691e-05	-4.45139756052e-05	-0.000165885029193	-0.010161207195	-0.015434523291	-0.045626278815	45001.586436	5000.000000	true	9	0.604005	ok	
-0.500000000	-36.666666667	0	-3.18231043259e-05	-4.26195824077e-05	-0.000266040696474	-0.0100447312602	-0.0154009386303	-0.0446494486344	50013.527671	5000.000000	true	10	0.531584	ok	
