delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	runtime_seconds	status	error
-1.500000000	-45.000000000	0	-5.01228147603e-05	-6.5885505035e-05	-0.00010573284916	-0.00740156679025	-0.0114492877384	-0.0158891617581	30088.802024	5000.000000	true	6	2.832278	ok	
-1.388888889	-45.000000000	0	-4.98421216322e-06	-2.43257059173e-05	-4.88169045503e-05	-0.00934510316509	-0.014132427387	-0.0211913844015	40026.994937	5000.000000	true	8	0.098717	ok	
-1.277777778	-45.000000000	0	-2.0023394366e-05	-6.6766360633e-05	-8.72639467773e-05	-0.00882331457669	-0.0105109860392	-0.0144156926862	30039.386145	5000.000000	true	6	0.073608	ok	
-1.166666667	-45.000000000	3.01524892685	0.000180709223396	7.34422599362e-07	-4.93205223707e-05	-0.00866442110394	-0.0143706191619	-0.0299152080219	30005.252583	5000.000000	true	6	0.192396	ok	
-1.055555556	-45.000000000	3.00741023293	4.4736412439e-05	3.26847849111e-05	-1.29730867105e-05	-0.00869717743142	-0.0142621036928	-0.0289228552607	30001.088658	5000.000000	true	6	0.256577	ok	
-0.944444444	-45.000000000	3.0080314644	7.17207004687e-05	1.39165460916e-05	-1.86875314642e-05	-0.00833592876745	-0.0145764051108	-0.0346713269838	35027.816944	5000.000000	true	7	0.326262	ok	
-0.833333333	-45.000000000	3.00362265478	5.93375904103e-05	5.37129884604e-05	-8.26820906928e-05	-0.00838293738188	-0.0144217289368	-0.0314620736513	35051.619609	5000.000000	true	7	0.297277	ok	
-0.722222222	-45.000000000	3.01418554029	0.000167086842373	-1.22438205411e-05	-3.53158750478e-05	-0.00842598479523	-0.0146097828165	-0.033327743794	40039.587641	5000.000000	true	8	0.385456	ok	
-0.611111111	-45.000000000	3.00944309981	4.19325905176e-05	3.43940260296e-05	9.37724226238e-06	-0.00907581838075	-0.0152198526603	-0.0461737187074	45010.337732	5000.000000	true	9	0.747597	ok	
-0.500000000	-45.000000000	2.24101445646	3.82725271203e-05	-1.35774343683e-05	-0.000102463118249	-0.00928671884106	-0.0152540359285	-0.0470338837348	30064.949096	5000.000000	true	6	0.540412	ok	
-1.500000000	-42.222222222	0	-4.9944224972e-05	-9.15015426963e-05	-0.000115993060564	-0.00398693195663	-0.0102393911513	-0.0146628542337	45056.749233	5000.000000	true	9	2.832292	ok	
-1.388888889	-42.222222222	0	-3.43529380079e-05	-4.97286215612e-05	-7.75533520673e-05	-0.00676698842083	-0.011453685014	-0.0170680772355	55065.613752	5000.000000	true	11	0.106768	ok	
-1.277777778	-42.222222222	0	-5.37730779803e-05	-6.62792839313e-05	-0.00012230989212	-0.00920000518129	-0.0138067278337	-0.0173324866337	40029.208935	5000.000000	true	8	0.096600	ok	
-1.166666667	-42.222222222	3.00101340692	0.000154517447965	-6.65589050559e-05	-7.91178535005e-05	-0.00872373100841	-0.0144489819607	-0.0310859347844	30023.761820	5000.000000	true	6	0.232875	ok	
-1.055555556	-42.222222222	3.00870492072	5.69054941554e-05	2.05241976399e-05	1.03715326685e-06	-0.00901407922895	-0.0145820121676	-0.0334571197578	55031.432891	5000.000000	true	11	0.489427	ok	
-0.944444444	-42.222222222	3.00831090237	8.99682212877e-05	5.97778117685e-08	-1.82020400554e-05	-0.0086423779082	-0.0144677028532	-0.03049421693	45028.943911	5000.000000	true	9	0.325294	ok	
-0.833333333	-42.222222222	3.01770704849	0.000121549520724	3.07232240101e-05	1.08700014575e-06	-0.00866094340614	-0.0146328003179	-0.0330433298726	40005.809165	5000.000000	true	8	0.375765	ok	
-0.722222222	-42.222222222	0	-1.82291215141e-05	-2.37362677561e-05	-8.70182908445e-05	-0.00898568495194	-0.0151888475462	-0.0463043164814	30041.951579	5000.000000	true	6	0.491303	ok	
-0.611111111	-42.222222222	3.00177966271	2.48850303435e-05	2.1862715179e-05	-2.98298558112e-05	-0.00950623372759	-0.0152327596605	-0.0441419948238	50014.194428	5000.000000	true	10	0.768020	ok	
-0.500000000	-42.222222222	0	-1.65641102861e-05	-4.32586118986e-05	-7.40512184143e-05	-0.00997935185026	-0.0154128539489	-0.0462949685275	35012.565575	5000.000000	true	7	0.546818	ok	
-1.500000000	-39.444444444	0	-4.99230810384e-05	-0.000106212880635	-0.000122293706259	-0.00361734757678	-0.00988547578172	-0.0142494519481	45104.523818	5000.000000	true	9	2.832293	ok	
-1.388888889	-39.444444444	0	-5.09425022734e-05	-6.11750505882e-05	-6.69958015651e-05	-0.00567034868275	-0.0114111274239	-0.0171991249459	65080.374609	5000.000000	true	13	0.124637	ok	
-1.277777778	-39.444444444	0	-1.17361577951e-06	-4.93110240787e-05	-5.3318572429e-05	-0.009188324744	-0.0131768784559	-0.0191586871331	65081.505264	5000.000000	true	13	0.166439	ok	
-1.166666667	-39.444444444	0	-1.91396633823e-05	-3.32451316289e-05	-5.01507826884e-05	-0.008436401214	-0.0120969783385	-0.0200831316903	70067.560748	5000.000000	true	14	0.273912	ok	
-1.055555556	-39.444444444	3.01678987854	0.000108750470754	2.5031438755e-05	1.47474678364e-05	-0.00884636401567	-0.0147004657126	-0.0359182395612	45002.975366	5000.000000	true	9	0.593839	ok	
-0.944444444	-39.444444444	3.004605442	2.5957500983e-05	2.15792716698e-05	-6.1818816324e-06	-0.00897957047425	-0.0150458454901	-0.0426505887657	30015.828819	5000.000000	true	6	0.411163	ok	
