delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-28.165829146	0	-4.99999930303e-05	-5.17926062232e-05	-7.58960345882e-05	-0.00211399694744	-0.00979442101086	-0.0144051298719	100087.482837	5000.000000	true	20	0.000111559249505	0	0.195469	ok	none
-1.494974874	-28.165829146	0	-4.3904276103e-05	-4.99998335369e-05	-7.86108604713e-05	-0.00210800559795	-0.00973790563947	-0.0143577182227	100068.202246	5000.000000	true	20	0.000111206776992	0	0.192453	ok	none
-1.489949749	-28.165829146	0	-3.20904984917e-05	-4.99984241198e-05	-8.51804524502e-05	-0.00205767548502	-0.00970936026085	-0.0142945837347	100098.209534	5000.000000	true	20	0.000108460011914	0	0.193134	ok	none
-1.484924623	-28.165829146	0	-3.18769131186e-05	-4.99984993008e-05	-8.01382290621e-05	-0.00200604035405	-0.00964832001924	-0.0142590103589	100031.733582	5000.000000	true	20	0.000105751461674	0	0.189414	ok	none
-1.479899497	-28.165829146	0	-4.77680354371e-05	-4.9999938242e-05	-5.89091712783e-05	-0.00206541733004	-0.00959309873661	-0.0142416253941	95017.869668	5000.000000	true	19	0.000114794963268	0	0.180126	ok	none
-1.474874372	-28.165829146	0	-4.7051784816e-05	-4.99999730229e-05	-5.43332497989e-05	-0.00202027762678	-0.00952196952104	-0.0142142921662	95017.959489	5000.000000	true	19	0.000112182381241	0	0.191215	ok	none
-1.469849246	-28.165829146	0	-4.58767109036e-05	-4.99999856072e-05	-5.01970027784e-05	-0.00200073840325	-0.00946304189335	-0.0141928600278	95045.554339	5000.000000	true	19	0.000110930591113	0	0.187175	ok	none
-1.464824121	-28.165829146	0	-4.41179807823e-05	-4.66137017609e-05	-4.99999918937e-05	-0.00203602368698	-0.00943133266768	-0.0141816906703	95030.662304	5000.000000	true	19	0.000112726076177	0	0.190215	ok	none
-1.459798995	-28.165829146	0	-3.35183011155e-05	-5.00000045706e-05	-5.1918712387e-05	-0.00202825454802	-0.00943467333952	-0.0141743368714	100057.777464	5000.000000	true	20	0.000106410070815	0	0.194102	ok	none
-1.454773869	-28.165829146	0	-3.41574140829e-05	-4.57986837119e-05	-4.99999984633e-05	-0.00224834439218	-0.00948914579513	-0.014172471714	100096.896210	5000.000000	false	20	0.000117678209595	0	0.192995	ok	none
-1.449748744	-28.165829146	0	-3.41543557285e-05	-4.02130670935e-05	-4.99999978565e-05	-0.00263901828782	-0.00960357956801	-0.0141754054535	100058.795352	5000.000000	false	20	0.000137718862595	0	0.189829	ok	none
-1.444723618	-28.165829146	0	-3.33661766594e-05	-3.5214947299e-05	-4.9999998187e-05	-0.00316055085849	-0.00984127703439	-0.014222386415	100025.012756	5000.000000	false	20	0.000163932361009	0	0.206275	ok	none
-1.439698492	-28.165829146	0	-3.11481600907e-05	-3.1425854216e-05	-4.99999986368e-05	-0.00385038997347	-0.0101121728161	-0.0144090941185	100086.335626	5000.000000	false	20	0.000197265010924	0	0.209580	ok	none
-1.434673367	-28.165829146	0	-2.64002800997e-05	-2.97013337037e-05	-4.9999998935e-05	-0.00472225940246	-0.0104688325273	-0.0147822422818	100004.459021	5000.000000	false	20	0.000235882432495	0	0.208375	ok	none
-1.429648241	-28.165829146	0	-2.17767124421e-05	-2.72183090265e-05	-4.9999999239e-05	-0.00579392840137	-0.0109495549733	-0.0153930089816	100060.395130	5000.000000	false	20	0.000279808671894	0	0.225552	ok	none
-1.424623116	-28.165829146	0	-1.63799546804e-05	-2.42180540711e-05	-4.9999999511e-05	-0.00710339406779	-0.0115849685146	-0.0164431486784	100064.400502	5000.000000	false	20	0.000300865145475	0	0.233069	ok	none
-1.419597990	-28.165829146	0	-8.51816815276e-06	-2.04326119276e-05	-4.99999997905e-05	-0.00864058758825	-0.0125863597001	-0.0182600413545	100097.911695	5000.000000	false	20	0.00024542937167	0	0.248376	ok	none
-1.414572864	-28.165829146	1.62014874009	7.15976171111e-06	-1.15452330195e-05	-5.00000008483e-05	-0.00935885313187	-0.0143476734147	-0.023088301748	100044.254337	5000.000000	false	20	0.000378238220362	0.296761885776	0.261067	ok	none
-1.409547739	-28.165829146	3.00811811362	0.000128564381478	-2.6211926704e-06	-5.0000004928e-05	-0.00935478208536	-0.0143973119317	-0.0277778159018	70025.312371	5000.000000	true	14	1.13849003327e-05	0.000515373272749	0.259089	ok	none
-1.404522613	-28.165829146	2.08093088042	3.60738943616e-05	-3.20273503478e-05	-4.99999999106e-05	-0.00839064059483	-0.0118108450397	-0.0169388071599	100052.944735	5000.000000	false	20	0.000149169358174	0.0459006048674	0.247148	ok	none
-1.399497487	-28.165829146	2.44756378554	5.11531361136e-05	-2.87749465892e-05	-5.0000000553e-05	-0.00930733652202	-0.0143697554001	-0.0220528613789	100009.979256	5000.000000	false	20	0.000369980634386	0.0313465331605	0.299074	ok	none
-1.394472362	-28.165829146	3.00946345003	0.000153704601533	-1.50124705585e-05	-5.0000003516e-05	-0.00937207120132	-0.0145205881727	-0.0298051888668	100028.924351	5000.000000	false	20	0.000197169711131	0.00149998510786	0.497258	ok	none
-1.389447236	-28.165829146	3.00760055826	0.000133098158212	-1.24884099837e-05	-5.00000022236e-05	-0.00929007364456	-0.0144707830612	-0.0270946685735	100066.589171	5000.000000	false	20	0.000400310000823	0.000677581426515	0.408315	ok	none
-1.384422111	-28.165829146	3.00084221604	7.13786080049e-05	-1.35498157275e-05	-5.00000003723e-05	-0.00929546761917	-0.0144226753347	-0.024383672153	100004.818399	5000.000000	false	20	0.000256309055837	0.000328978223967	0.328388	ok	none
-1.379396985	-28.165829146	2.93094738991	7.25721778685e-05	-2.60248085003e-05	-4.99999998632e-05	-0.00926575914648	-0.0144176968891	-0.0235853483468	100059.467535	5000.000000	false	20	0.00025162293463	0.00765889839657	0.297668	ok	none
-1.374371859	-28.165829146	3.00965121243	0.000137714906803	1.61205456903e-06	-5.00000000122e-05	-0.00925551706212	-0.0144519481121	-0.0280237859943	70023.048240	5000.000000	true	14	0.000227034385648	0.000549361660647	0.283600	ok	none
-1.369346734	-28.165829146	3.00820261355	0.000131224944058	-5.36019823172e-06	-5.00000013422e-05	-0.00924885025717	-0.0144633721071	-0.0275215637939	100046.477874	5000.000000	false	20	8.51484445913e-05	0.00082582236826	0.382608	ok	none
-1.364321608	-28.165829146	3.00992180083	0.000135926386059	5.98169253088e-06	-5.00000047092e-05	-0.00926324519955	-0.0144719684406	-0.027892096437	85036.374097	5000.000000	true	17	0.000225292899524	0.000198020683332	0.306151	ok	none
-1.359296482	-28.165829146	3.00780304818	0.000110647594466	1.13491885665e-05	-5.00000042916e-05	-0.00922675050154	-0.0144693754428	-0.026396244676	60020.551995	5000.000000	true	12	0.000222250904402	0.00077295993412	0.229055	ok	none
-1.354271357	-28.165829146	3.00400574252	7.74764760039e-05	9.60617011577e-06	-5.00000051831e-05	-0.00925737007506	-0.0144162431469	-0.0258773752488	90075.189181	5000.000000	true	18	0.000136193868022	0.000348063160091	0.270980	ok	none
