delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-45.000000000	1.15974356729	7.98717767201e-06	-4.99999956635e-05	-0.000334613750176	-0.00739615336482	-0.014425589595	-0.0338278635722	100029.256779	5000.000000	false	20	7.73463425306e-05	0.256070905158	4.163730	ok	none
-1.494974874	-45.000000000	1.8817178072	4.40858861108e-05	-4.99999951807e-05	-0.000333854084365	-0.00741424386541	-0.0144304652883	-0.0338143604718	100002.862010	5000.000000	false	20	3.27828102967e-05	0.655656267997	1.515332	ok	none
-1.489949749	-45.000000000	1.27844501722	1.39222493556e-05	-4.99999945928e-05	-0.000337266084407	-0.00741749592598	-0.0144201246848	-0.0337288753114	100013.714649	5000.000000	false	20	5.85042538905e-05	0.105349881585	1.221668	ok	none
-1.484924623	-45.000000000	1.20542084065	1.02710407999e-05	-4.99999939989e-05	-0.000341104384969	-0.00740868278268	-0.01442050439	-0.0337436139469	100008.080320	5000.000000	false	20	0.000112134222028	0.780335023691	1.167439	ok	none
-1.479899497	-45.000000000	1.3716886183	1.85844284527e-05	-4.99999933757e-05	-0.000332752940124	-0.00741692870632	-0.0144230041174	-0.0337300983905	100004.291023	5000.000000	false	20	3.78202688377e-05	0.0791957150049	1.198380	ok	none
-1.474874372	-45.000000000	1.34048913867	1.70244544494e-05	-4.99999927045e-05	-0.000343440421498	-0.00743038871836	-0.0144149415487	-0.0336393174261	100007.322884	5000.000000	false	20	6.23207736348e-05	0.110772408952	1.131638	ok	none
-1.469849246	-45.000000000	1.25414427407	1.27072116289e-05	-4.99999918369e-05	-0.000347963086814	-0.0074218852566	-0.0144153693621	-0.0336596872405	100024.783765	5000.000000	false	20	2.73818193516e-05	0.391684942769	1.115155	ok	none
-1.464824121	-45.000000000	1.19585501786	9.79274907091e-06	-4.99999906957e-05	-0.000338704668932	-0.00742311813908	-0.0144159189155	-0.0336519803796	100003.404965	5000.000000	false	20	6.16049140124e-05	0.203058426815	1.134934	ok	none
-1.459798995	-45.000000000	1.45705416196	2.28527033825e-05	-4.99999896828e-05	-0.000350487664331	-0.00744337244431	-0.0144097107886	-0.033543951558	100018.442157	5000.000000	false	20	7.09161606892e-05	0.157121954113	1.103130	ok	none
-1.454773869	-45.000000000	1.30825231086	1.54126120121e-05	-4.99999885454e-05	-0.000355881721368	-0.00743429565926	-0.0144103406628	-0.0335780497384	100018.516759	5000.000000	false	20	3.05411425915e-05	0.0735993003242	1.089144	ok	none
