delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-43.241206030	1.02255085363	1.01115530187e-05	-0.000448388925054	-0.00763202933163	-0.0143305992798	-0.0321060516104	NaN	100027.080799	5000.000000	false	20	8.45156062994e-06	0.0109648852716	1.111769	ok	none
-1.494974874	-43.241206030	1.06695838782	3.0556304245e-05	-0.000456347669614	-0.00765837352135	-0.0143251322208	-0.0319863044646	NaN	100014.558077	5000.000000	false	20	0.00011400038122	0.0451799802889	1.064158	ok	none
-1.489949749	-43.241206030	1.02948197858	1.3796007569e-05	-0.000467947140355	-0.00764296120925	-0.0143254918259	-0.0320483804592	NaN	100025.519701	5000.000000	false	20	8.64169674651e-05	0.0498881546258	1.099558	ok	none
-1.484924623	-43.241206030	1.01747893779	8.33526066022e-06	-0.000476874553949	-0.00762762119011	-0.0143255627258	-0.0320667636253	NaN	100031.405628	5000.000000	false	20	3.40709032292e-05	0.00831511360661	1.063776	ok	none
-1.479899497	-43.241206030	0	-2.24007892767e-06	-0.000477880408529	-0.0076135830395	-0.0143248085845	-0.0320629075888	NaN	100017.689913	5000.000000	false	20	1.06126513589e-05	1.00539996945	1.084488	ok	none
-1.474874372	-43.241206030	0	-3.40047388958e-07	-0.000484038669272	-0.00763328490021	-0.0143190947095	-0.032008754225	NaN	70030.597546	5000.000000	true	14	8.89016875323e-05	0	0.757221	ok	none
-1.469849246	-43.241206030	0	-2.74229351736e-05	-0.000506972767115	-0.00758406190538	-0.0143188237906	-0.0321517889974	NaN	40017.118967	5000.000000	true	8	0.000120547253409	0	0.520607	ok	none
-1.464824121	-43.241206030	0	-2.85180891124e-05	-0.000506509623061	-0.00760755356887	-0.0143151451401	-0.0320334707712	NaN	50003.674015	5000.000000	true	10	9.3859165169e-05	0	0.587653	ok	none
-1.459798995	-43.241206030	0	-6.7267829266e-07	-0.000508835724401	-0.00762566013705	-0.0143143761907	-0.0318880645391	NaN	45023.637039	5000.000000	true	9	0.000264776708459	0	0.532145	ok	none
-1.454773869	-43.241206030	0	-0.000135921772217	-0.000497264926646	-0.0075160670477	-0.0143146597254	-0.0321320332035	NaN	40000.972518	5000.000000	true	8	4.82575916037e-05	0	0.557921	ok	none
-1.449748744	-43.241206030	0	-0.000104055378145	-0.000534612399444	-0.00757223794398	-0.014358594481	-0.0324637748623	NaN	40009.236864	5000.000000	true	8	9.86769038246e-05	0	0.483112	ok	none
-1.444723618	-43.241206030	0	-1.52904521518e-05	-0.00056273234424	-0.00755232481628	-0.0143349374731	-0.0322575605479	NaN	60016.464607	5000.000000	true	12	8.84257750478e-05	0	0.692705	ok	none
-1.439698492	-43.241206030	0	-1.31580860979e-06	-0.000568637863151	-0.00755405792334	-0.0143286049377	-0.0321172771404	NaN	100034.591699	5000.000000	false	20	3.54685329593e-05	1.00643613998	1.060122	ok	none
-1.434673367	-43.241206030	0	-7.91023200779e-07	-0.000563525545495	-0.00754933530737	-0.0143286789619	-0.0321036422615	NaN	100014.619318	5000.000000	false	20	1.91944296614e-05	1.01356943786	1.045431	ok	none
-1.429648241	-43.241206030	1.04503041601	2.64986621785e-05	-0.000588461411737	-0.00756444067939	-0.01432362724	-0.0319875093758	NaN	100006.371540	5000.000000	false	20	0.000114541992007	0.0293028545121	1.047887	ok	none
-1.424623116	-43.241206030	1.02991227539	1.82917929012e-05	-0.000611514592745	-0.00754173280835	-0.0143245787889	-0.0320426316805	NaN	100036.166447	5000.000000	false	20	4.64096809156e-05	0.0189685853881	1.044838	ok	none
-1.419597990	-43.241206030	1.03090063355	1.95824107824e-05	-0.000633721983483	-0.00751683757331	-0.0143252956613	-0.032061118498	NaN	100022.315424	5000.000000	false	20	8.5577349334e-05	0.0227401585174	1.054684	ok	none
-1.414572864	-43.241206030	1.03151263963	2.07016284986e-05	-0.000656930956718	-0.00749048202786	-0.0143255613168	-0.0320613931813	NaN	100025.944815	5000.000000	false	20	3.09718597402e-05	0.0113194389355	1.043811	ok	none
-1.409547739	-43.241206030	1.03493223958	2.25699481064e-05	-0.000646106530222	-0.00749528041875	-0.0143267870704	-0.0320453908372	NaN	100008.963969	5000.000000	false	20	3.20764581455e-05	0.00822905149538	0.917336	ok	none
-1.404522613	-43.241206030	1.06069256324	4.21740173634e-05	-0.000694879489489	-0.00749031479342	-0.0143209758995	-0.0319594509894	NaN	100004.156903	5000.000000	false	20	8.87498147406e-05	0.0146826458362	0.995522	ok	none
-1.399497487	-43.241206030	1.06553550418	4.83074515645e-05	-0.000737118790364	-0.00745762666934	-0.0143219566765	-0.0320036189637	NaN	100015.834198	5000.000000	false	20	3.33362293313e-05	0.0125525860664	0.963917	ok	none
-1.394472362	-43.241206030	1.06521972839	5.0360295833e-05	-0.00077216353201	-0.00742155997315	-0.0143226141077	-0.0320177015568	NaN	100009.005234	5000.000000	false	20	9.47510003732e-05	0.023801933003	1.015867	ok	none
-1.389447236	-43.241206030	1.04738876076	3.76819856569e-05	-0.000795167146278	-0.0073818059723	-0.0143227871255	-0.032015066018	NaN	100029.404781	5000.000000	false	20	3.38429923433e-05	0.012382282846	1.022773	ok	none
-1.384422111	-43.241206030	1.05198424189	4.13750821772e-05	-0.000795915852038	-0.00737667124853	-0.0143250442609	-0.0320015458753	NaN	100007.293851	5000.000000	false	20	2.85272284164e-05	0.00439629553456	1.026309	ok	none
-1.379396985	-43.241206030	1.04589862811	3.89082271406e-05	-0.000847699130556	-0.00734876819322	-0.0143183168482	-0.0319175980271	NaN	100033.794775	5000.000000	false	20	8.88400178695e-05	0.0120057575404	1.030476	ok	none
-1.374371859	-43.241206030	1.03369344052	3.05069803262e-05	-0.000905427877099	-0.0072865616463	-0.0143194270597	-0.0319655628168	NaN	100011.000026	5000.000000	false	20	3.33386399881e-05	0.0105711372623	1.046026	ok	none
-1.369346734	-43.241206030	1.02901152774	2.83525829232e-05	-0.000977286793564	-0.00721006854658	-0.01432013155	-0.031980991539	NaN	100009.718377	5000.000000	false	20	0.000121718141486	0.031550395921	0.970148	ok	none
-1.364321608	-43.241206030	1.01996107497	2.13306233009e-05	-0.00106861095094	-0.00710823399019	-0.0143204628124	-0.0319828782735	NaN	100007.232995	5000.000000	false	20	5.46752708831e-05	0.00996720116355	0.945677	ok	none
-1.359296482	-43.241206030	1.01145779197	1.33049390531e-05	-0.00116121318036	-0.00700254581238	-0.0143209741765	-0.0319715471376	NaN	100012.366841	5000.000000	false	20	4.18431038148e-05	0.0124846531816	0.969094	ok	none
-1.354271357	-43.241206030	1.02417812918	3.66756763338e-05	-0.00151689471334	-0.00668942484785	-0.0143158535763	-0.0318713595704	NaN	100004.173353	5000.000000	false	20	0.000100990978713	0.00872275147225	1.038916	ok	none
-1.349246231	-43.241206030	1.01842548807	2.61497803536e-05	-0.00141921778442	-0.00678467184738	-0.0143169580153	-0.0319258254608	NaN	100027.933794	5000.000000	false	20	4.55341813294e-05	0.00516470057389	0.984279	ok	none
-1.344221106	-43.241206030	1.01989611144	2.31387889517e-05	-0.00116298046611	-0.00703658506117	-0.0143178977594	-0.0319506243193	NaN	100004.804179	5000.000000	false	20	4.67102350795e-05	0.00712764973246	0.949211	ok	none
-1.339195980	-43.241206030	1.01946053402	2.00362177252e-05	-0.00102958211268	-0.00716406813819	-0.0143183581594	-0.0319559342172	NaN	100034.334002	5000.000000	false	20	9.59437901138e-05	0.0161237842189	0.949632	ok	none
-1.334170854	-43.241206030	1.01398076564	1.26263833824e-05	-0.000903125315981	-0.00727901213727	-0.0143185524776	-0.0319527939365	NaN	100001.682158	5000.000000	false	20	3.67585984522e-05	0.0145404987661	0.928807	ok	none
-1.329145729	-43.241206030	1.06485008896	5.37065147896e-05	-0.000828164088162	-0.00737632067005	-0.0143220026375	-0.0319425792038	NaN	100002.031074	5000.000000	false	20	3.02919297718e-05	0.0371334291352	0.951482	ok	none
-1.324120603	-43.241206030	1.03455915604	2.67586063763e-05	-0.000774284138995	-0.00744446487028	-0.0143145494222	-0.0318754257747	NaN	100025.781226	5000.000000	false	20	7.23247651366e-05	0.0100850611953	0.956961	ok	none
-1.319095477	-43.241206030	1.029891611	2.18827020416e-05	-0.000732068339982	-0.00748423893987	-0.0143156724647	-0.0319160166655	NaN	100033.039525	5000.000000	false	20	3.12699711963e-05	0.011600286219	0.943100	ok	none
-1.314070352	-43.241206030	1.02772790092	1.92871555991e-05	-0.000695586573694	-0.00751629059873	-0.0143165078553	-0.0319330624137	NaN	100035.175913	5000.000000	false	20	3.87042887786e-05	0.0129019211981	0.946368	ok	none
