delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-45.000000000	1.02414926833	8.08573161353e-06	-0.000334823047286	-0.00739618014827	-0.0144256109129	-0.0338308942164	NaN	100031.607212	5000.000000	false	20	7.90632494771e-05	0.0406067462002	4.016068	ok	none
-1.494974874	-45.000000000	1.12672223204	4.23380299644e-05	-0.000334101043552	-0.00741338208421	-0.0144304618044	-0.03381771531	NaN	100000.876420	5000.000000	false	20	3.09670037386e-05	0.0929421371525	1.167475	ok	none
-1.489949749	-45.000000000	1.04090912062	1.37906352743e-05	-0.000337104172952	-0.0074176008023	-0.0144201218208	-0.0337316990134	NaN	100018.901598	5000.000000	false	20	5.79750443761e-05	0.0157101023289	0.712363	ok	none
-1.484924623	-45.000000000	1.02989854884	1.01913008453e-05	-0.00034086272553	-0.00740893403498	-0.0144204722562	-0.0337457624175	NaN	100020.677771	5000.000000	false	20	0.000107717579622	0.0929780273511	1.084901	ok	none
-1.479899497	-45.000000000	1.04538999515	1.50193887069e-05	-0.000330896459847	-0.00741621583322	-0.0144225420872	-0.0337337003634	NaN	100010.201637	5000.000000	false	20	4.01325851478e-05	0.0016015186702	1.063934	ok	none
-1.474874372	-45.000000000	1.04912416434	1.68735274539e-05	-0.000343487317898	-0.00743023241709	-0.0144149856591	-0.0336434392427	NaN	100000.087524	5000.000000	false	20	6.06558725604e-05	0.0156945407867	1.080690	ok	none
-1.469849246	-45.000000000	1.03661816437	1.27407966816e-05	-0.000347936520004	-0.00742208962468	-0.0144153522014	-0.033662433736	NaN	100036.429167	5000.000000	false	20	2.76583567097e-05	0.0555698997553	1.119953	ok	none
-1.464824121	-45.000000000	1.02869265192	9.69413709449e-06	-0.000337861314477	-0.00742378354278	-0.0144159688748	-0.0336547849736	NaN	100008.020792	5000.000000	false	20	5.96733160229e-05	0.0271941634674	1.143656	ok	none
-1.459798995	-45.000000000	1.06303117619	2.20929761979e-05	-0.000350508709096	-0.00744310313755	-0.0144097796965	-0.0335501617364	NaN	100005.244697	5000.000000	false	20	6.96074740551e-05	0.0213893186708	1.108579	ok	none
-1.454773869	-45.000000000	1.04355064483	1.55032264783e-05	-0.000355981559797	-0.00743428350789	-0.0144103637235	-0.0335816136461	NaN	100018.707592	5000.000000	false	20	3.08253504763e-05	0.00970173638117	1.150371	ok	none
-1.449748744	-45.000000000	1.03540807508	1.26455632989e-05	-0.000357137835619	-0.00742672539321	-0.0144104717325	-0.0335792433647	NaN	100027.512971	5000.000000	false	20	9.26709294198e-05	0.0480709823951	1.245454	ok	none
-1.444723618	-45.000000000	1.09007214739	3.23011718624e-05	-0.000358614430754	-0.00745499972426	-0.0144044832314	-0.033451491941	NaN	100020.591261	5000.000000	false	20	8.10639341056e-05	0.0400811874067	0.994328	ok	none
-1.439698492	-45.000000000	1.0507254893	1.85233855015e-05	-0.000365169183348	-0.00744597385091	-0.0144052696416	-0.0334998729192	NaN	100025.028328	5000.000000	false	20	3.54530829469e-05	0.00773592281116	1.028221	ok	none
-1.434673367	-45.000000000	1.04165093432	1.54196528791e-05	-0.000370211452181	-0.00743513454222	-0.0144054278083	-0.0335056830828	NaN	100022.246187	5000.000000	false	20	7.10344793586e-05	0.19364039458	1.107536	ok	none
-1.429648241	-45.000000000	1.23007488115	8.53150072897e-05	-0.000370814088273	-0.00747183209632	-0.0144109985055	-0.033493183542	NaN	100000.144848	5000.000000	false	20	6.26122803492e-05	0.169238993409	1.008440	ok	none
-1.424623116	-45.000000000	1.05769048379	2.17499176436e-05	-0.000377010491437	-0.00745512310876	-0.0144000140593	-0.0334180542536	NaN	100022.434323	5000.000000	false	20	3.99600594932e-05	0.0073500332974	0.996079	ok	none
-1.419597990	-45.000000000	1.0468544981	1.79637841771e-05	-0.000383395082786	-0.00744354609325	-0.0144003008794	-0.0334342170486	NaN	100001.437038	5000.000000	false	20	1.6194729524e-05	0.0053016363747	0.975287	ok	none
-1.414572864	-45.000000000	1.04901582122	1.81830599447e-05	-0.00037096307871	-0.00745027861318	-0.0144015730536	-0.0334234836573	NaN	100006.251170	5000.000000	false	20	8.30821383752e-05	0.0292488116322	1.052568	ok	none
-1.409547739	-45.000000000	1.06408472149	2.49271473032e-05	-0.000388971766184	-0.00746318567768	-0.014394336553	-0.0333318897505	NaN	100015.527565	5000.000000	false	20	4.7543000995e-05	0.0113762774634	1.010542	ok	none
-1.404522613	-45.000000000	1.04549196661	1.79713499416e-05	-0.000395044472236	-0.00745238740141	-0.0143945908829	-0.0333605356846	NaN	100031.803625	5000.000000	false	20	2.20802899565e-05	0.00530345249075	0.995537	ok	none
-1.399497487	-45.000000000	1.02704368057	1.06515934372e-05	-0.000393866264209	-0.00744351173921	-0.0143941531932	-0.0333590367632	NaN	100025.729148	5000.000000	false	20	5.88957140573e-05	0.149220178902	0.989012	ok	none
-1.394472362	-45.000000000	1.06979692732	2.74931899144e-05	-0.000393902582369	-0.00747095562651	-0.0143875910516	-0.0332317678224	NaN	100023.606949	5000.000000	false	20	5.88300067206e-05	0.0342108602622	0.987563	ok	none
-1.389447236	-45.000000000	1.01070037036	4.26013683272e-06	-0.000398129848676	-0.00745850773886	-0.014387648149	-0.0332860927677	NaN	100016.597658	5000.000000	false	20	2.43540340433e-05	0.00512185641135	1.024606	ok	none
-1.384422111	-45.000000000	0	-3.50624913981e-06	-0.000416711646074	-0.00744526649159	-0.0143835935368	-0.0333181175427	NaN	50001.360180	5000.000000	true	10	5.70888890487e-05	0	0.604063	ok	none
-1.379396985	-45.000000000	0	-1.2484928077e-05	-0.000418898338068	-0.00744490942361	-0.0143817556128	-0.033283184681	NaN	55028.906952	5000.000000	true	11	4.89759493976e-05	0	0.649869	ok	none
-1.374371859	-45.000000000	0	-1.10175813025e-05	-0.000423612149057	-0.00744883633617	-0.0143817697357	-0.0332657821369	NaN	60014.068445	5000.000000	true	12	3.76333324848e-05	0	0.572493	ok	none
-1.369346734	-45.000000000	0	-4.17900661858e-05	-0.000438114111561	-0.00742526261922	-0.0143738601936	-0.0331156616138	NaN	40003.860005	5000.000000	true	8	0.000108573819274	0	0.373036	ok	none
-1.364321608	-45.000000000	0	-7.2493123477e-05	-0.000452694758848	-0.00741337423515	-0.014371159147	-0.0332674302859	NaN	40012.637333	5000.000000	true	8	8.47206055506e-05	0	0.412939	ok	none
-1.359296482	-45.000000000	0	-3.73568524385e-05	-0.000471311010723	-0.00742149107317	-0.0144041176972	-0.0335836618124	NaN	40000.371249	5000.000000	true	8	0.000103410067314	0	0.437082	ok	none
-1.354271357	-45.000000000	1.03996015699	1.87317906269e-05	-0.000468761687606	-0.00743720021689	-0.0143972838501	-0.0334388771874	NaN	50019.617650	5000.000000	true	10	7.19278822588e-05	0.00427276534165	0.526285	ok	none
-1.349246231	-45.000000000	1.08401691033	4.17638657148e-05	-0.000497088806894	-0.00741152396061	-0.0144006444001	-0.0335105485117	NaN	45038.213166	5000.000000	true	9	6.64115582674e-05	0.00362411874603	0.462319	ok	none
-1.344221106	-45.000000000	1.11849672444	5.71500614809e-05	-0.000482292331275	-0.00745691836008	-0.0143877099101	-0.0332417146036	NaN	80022.026948	5000.000000	true	16	3.45756536715e-05	0.000747484191364	0.776276	ok	none
-1.339195980	-45.000000000	1.09596980975	4.70673201631e-05	-0.000490438819076	-0.00742641675598	-0.014392220327	-0.0333429045314	NaN	65016.084779	5000.000000	true	13	2.79476487922e-05	0.00430176243835	0.663443	ok	none
-1.334170854	-45.000000000	1.07118136166	3.39959871433e-05	-0.000477596752173	-0.0074260009597	-0.0143896806768	-0.0332887633207	NaN	75015.713996	5000.000000	true	15	1.81023754847e-05	0.00276897340497	0.764206	ok	none
-1.329145729	-45.000000000	1.0461087182	2.13944552669e-05	-0.000464000217393	-0.00743376691757	-0.0143863102722	-0.0332232347283	NaN	95032.498094	5000.000000	true	19	1.06352644757e-05	0.00089453780792	0.942633	ok	none
-1.324120603	-45.000000000	1.09870778404	4.63874575872e-05	-0.000469947310034	-0.00746166168429	-0.0143821813983	-0.0331272228125	NaN	75017.880715	5000.000000	true	15	1.40873885835e-05	0.00220026089036	0.739365	ok	none
-1.319095477	-45.000000000	1.06714222731	3.18772671968e-05	-0.000474772262922	-0.007450691457	-0.0143824680983	-0.0331626782557	NaN	80038.676540	5000.000000	true	16	1.31404827185e-05	0.00334166586352	0.710142	ok	none
-1.314070352	-45.000000000	1.05649465816	2.7168345499e-05	-0.000480901139767	-0.00743690322658	-0.0143830694205	-0.0331782031898	NaN	80015.484616	5000.000000	true	16	1.12937236051e-05	0.00354519103378	0.712461	ok	none
-1.309045226	-45.000000000	1.04333527283	2.09041444353e-05	-0.000482381742873	-0.00742464148946	-0.0143831872549	-0.0331736088129	NaN	80007.418226	5000.000000	true	16	1.07095447079e-05	0.0042126364499	0.895503	ok	none
-1.304020101	-45.000000000	1.07693202004	3.66994566489e-05	-0.00047703747579	-0.00746166373026	-0.0143757583786	-0.0330169343521	NaN	100028.250699	5000.000000	false	20	7.94921256948e-06	0.0153420873887	0.992750	ok	none
-1.298994975	-45.000000000	1.04501310196	2.1923822068e-05	-0.000487054237817	-0.00744752092355	-0.014376853447	-0.033071667192	NaN	100004.295829	5000.000000	false	20	3.21692054962e-06	0.00417838136828	1.215205	ok	none
-1.293969849	-45.000000000	1.03557920869	1.75837924998e-05	-0.000494215390079	-0.00743401932797	-0.0143772529351	-0.033081540088	NaN	100043.668175	5000.000000	true	20	3.77918487664e-06	0.002912717233	1.064318	ok	none
-1.288944724	-45.000000000	1.02384615615	1.14330568913e-05	-0.000479450726475	-0.00743708943114	-0.0143777852738	-0.0330731835619	NaN	100000.147546	5000.000000	false	20	1.26727051622e-05	0.00426085827927	1.190809	ok	none
-1.283919598	-45.000000000	1.05852124806	2.93332518452e-05	-0.000501241050389	-0.00745235927482	-0.0143719632116	-0.0329703847738	NaN	100018.488959	5000.000000	false	20	2.88475468735e-05	0.027704208602	0.841081	ok	none
-1.278894472	-45.000000000	1.04020912013	2.06035009567e-05	-0.000512408649796	-0.00743738734279	-0.0143728783845	-0.0330121683292	NaN	100037.835461	5000.000000	false	20	8.99872824214e-06	0.00494363609436	1.110816	ok	none
