delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-31.111111111	0	-9.37587194139e-05	-9.4292987001e-05	-0.00249829624877	-0.0101392007021	-0.0155426726291	NaN	100032.342949	5000.000000	false	20	0.000129701039107	0	3.430492	ok	none
-1.388888889	-31.111111111	0	-2.98627711793e-05	-5.0130780978e-05	-0.00245377572919	-0.00956308790028	-0.0142345755507	NaN	100006.498585	5000.000000	false	20	0.000127822737384	0	0.247578	ok	none
-1.277777778	-31.111111111	2.01285707252	0.000132115456798	-1.47749468246e-05	-0.00912653403668	-0.014431084717	-0.0273066503768	NaN	65022.443079	5000.000000	true	13	0.000187382785731	0.00399211416558	0.297066	ok	none
-1.166666667	-31.111111111	2.01872845686	0.000174970778666	-1.28104445407e-06	-0.00927410813935	-0.0147027101179	-0.0330041884738	NaN	100013.414915	5000.000000	false	20	0.000429643946496	0.00048131286946	0.706394	ok	none
-1.055555556	-31.111111111	2.00387573509	4.46737292218e-05	-7.98192686617e-06	-0.00946705630771	-0.0149500544377	-0.0371702809308	NaN	100001.311331	5000.000000	false	20	0.00129229501879	0.000713497603253	0.973058	ok	none
-0.944444444	-31.111111111	2.00994481816	8.91168834246e-05	4.62896342635e-06	-0.00942660241127	-0.0150901631232	-0.0400145814143	NaN	100042.338724	5000.000000	false	20	0.000592238663912	0.00611110749037	1.125191	ok	none
-0.833333333	-31.111111111	1.7938502205	3.12612322482e-05	-3.93792574982e-05	-0.00988241831597	-0.015333018071	-0.0439266892524	NaN	100011.243556	5000.000000	false	20	0.000616545473526	0.285118219631	1.373439	ok	none
-0.722222222	-31.111111111	1.06532835894	1.82692856514e-06	-2.79653215654e-05	-0.00993800394959	-0.0154490751925	-0.0456852022457	NaN	100024.001781	5000.000000	false	20	0.000797561715755	0.20586797678	1.403898	ok	none
-0.611111111	-31.111111111	1.27813235593	4.01803751909e-05	-0.000144464943882	-0.0102250816258	-0.0155241897525	-0.0455107305726	NaN	100001.261431	5000.000000	false	20	0.00069453907045	0.0746625257088	1.069229	ok	none
-0.500000000	-31.111111111	1.61489752118	5.22493630651e-05	-8.49724730789e-05	-0.0103666225159	-0.0155468437	-0.0458028539042	NaN	100000.131535	5000.000000	false	20	0.000186824392474	0.563343745438	0.665035	ok	none
