delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-45.000000000	1.02414926833	8.08573161353e-06	-0.000334823047286	-0.00739618014827	-0.0144256109129	-0.0338308942164	NaN	100031.607212	5000.000000	false	20	7.90632494771e-05	0.0406067462002	4.175506	ok	none
-1.388888889	-45.000000000	1.0097816851	3.90218998589e-06	-0.000398928195338	-0.00745718876577	-0.0143877371469	-0.0332888776822	NaN	100008.508400	5000.000000	false	20	2.24543226898e-05	0.00499093856729	1.115366	ok	none
-1.277777778	-45.000000000	1.03667051084	1.88480792728e-05	-0.000513984638938	-0.00743381406259	-0.0143730546057	-0.0330170399357	NaN	100031.720882	5000.000000	false	20	6.86615543409e-06	0.00439115476612	0.798117	ok	none
-1.166666667	-45.000000000	1.00880218525	8.18332903736e-06	-0.000929692889771	-0.00709725685796	-0.0143545270046	-0.0328053150689	NaN	100047.938602	5000.000000	false	20	3.09180514317e-05	0.00654530110096	0.773400	ok	none
-1.055555556	-45.000000000	0	-1.44829856393e-05	-0.000437596366558	-0.00759856027912	-0.0143552809599	-0.0327359969886	NaN	100005.847770	5000.000000	false	20	3.80081959832e-05	1.0145878092	0.778631	ok	none
-0.944444444	-45.000000000	1.07269639036	1.36522392463e-05	-0.000187798034787	-0.00794906940227	-0.0143497869975	-0.032437268853	NaN	100023.395673	5000.000000	false	20	2.8263527053e-05	0.0704878672985	0.668204	ok	none
-0.833333333	-45.000000000	0	-1.55565382812e-05	-6.2403878476e-05	-0.00800420704512	-0.014370451969	-0.0315180775696	NaN	60002.391186	5000.000000	true	12	0.00014106493478	0	0.469002	ok	none
-0.722222222	-45.000000000	2.01388952674	0.000112141773796	1.63490636188e-06	-0.00819154477239	-0.0143884313479	-0.0308383803849	NaN	75016.652370	5000.000000	true	15	0.000177068180422	0.00305119186926	0.423915	ok	none
-0.611111111	-45.000000000	2.01688246106	0.000169578340114	-3.44945778172e-05	-0.0080014259661	-0.0145462430904	-0.0328163090128	NaN	100010.572703	5000.000000	false	20	0.000167100035071	0.00409146942568	0.591229	ok	none
-0.500000000	-45.000000000	2.00343408869	5.92758575725e-05	-2.86151615891e-05	-0.00892833550754	-0.0150809254534	-0.0426738268161	NaN	100032.127355	5000.000000	false	20	0.000532784530272	0.00317510601398	0.908669	ok	none
-1.500000000	-42.222222222	0	-4.74103567945e-05	-0.000909513920137	-0.00734614016467	-0.0143031187799	-0.0315741595757	NaN	60011.307640	5000.000000	true	12	6.28055461351e-05	0	3.538667	ok	none
-1.388888889	-42.222222222	1.06557019889	2.46374393451e-05	-0.000375741415505	-0.0079387073514	-0.0142950132563	-0.031376715751	NaN	100001.336975	5000.000000	false	20	3.81385511171e-05	0.0508769890011	0.757429	ok	none
-1.277777778	-42.222222222	0	-0.000119334634698	-0.00016796310569	-0.00813805997866	-0.0142805949607	-0.0313593641477	NaN	40018.402497	5000.000000	true	8	5.22569931646e-05	0	0.326396	ok	none
-1.166666667	-42.222222222	2.00275294968	3.65564404131e-05	-1.36103548928e-05	-0.00833509080013	-0.0143148789646	-0.0309335775797	NaN	40038.101320	5000.000000	true	8	3.17815093366e-05	0.000894140789946	0.301028	ok	none
-1.055555556	-42.222222222	2.00244546658	1.40630202737e-05	6.24155370996e-06	-0.00830294479355	-0.0143398207324	-0.0308815440632	NaN	85003.473298	5000.000000	true	17	3.22515172447e-05	0.000511123066623	0.543419	ok	none
-0.944444444	-42.222222222	2.03171423179	0.000215416299741	4.98601443877e-05	-0.00836458678474	-0.0144701191734	-0.0318927187998	NaN	70011.923375	5000.000000	true	14	5.58711360727e-05	0.00394386491942	0.435296	ok	none
-0.833333333	-42.222222222	2.0255642571	0.000257772989727	-4.08731173116e-05	-0.0084844973804	-0.0145135569344	-0.0324775145243	NaN	85055.097992	5000.000000	true	17	4.455460391e-05	0.00290015054933	0.548749	ok	none
-0.722222222	-42.222222222	2.03568166447	0.000273765445247	3.98716938499e-05	-0.00878986851543	-0.0147012166097	-0.035819797581	NaN	90020.215479	5000.000000	true	18	0.000286746250648	0.00171816724075	0.797405	ok	none
-0.611111111	-42.222222222	2.04163291859	0.000333157123321	2.6577383316e-05	-0.00864062666862	-0.0147568920008	-0.0349164714791	NaN	100007.847105	5000.000000	false	20	0.000185110289465	0.00280753731711	0.904937	ok	none
-0.500000000	-42.222222222	2.01300249074	0.000155127469411	-3.47840408992e-05	-0.0092554135126	-0.0152157230905	-0.0442344764092	NaN	100002.954217	5000.000000	false	20	0.000308768491963	0.000540832672013	1.461661	ok	none
-1.500000000	-39.444444444	0	-4.25353362717e-05	-0.000132620321196	-0.00325624474286	-0.0105541591791	-0.0162810651661	NaN	100058.846699	5000.000000	false	20	0.000169287314155	0	3.421839	ok	none
-1.388888889	-39.444444444	0	-5.48265990448e-05	-8.77533378118e-05	-0.00403498334226	-0.0107451824811	-0.0163232730217	NaN	100037.584219	5000.000000	false	20	0.000210308186461	0	0.282962	ok	none
-1.277777778	-39.444444444	0	-7.71116915193e-06	-1.33232330282e-05	-0.00917542656943	-0.013246068881	-0.0199321999811	NaN	100107.031954	5000.000000	false	20	0.000310419189369	0	0.264307	ok	none
-1.166666667	-39.444444444	2.02087782478	0.000143033370934	4.24089274763e-05	-0.00888226146109	-0.01430275888	-0.02882167568	NaN	50004.757531	5000.000000	true	10	0.000124477534525	0.000251256276152	0.261373	ok	none
-1.055555556	-39.444444444	2.01779240578	0.000138565391204	2.12357158444e-05	-0.00898142213389	-0.014292204467	-0.0278149643035	NaN	50057.854322	5000.000000	true	10	0.000164621049661	0.00372219366658	0.226633	ok	none
-0.944444444	-39.444444444	2.02964976261	0.000234971858344	2.77197954087e-05	-0.00885982317016	-0.014525325368	-0.0312936536994	NaN	85005.167646	5000.000000	true	17	6.41672271978e-05	0.00373004818027	0.557126	ok	none
-0.833333333	-39.444444444	2.03765470501	0.000246503715557	8.15721372773e-05	-0.00871274526616	-0.0139976863222	-0.0298126111033	NaN	60009.894559	5000.000000	true	12	8.00493233827e-05	0.00346837370394	0.365299	ok	none
-0.722222222	-39.444444444	2.03018171452	0.000256039415092	1.11382781182e-05	-0.00885230337223	-0.014399114524	-0.0309963220938	NaN	100050.368340	5000.000000	false	20	0.000136891811994	0.000810086866023	0.738309	ok	none
-0.611111111	-39.444444444	2.02757235957	0.000270620220118	-1.81019340384e-05	-0.00915838506593	-0.0150327714539	-0.0404296240073	NaN	100017.792854	5000.000000	false	20	0.000954545745758	0.000160914609051	1.065011	ok	none
-0.500000000	-39.444444444	2.01314693278	0.000137615463587	-1.83587248564e-05	-0.00907106933165	-0.0151572259066	-0.0431779857922	NaN	100084.046057	5000.000000	false	20	0.000112029116789	0.00381720106853	1.396454	ok	none
-1.500000000	-36.666666667	0	-9.88191861431e-05	-0.00012437800405	-0.00252669620865	-0.0102073675764	-0.0156904123795	NaN	100017.763952	5000.000000	false	20	0.000129524813808	0	3.427209	ok	none
-1.388888889	-36.666666667	0	-7.3434384618e-05	-7.55778338953e-05	-0.00203633036029	-0.00980533889309	-0.0144082268647	NaN	100094.476011	5000.000000	true	20	0.000108654391624	0	0.145103	ok	none
-1.277777778	-36.666666667	2.01551981734	0.000148117335305	-4.93285432989e-06	-0.00922591277151	-0.014287937978	-0.0278741963929	NaN	50030.136088	5000.000000	true	10	0.000199217027014	0.00210071967822	0.205473	ok	none
-1.166666667	-36.666666667	2.0141591911	9.79701473037e-05	3.36820800456e-05	-0.00929800483813	-0.0140575461054	-0.0227868068705	NaN	100012.269129	5000.000000	false	20	0.000411940985918	0.00172535679878	0.284626	ok	none
-1.055555556	-36.666666667	2.02304772787	0.000209710897323	-7.28202991817e-07	-0.00906738813871	-0.0144960151232	-0.029680273226	NaN	95016.423871	5000.000000	true	19	9.70578910244e-05	7.06655617249e-05	0.566614	ok	none
-0.944444444	-36.666666667	2.02490207449	0.000189624292504	3.64300506574e-05	-0.00907773138601	-0.0145691185544	-0.0293349922713	NaN	75048.047946	5000.000000	true	15	0.000290924503386	0.00242814290374	0.443009	ok	none
-0.833333333	-36.666666667	2.02678912119	0.000249553551246	-3.5448694016e-06	-0.00918315610496	-0.0149279260685	-0.0379041227661	NaN	100004.552591	5000.000000	false	20	0.000945435069256	0.0010313781048	1.060688	ok	none
-0.722222222	-36.666666667	2.00457484873	4.05421879425e-05	4.42978252523e-06	-0.00983026392905	-0.0153199563628	-0.0449600418169	NaN	100000.520225	5000.000000	false	20	0.000414943266467	0.00182433581561	1.497905	ok	none
-0.611111111	-36.666666667	1.38190847699	1.63257207389e-05	-4.27477307327e-05	-0.0100536185605	-0.0152676757967	-0.0432291242593	NaN	100035.670933	5000.000000	false	20	0.000580763926995	1.38190847699	1.344972	ok	none
-0.500000000	-36.666666667	0	-1.51155229748e-06	-5.90980665334e-05	-0.00945052904295	-0.0152883443179	-0.0455891286297	NaN	100031.977865	5000.000000	false	20	0.000597945009069	0	1.180371	ok	none
-1.500000000	-33.888888889	0	-0.000111171615595	-0.000119735155892	-0.00134359225748	-0.00948318250796	-0.0141747139576	NaN	75000.778164	5000.000000	true	15	9.58450070933e-05	0	3.395771	ok	none
-1.388888889	-33.888888889	0	-6.10844059777e-05	-6.12620478871e-05	-0.0038611264175	-0.0106250859253	-0.0163727296428	NaN	100038.528661	5000.000000	false	20	0.000203371436323	0	0.171440	ok	none
-1.277777778	-33.888888889	0	-1.16780363922e-05	-1.17710234951e-05	-0.000506083540065	-0.00929755112378	-0.0141515675832	NaN	100054.491176	5000.000000	false	20	2.11073774115e-05	0	0.177314	ok	none
-1.166666667	-33.888888889	2.03033199864	0.000256066883738	1.96045588992e-05	-0.00908846943821	-0.0146109737031	-0.0326612757782	NaN	100017.795802	5000.000000	true	20	0.000247367415937	0.000269827190069	0.689222	ok	none
-1.055555556	-33.888888889	2.02407632139	0.000198419153522	2.12092855751e-05	-0.00912217591567	-0.0145768154752	-0.0306654044491	NaN	100007.252740	5000.000000	false	20	2.70611995241e-05	0.000450779563125	0.587840	ok	none
-0.944444444	-33.888888889	2.01520762706	0.000111473984492	2.61464008328e-05	-0.00904943189	-0.0148214971886	-0.0356098346961	NaN	100032.697641	5000.000000	false	20	8.74577493703e-05	0.000974335328537	0.959318	ok	none
-0.833333333	-33.888888889	2.01454170314	0.00012276137189	1.41084827205e-05	-0.00941223000426	-0.0151731936159	-0.0419907447966	NaN	100015.735628	5000.000000	false	20	0.000861574884452	0.000457369948255	1.245761	ok	none
-0.722222222	-33.888888889	2.00527685825	2.68790959882e-05	2.52504375152e-05	-0.00987889593572	-0.0153356198863	-0.044536957877	NaN	100031.794967	5000.000000	false	20	0.000668975600692	0.00228621168877	1.550753	ok	none
-0.611111111	-33.888888889	1.43331456103	2.69378904076e-05	-6.21670555994e-05	-0.0102753295145	-0.0153331946374	-0.0434392500706	NaN	100000.878069	5000.000000	false	20	0.000622511365036	1.43331456103	1.106705	ok	none
-0.500000000	-33.888888889	1.07726845381	8.95751845682e-06	-0.000115927238279	-0.0100459636637	-0.0153849926893	-0.0456078739123	NaN	100012.424050	5000.000000	false	20	0.000515139270815	1.07726845381	0.952036	ok	none
-1.500000000	-31.111111111	0	-9.37587194139e-05	-9.4292987001e-05	-0.00249829624877	-0.0101392007021	-0.0155426726291	NaN	100032.342949	5000.000000	false	20	0.000129701039107	0	3.430492	ok	none
-1.388888889	-31.111111111	0	-2.98627711793e-05	-5.0130780978e-05	-0.00245377572919	-0.00956308790028	-0.0142345755507	NaN	100006.498585	5000.000000	false	20	0.000127822737384	0	0.247578	ok	none
-1.277777778	-31.111111111	2.01285707252	0.000132115456798	-1.47749468246e-05	-0.00912653403668	-0.014431084717	-0.0273066503768	NaN	65022.443079	5000.000000	true	13	0.000187382785731	0.00399211416558	0.297066	ok	none
-1.166666667	-31.111111111	2.01872845686	0.000174970778666	-1.28104445407e-06	-0.00927410813935	-0.0147027101179	-0.0330041884738	NaN	100013.414915	5000.000000	false	20	0.000429643946496	0.00048131286946	0.706394	ok	none
-1.055555556	-31.111111111	2.00387573509	4.46737292218e-05	-7.98192686617e-06	-0.00946705630771	-0.0149500544377	-0.0371702809308	NaN	100001.311331	5000.000000	false	20	0.00129229501879	0.000713497603253	0.973058	ok	none
-0.944444444	-31.111111111	2.00994481816	8.91168834246e-05	4.62896342635e-06	-0.00942660241127	-0.0150901631232	-0.0400145814143	NaN	100042.338724	5000.000000	false	20	0.000592238663912	0.00611110749037	1.125191	ok	none
-0.833333333	-31.111111111	1.7938502205	3.12612322482e-05	-3.93792574982e-05	-0.00988241831597	-0.015333018071	-0.0439266892524	NaN	100011.243556	5000.000000	false	20	0.000616545473526	0.285118219631	1.373439	ok	none
-0.722222222	-31.111111111	1.06532835894	1.82692856514e-06	-2.79653215654e-05	-0.00993800394959	-0.0154490751925	-0.0456852022457	NaN	100024.001781	5000.000000	false	20	0.000797561715755	0.20586797678	1.403898	ok	none
