delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-42.86432161	-43.78575436	0.8932309219	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1437.713332,3277.79826,4821.396641,6428.692268,7955.176745,9540.75302,11063.99264,12645.38874	691.3503471,4364.279967,4988.582411,5699.210879,6522.903676,7502.559709,7775.830554,8699.619269	0.9865574132,0.9128274448,0.9803641461,0.7842680922,0.8773839301,0.3296570419,0.4105754379,0.08400087371	0.9909713739,-0.9311718312,-0.9660852682,-0.9687218874,-0.9676016686,-0.9663929571,-0.5759090893,-0.9646338059	ok
-1.49497487	-42.86432161	-43.98568082	0.8923160668	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1562.909613,3404.762147,4954.354481,6569.472339,8103.339503,9698.524298,11229.52753,12821.03202	689.0522453,4396.120475,5010.613816,5696.312474,6487.061976,7422.447362,7643.550455,8558.483756	0.9865401049,-0.8025560202,-0.8965898559,-0.3244659344,-0.4060939942,-0.07789421668,-0.09984539214,-0.01786818689	0.990979428,-0.9279320555,-0.9614991627,-0.9644116316,-0.9631886029,-0.9618159376,-0.5327702832,-0.959921548	ok
-1.48994975	-42.86432161	-44.17987543	0.8914012118	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1673.420135,3506.08788,5061.696389,6684.743291,8225.994351,9830.86364,11369.60955,12971.26733	686.7748729,4431.198409,5035.564043,5696.183054,6453.913436,7345.122217,8420.323761,8779.68909	0.9865133908,0.9181735242,0.9843165576,0.8580382523,0.9388352539,0.4472535167,0.5485452639,0.1109510899	0.9909874554,-0.9233916252,-0.9554508273,-0.9586421128,-0.9573232999,-0.9557766681,-0.9537233244,-0.7359249993	ok
-1.48492462	-42.86432161	-44.37005647	0.8908996590	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	46.44159585,1803.610277,3642.783862,5204.45672,6835.572784,8384.21118,9998.844526,11545.31156	684.5179255,4470.014437,5063.899963,5699.267118,6423.895697,7271.068331,8285.837361,8589.01278	0.9672128444,0.986500427,-0.9162845841,-0.9839014645,-0.8404137215,-0.9249646021,-0.3835193325,-0.4776975022	0.9909954562,-0.9170635647,-0.9474146677,-0.9508726234,-0.9494676944,-0.9477423652,-0.9455099381,-0.6163966457	ok
-1.47989950	-42.86432161	-44.55288402	0.8901914550	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	64.31521018,1814.919372,3646.029662,5213.805909,6853.12078,8409.145497,10033.61788,11587.78046	4888.906085,5626.964102,6624.211495,6908.813262,7851.710724,8343.135617,9413.00289,10191.63422	0.98462011,0.9864747618,0.8887861875,0.96061574,0.4960627764,0.6052887707,0.1139325735,0.1476267767	-0.9378582414,-0.9820786033,-0.9829743959,-0.5904412632,-0.9830037676,-0.9491993837,-0.9829404791,-0.9434825554	ok
-1.47487437	-42.86432161	-41.33302526	0.8994053241	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	337.4310797,2132.377839,3715.80517,5375.267747,6939.989645,8576.043723,10138.07688,11770.7126	4901.224393,5630.015087,6598.929228,6853.069551,7787.169441,8243.462058,9294.571636,10028.06846	0.9916103093,0.9196099034,0.9854640435,0.8778302189,0.9548031578,0.4609238946,0.5684672848,0.09838851589	-0.9381558203,-0.9816467208,-0.9826359568,-0.5435996256,-0.9826120595,-0.9156845702,-0.9825390251,-0.9504325064	ok
-1.46984925	-42.86432161	-41.89966483	0.8974873634	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	469.1405507,2287.988467,3870.152711,5528.836661,7099.896297,8744.61197,10314.11787,11956.85847	4914.768193,5634.131882,6574.721388,6790.698606,7723.604219,8144.352295,9176.29336,9863.001951	0.9887217987,0.2094725854,0.2723720976,0.03444492304,0.04519173767,0.005962887055,0.007820251978,0.001042062472	-0.9384002966,-0.9811331993,-0.9822327426,-0.5307151354,-0.9821467279,-0.8639835328,-0.9820562492,-0.9584147847	ok
-1.46482412	-42.86432161	-42.29642611	0.8953627516	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	597.643858,2420.649372,4007.451758,5672.753133,7250.958655,8905.446216,10482.51355,12135.55815	4929.665861,5639.431359,6551.706275,7661.183541,8045.949285,9058.542323,9697.114044,10875.90132	0.9872542196,-0.8793464452,-0.9575359302,-0.4116619725,-0.5165083868,-0.07433829419,-0.09774470616,-0.01218582938	-0.9385725508,-0.9805150927,-0.9817445183,-0.9815872844,-0.7948585241,-0.9814700229,-0.966177504,-0.9804822876	ok
-1.45979899	-42.86432161	-42.62055632	0.8932381398	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	723.6070817,2542.256567,4134.941943,5808.499519,7394.005058,9058.540119,10643.158,12306.57357	673.5293354,4746.598762,5281.211322,5786.818702,6344.300353,6974.508392,7698.804427,8548.385472	0.986682415,0.6642293082,0.7779017373,0.1343537681,0.1768265706,0.0204784511,0.02708661242,0.003110275373	0.9910350655,-0.8336209158,-0.8513860485,-0.8550734227,-0.8533541249,-0.850906466,-0.8478637924,-0.8437539679	ok
-1.45477387	-42.86432161	-42.90678868	0.8913201791	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	850.5871701,2667.955809,4266.839623,5949.133623,7541.957484,9216.645891,10808.77722,12482.58509	4964.140524,5654.141551,6509.810446,7540.505053,7851.194322,8826.148576,9365.647021,10489.67862	0.9864676088,-0.4238390103,-0.5360464633,-0.06318941298,-0.0838699072,-0.008818638822,-0.01171590247,-0.00123508504	-0.9385852472,-0.9788296757,-0.9803894122,-0.9800633896,-0.6290741044,-0.9798572155,-0.9646591258,-0.9789470005	ok
