delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-26.90954774	-42.81484080	0.8583378325	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	455.6816831,7367.509892,14994.70028,22614.37457,30230.89553,37846.34557,45461.61228,53077.02188	5187.703583,5620.025665,5890.238989,6169.455118,6469.478173,6798.880236,7167.240339,7588.79299	0.985763676,0.9553921163,0.9545801848,0.9539683834,0.9535285555,0.9532193978,0.9530050592,0.952856625	-0.9659866146,-0.9120278291,-0.9788008107,-0.9910635672,-0.9914435593,-0.9901691939,-0.9888127138,-0.9875833109	ok
-1.49497487	-26.90954774	-43.57474107	0.8555444836	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	628.2885135,7404.585466,15030.18457,22650.95542,30269.7207,37887.82854,45505.86146,53124.03585	5187.348466,5619.650925,5889.734029,6168.825558,6468.680291,6797.887047,7166.031129,7587.352847	0.9840835026,0.9549357585,0.9542783512,0.9537877832,0.953432126,0.9531790215,0.9529999497,0.9528738649	-0.9659582672,-0.9101483503,-0.9784653569,-0.9910361103,-0.9914382478,-0.9901632676,-0.9888028154,-0.9875701746	ok
-1.48994975	-26.90954774	-44.24404972	0.8527511347	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	816.1214549,7386.725444,15012.14049,22634.60269,30255.85622,37876.7398,45497.62059,53118.63582	5187.018399,5619.300904,5889.254486,6168.222936,6467.910483,6796.923143,7164.852658,7585.945331	0.9837929445,0.9545361981,0.9540182512,0.9536320355,0.9533489615,0.9531439029,0.9529963781,0.9528902599	-0.9659299078,-0.9081100487,-0.9781134175,-0.9910079571,-0.9914328319,-0.990157301,-0.9887928797,-0.9875569894	ok
-1.48492462	-26.90954774	-44.86936710	0.8499577858	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1012.164593,7285.490989,14912.10925,22536.86078,30160.85204,37784.62529,45408.42374,53032.3403	5186.713047,5618.975231,5888.799979,6167.646883,6467.168369,6795.988126,7163.704508,7584.569992	0.983904025,0.9542471459,0.953837077,0.9535287947,0.9532997324,0.9531310076,0.9530069467,0.9529156232	-0.9659015363,-0.905884358,-0.9777437663,-0.9909790865,-0.9914273105,-0.9901512943,-0.9887829071,-0.9875437555	ok
-1.47989950	-26.90954774	-45.46970167	0.8471644370	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1204.90833,7126.934138,14755.98948,22383.58091,30010.54496,37637.30991,45264.07895,52890.93694	5186.432083,5618.673539,5888.370131,6167.097038,6466.453576,6795.081605,7162.586265,7583.226387	0.9840623328,0.9541263254,0.9537789601,0.9535132069,0.9533124832,0.9531614372,0.9530484843,0.9529637919	-0.9658731527,-0.903434578,-0.9773550289,-0.990949477,-0.9914216823,-0.9901452476,-0.9887728977,-0.9875304735	ok
-1.47487437	-26.90954774	-46.05229142	0.8443710881	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1379.397298,7035.75662,14668.1352,22299.01418,29929.17833,37559.05654,45188.87013,52818.72446	5186.175186,5618.395459,5887.964573,6166.573044,6465.765739,6794.203197,7161.497525,7581.914083	0.9841612157,0.9541544098,0.9538332839,0.9535823436,0.9533888538,0.9532399252,0.9531260862,0.9530390736	-0.9658447567,-0.9007129041,-0.9769456536,-0.990919106,-0.9914159461,-0.9901391609,-0.9887628518,-0.9875171435	ok
-1.46984925	-26.90954774	-46.61833714	0.8415777392	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1521.849789,7116.925001,14753.03638,22387.48384,30021.05181,37654.19858,45287.1812,52920.13624	5185.94204,5618.140619,5887.582934,6166.074554,6465.104496,6793.352528,7160.437893,7580.632657	0.9841607393,-0.9542324089,-0.9539273364,-0.9536837618,-0.9534912309,-0.9533401918,-0.9532215296,-0.9531292795	-0.9658163484,-0.8976561473,-0.9765138725,-0.9908879502,-0.9914101005,-0.9901330344,-0.9887527698,-0.9875037661	ok
-1.46482412	-26.90954774	-47.16580783	0.8393254100	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1652.27581,7255.622078,14895.64296,22533.84534,30170.99885,37807.58281,45443.88611,53080.07681	5185.732334,5617.908642,5887.22485,6165.601224,6464.469497,6792.52923,7159.406981,7579.381694	0.9841273508,0.9543122997,0.9540245268,0.9537896053,0.9535997728,0.9534472909,0.9533252978,0.9532279458	-0.9657879275,-0.8941794549,-0.9760576535,-0.9908559852,-0.9914041441,-0.9901268682,-0.9887426519,-0.9874903415	ok
-1.45979899	-26.90954774	-47.68645067	0.8379484690	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1787.170687,7368.940585,15013.0479,22655.20327,30296.14362,37936.3568,45576.15711,53215.74176	5185.545763,5617.69914,5886.889956,6165.152717,6463.860394,6791.732942,7158.404408,7578.160787	0.9841086819,-0.95439294,-0.9541244421,-0.9538998979,-0.9537142028,-0.9535619098,-0.9534370547,-0.9533349249	-0.965759494,-0.8901669044,-0.9755746351,-0.9908231856,-0.9913980754,-0.9901206622,-0.9887324982,-0.9874768699	ok
-1.45477387	-26.90954774	-48.16989269	0.8372402650	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	44.46753725,1917.06544,7500.420118,15148.79826,22795.12142,30440.07453,38084.1389,45727.64443	5185.382028,5617.511715,5886.577888,6164.728704,6463.276849,6790.963309,7157.429801,7576.969536	0.9721439131,0.984078795,-0.9544739769,-0.9542266372,-0.9540146433,-0.9538353114,-0.9536843425,-0.9535580115	-0.9657310479,-0.8854570783,-0.9750620411,-0.9907895252,-0.991391893,-0.9901144166,-0.9887223091,-0.9874633519	ok
