delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-41.70761540	0.9040262475	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	440.6181105,2278.671571,3333.067042,4575.182417,5580.084314,6712.085253,7697.883649,8784.841365	5035.434462,5911.519744,6718.160719,7628.370272,8524.732367,9458.695133,10416.91851,11365.95845	0.9895402593,0.9143245423,0.9861274259,0.9160859645,0.9860084331,0.917777725,0.9859574422,0.9188066266	-0.9200110998,-0.9855927479,-0.9362383622,-0.985722167,-0.9275923891,-0.9858023256,-0.9236644825,-0.9858500664	ok
-1.49497487	-45.00000000	-42.09476642	0.9025703728	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	568.3666474,2411.284648,3469.012236,4712.689391,5721.865105,6857.802562,7848.26946,8940.26773	5030.99029,5903.215527,6693.210509,7602.204619,8488.909572,9424.025624,10378.82815,11330.76828	0.9877826347,0.9149346549,0.9861134835,0.9161729759,0.9859975124,0.9178027599,0.9859480531,0.9187827587	-0.9203968577,-0.9855531773,-0.938460966,-0.985694653,-0.9284559488,-0.9857831893,-0.9239586949,-0.9858363482	ok
-1.48994975	-45.00000000	-42.39242488	0.9011144981	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	693.9104177,2536.08192,3597.684636,4844.107286,5857.761541,6998.118924,7993.363592,9090.659642	965.7284086,4154.222938,4892.271564,5316.774054,6108.935725,6661.102998,7498.178505,8181.46427	0.9870670883,0.9150917709,0.9861007201,0.9162462369,0.9859870388,0.9178199295,0.9859389327,0.9187553878	0.9897475524,-0.9281955535,-0.9847904016,-0.9217640125,-0.9851906531,-0.9767906184,-0.9853870187,-0.9559761242	ok
-1.48492462	-45.00000000	-42.64210890	0.8998652745	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	821.2109543,2666.167157,3731.772059,4981.238337,5999.43478,7144.3663,8144.436442,9247.140473	960.157648,4158.957155,4892.929005,5301.69827,6090.959804,6627.715729,7462.402191,8132.461201	0.9868003266,-0.912917545,-0.9860881794,-0.9163162868,-0.9859766606,-0.9178357848,-0.9859297219,-0.9187290643	0.9897577179,-0.9286489459,-0.9847321802,-0.9015207082,-0.9851550274,-0.9767941599,-0.9853526387,-0.9586751325	ok
-1.47989950	-45.00000000	-42.86056007	0.8984883335	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	938.7464254,2775.065998,3844.711294,5097.330089,6120.102564,7269.694468,8274.624488,9382.815319	5019.000525,5879.069442,6617.840812,7522.063027,8376.847123,9314.377434,10256.34197,11216.3667	0.9866929815,0.915056842,0.9860757091,0.9163854614,0.9859662839,0.9178518138,0.9859205064,0.9187039692	-0.9215740626,-0.9854293555,-0.9464078212,-0.9856074887,-0.9315934562,-0.9857222502,-0.9250164199,-0.985793079	ok
-1.47487437	-45.00000000	-43.06075282	0.8974457610	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1063.798347,2901.296365,3975.002278,5230.845073,6258.221282,7412.545716,8422.367527,9536.118673	949.2762007,4169.563008,4895.045099,5271.818206,6055.066529,6559.831287,7389.044253,8030.616929	0.9866461748,-0.9088368922,-0.9860631673,-0.9164540974,-0.9859559043,-0.9178682777,-0.9859112758,-0.9186808168	0.989777915,-0.9295760556,-0.9846098967,-0.8495012684,-0.9850843685,-0.9721378275,-0.9852806935,-0.9645101	ok
-1.46984925	-45.00000000	-43.24500380	0.8964031885	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1181.283803,3014.306464,4092.08468,5351.205084,6383.210046,7542.333618,8557.077922,9676.460522	5012.18496,5863.667846,6567.287831,7467.357822,8298.27728,9236.435201,10167.39564,11132.18754	0.9866143415,0.9174762109,0.9860507574,0.9165226121,0.9859455075,0.9178855538,0.9859020267,0.9186594986	-0.9223769667,-0.985342162,-0.9527965343,-0.985545217,-0.934261816,-0.9856782772,-0.9259079239,-0.9857621753	ok
-1.46482412	-45.00000000	-43.41824741	0.8955672672	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1302.388766,3135.064136,4216.926506,5479.378916,6516.037725,7680.027932,8699.725429,9824.811494	938.7266525,4181.839598,4898.370614,5242.322255,6019.435866,6490.669421,7313.491909,7923.799961	0.9865928733,-0.9124779685,-0.9860381792,-0.9165906257,-0.9859351541,-0.9179034103,-0.985892759,-0.9186397559	0.9897979378,-0.9305323309,-0.984478942,-0.7836915557,-0.9850160533,-0.9576182304,-0.9852046721,-0.9704865093	ok
-1.45979899	-45.00000000	-43.58129976	0.8948590633	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1422.682221,3255.441515,4341.397341,5607.231136,6648.568048,7817.491312,8842.172213,9973.033271	933.5710718,4188.671038,4900.547822,5227.696361,6001.796314,6455.691327,7274.987,7868.603829	0.9865739872,-0.9139462127,-0.9860257322,-0.9166584112,-0.9859246747,-0.9179217762,-0.9858834677,-0.918622051	0.9898078854,-0.9310222592,-0.9844098296,-0.7470620283,-0.9849835292,-0.9450172033,-0.9851652849,-0.9731894036	ok
-1.45477387	-45.00000000	-43.73527944	0.8941508593	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	42.83328239,1532.46378,3360.00664,4450.072665,5719.353574,6765.395388,7939.324214,8969.019884	928.4922956,4196.00561,4903.105486,5213.105783,5984.320073,6420.49423,7236.054701,7812.270047	0.9650768633,0.9865507805,-0.9132608966,-0.9860131385,-0.9167259264,-0.9859141876,-0.9179410673,-0.9858742207	0.9898177912,-0.9315205507,-0.9843380564,-0.7092020083,-0.9849526072,-0.9279382529,-0.9851251267,-0.9753723756	ok
-1.44974874	-45.00000000	-43.88226145	0.8934426554	full	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	50.72228949,1543.705943,3365.641995,4459.828728,5732.609681,6783.381253,7962.384477,8997.125279	923.4884195,4203.878147,4906.075408,5198.468185,5967.045244,6385.112596,7196.744339,7754.847679	0.9922600493,0.9865272637,0.921692551,0.9860005769,0.9167931961,0.9859036842,0.91796111,0.9858648345	0.9898276558,-0.9320276167,-0.9842634194,-0.6714084776,-0.9849237541,-0.9057937852,-0.9850843635,-0.9766446422	ok
-1.44472362	-45.00000000	-40.91067083	0.8980399679	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	270.4465565,2034.150876,3140.798479,4434.283406,5492.4601,6682.512706,7723.409415,8874.510839	918.5576062,4212.327245,4909.492815,5183.6165,5950.01312,6349.579513,7157.109923,7696.392676	0.9930690404,0.9149766171,0.9860050722,0.9167031324,0.9858993632,0.917892925,0.9858580813,0.9185345288	0.9898374797,-0.932543898,-0.9841856923,-0.635427482,-0.9848975125,-0.8782002154,-0.9850432196,-0.9764567152	ok
-1.43969849	-45.00000000	-41.66542473	0.8967907443	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	404.7171758,2200.858322,3304.960086,4588.29772,5649.133058,6839.673229,7884.810655,9040.004833	4998.073406,5821.455736,6415.501623,7298.291531,8044.381939,8978.652825,9861.888666,10836.7622	0.990014599,0.9155349362,0.9859786493,0.9168954874,0.9858838537,0.9179857232,0.9858465237,0.9185609067	-0.9248875723,-0.9850541051,-0.973498468,-0.9853358775,-0.9464277604,-0.9855259574,-0.9300523521,-0.9856561136	ok
-1.43467337	-45.00000000	-42.11421739	0.8953348696	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	534.7012004,2343.592993,3450.587886,4734.98385,5800.216986,6995.137425,8045.244831,9206.207623	4996.750861,5815.102248,6390.370667,7269.578903,7999.547375,8932.197989,9804.94888,10780.7027	0.987853455,0.9206995722,0.9859634194,0.9169865163,0.9858723445,0.9180215316,0.9858366655,0.9185593019	-0.9253229291,-0.9850016188,-0.9756745251,-0.9852974737,-0.9492400874,-0.9854969786,-0.9310666375,-0.98563594	ok
-1.42964824	-45.00000000	-42.45044652	0.8937512775	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	661.3858475,2470.319085,3581.205218,4868.757201,5938.732019,7138.815328,8194.053008,9361.15782	4995.755482,5808.974492,6365.338673,7240.771309,7954.049513,8884.769383,9746.211815,10722.56156	0.9869376561,0.9221725545,0.9859502356,0.9170582178,0.9858616179,0.9180474416,0.9858271024,0.9185540536	-0.9257637152,-0.9849476653,-0.9766848128,-0.9852580417,-0.9523045684,-0.9854667953,-0.9322139592,-0.985614877	ok
-1.42462312	-45.00000000	-42.73041371	0.8922954028	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	787.4516325,2595.548981,3710.551533,5001.759359,6076.57003,7282.043008,8342.468929,9515.856036	899.5304164,4252.824584,4928.490672,5885.273496,6206.359325,6996.592617,7453.596455,8294.313327	0.9865933258,-0.9068865157,-0.9859372057,-0.917125695,-0.9858509256,-0.918072017,-0.9858175776,-0.918549791	0.9898763786,-0.9347112451,-0.9838383129,-0.9848326466,-0.7184794857,-0.9848822125,-0.9428492431,-0.9850881844	ok
-1.41959799	-45.00000000	-42.97614370	0.8909184617	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	910.7484188,2714.829311,3834.01213,5129.042094,6208.73077,7419.704974,8485.355905,9665.118197	894.9395006,4264.909101,4934.832193,5870.218293,6170.200692,6956.334305,7391.040527,8226.06221	0.986460547,0.9194260922,0.9859245719,0.9171920207,0.9858402612,0.9180968843,0.9858080914,0.918547204	0.9898860065,-0.9352815199,-0.9837406235,-0.9848308538,-0.6716385957,-0.9848456972,-0.920047347,-0.9850394643	ok
-1.41457286	-45.00000000	-43.19962079	0.8896692381	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1032.150223,2831.427073,3954.815699,5253.755732,6338.352107,7554.912734,8625.819902,9812.038859	890.4118723,4277.917458,4941.938122,5855.749054,6133.630443,6916.194039,7327.909013,8156.906949	0.9863998645,0.9170034034,0.9859117844,0.9172579721,0.9858295817,0.9181225446,0.9857984807,0.9185463871	0.9898955966,-0.9358644957,-0.9836377327,-0.9848369913,-0.6263144848,-0.9848123549,-0.8890040628,-0.9849894842	ok
-1.40954774	-45.00000000	-43.40714677	0.8886266657	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1155.104372,2952.743206,4080.357512,5383.284253,6472.816263,7695.045243,8771.239133,9963.995231	4995.365987,5787.017453,6266.606737,7125.125137,7766.071896,8685.750333,9493.011269,10468.39977	0.9863668311,0.9179143475,0.9858990059,0.9173236537,0.9858188863,0.9181488578,0.9857888526,0.9185473212	-0.9275863975,-0.9847153848,-0.957242791,-0.985090472,-0.9665081516,-0.9853325285,-0.9386074935,-0.9855199882	ok
-1.40452261	-45.00000000	-43.60147180	0.8877118106	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1275.954307,3071.205477,4203.06037,5510.041073,6604.534878,7832.510886,8914.021141,10113.39427	4996.260233,5782.252947,6242.373542,7096.258876,7717.77685,8633.821187,9425.13968,10399.3154	0.986341907,0.9186271595,0.9858862091,0.9173892065,0.9858081769,0.9181760781,0.9857791922,0.9185500999	-0.9280584066,-0.9846526759,-0.9428281098,-0.9850463878,-0.9700797205,-0.9852951985,-0.9408055439,-0.9854930956	ok
-1.39949749	-45.00000000	-43.78494061	0.8868758893	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1391.469326,3181.264856,4317.372485,5628.469337,6727.950316,7961.751497,9048.607043,10254.67665	4997.594969,5777.818566,6218.358355,7067.477159,7669.053412,8581.101798,9355.465861,10327.98188	0.986316974,0.9170598538,0.9858733788,0.9174547608,0.9857974418,0.9182040479,0.9857694971,0.9185549863	-0.9285375984,-0.9845878672,-0.9231194027,-0.9850016229,-0.9732406155,-0.9852562161,-0.9433133453,-0.9854646966	ok
-1.39447236	-45.00000000	-43.95948961	0.8863743365	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	56.20258388,1518.375123,3312.226078,4452.605955,5767.896913,6872.392667,8112.102728,9204.333248	4999.395917,5773.737824,6194.577437,7038.816865,7619.953929,8527.641935,9284.020465,10254.39987	0.9677363218,0.9863018995,-0.9143201548,-0.9858605305,-0.9175200578,-0.9857867366,-0.9182329388,-0.985759778	-0.929024334,-0.9845208149,-0.8976493577,-0.9849563359,-0.9755870763,-0.9852155165,-0.9461671909,-0.9854346539	ok
-1.38944724	-45.00000000	-44.12337473	0.8856661325	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	74.8910646,1532.477835,3320.188415,4464.854979,5784.408068,6893.944429,8139.644464,9237.278603	5001.691397,5770.036566,6171.043621,7010.317184,7570.534056,8473.497396,9210.845593,10178.58153	0.9767275657,0.9862774878,0.9221757467,0.9858477781,0.9175851518,0.9857759169,0.9182629232,0.9857500989	-0.929519,-0.9844513604,-0.8662977503,-0.9849107318,-0.9765448682,-0.9851730456,-0.9493982258,-0.9854028191	ok
-1.38442211	-45.00000000	-40.43323262	0.8908100567	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	214.8444605,1901.020888,3069.355458,4432.043699,5552.1637,6815.790302,7920.867715,9151.92724	5004.51266,5766.743263,6147.763976,6982.019813,7520.852383,8418.730157,9135.995645,10100.55189	0.9931406273,0.9160727875,0.9858715324,0.9173890832,0.9857766901,0.9181707772,0.9857446386,0.9185273666	-0.9300220103,-0.984379328,-0.8293866742,-0.9848650713,-0.975329534,-0.9851287646,-0.9530241261,-0.9853690329	ok
-1.37939698	-45.00000000	-41.53672717	0.8897674842	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	357.9327579,2110.240767,3266.931449,4602.133237,5722.839554,6982.94156,8091.836843,9326.313625	5007.894267,5763.889361,6124.73567,6953.969186,7470.969944,8363.408509,9059.53802,10020.35021	0.9908526262,0.9167444353,0.9858284873,0.9176659209,0.9857563426,0.9183030784,0.9857311918,0.9185832	-0.9305338092,-0.9843045225,-0.787719342,-0.9848196812,-0.9709195034,-0.9850826578,-0.9570349352,-0.9853331255	ok
-1.37437186	-45.00000000	-42.07671582	0.8883116095	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	489.5444261,2264.923107,3423.29484,4757.592762,5882.630515,7147.278289,8261.372782,9502.321323	856.3051621,4428.813274,5038.726586,5773.39771,6613.616699,7590.146636,7919.187741,8739.353144	0.9881601805,-0.9112523678,-0.9858104549,-0.917769154,-0.9857438019,-0.9183531126,-0.9857206612,-0.918604799	0.9899710043,-0.9410941318,-0.9825383913,-0.9853477365,-0.9848681551,-0.9846619492,-0.7157918229,-0.9847587924	ok
-1.36934673	-45.00000000	-42.46292841	0.8865213662	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	616.1895506,2389.768159,3551.919755,4889.612675,6019.625434,7290.233936,8409.781676,9657.781504	852.2873256,4456.098321,5058.177675,5769.546047,6580.560629,7520.760225,7814.401408,8625.308625	0.9869038303,0.9195915266,0.9857964149,0.917842114,0.9857325441,0.9183903387,0.9857105928,0.9186223995	0.9899802716,-0.9418360893,-0.9823486232,-0.9854933026,-0.9849564094,-0.9846635731,-0.6382854495,-0.9846988254	ok
-1.36432161	-45.00000000	-42.77977603	0.8849377741	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	743.6302945,2517.368737,3683.751956,5025.800684,6160.944236,7437.87882,8562.953996,9818.191422	848.3202156,4486.137034,5080.07582,5767.893313,6549.344231,7452.634163,7707.432228,8511.355306	0.9864162476,0.9342792353,0.9857833363,0.9179088914,0.9857216096,0.9184257233,0.9857005916,0.9186405436	0.9899895048,-0.9426026634,-0.9821407108,-0.9856615414,-0.9850754405,-0.9846888813,-0.5705476242,-0.9846474938	ok
-1.35929648	-45.00000000	-43.05536791	0.8834818994	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	869.7876469,2641.742217,3812.474593,5159.161635,6299.491537,7582.903355,8713.543019,9976.124208	5027.85889,5757.625879,6033.99772,6845.236575,7270.692587,8138.171607,8739.459405,9679.18003	0.9862342501,-0.8826918462,-0.9857700187,-0.9179741873,-0.9857105846,-0.9184615821,-0.9856906619,-0.918660182	-0.932679035,-0.9839728017,-0.6052242816,-0.9846504063,-0.8951310861,-0.984881031,-0.9740055671,-0.9851646255	ok
-1.35427136	-45.00000000	-43.30427982	0.8822326758	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	996.6856427,2769.009042,3944.131822,5295.585262,6441.134231,7731.126395,8867.358759,10137.37224	840.533986,4556.233998,5132.842982,5772.710864,6493.916539,7321.793917,8285.890412,8598.881178	0.9861606076,-0.91511333,-0.9857570961,-0.9180389958,-0.985699556,-0.9184980899,-0.9856805509,-0.9186814113	0.9900078702,-0.9442173782,-0.9816563857,-0.9860668477,-0.9854240669,-0.9848401539,-0.9845981598,-0.6723757435	ok
-1.34924623	-45.00000000	-43.53352967	0.8809834522	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1115.842355,2879.776749,4059.316337,5415.63486,6566.431073,7863.09812,9004.949288,10282.48011	836.7128482,4597.426618,5164.766396,5780.169471,6470.657139,7260.086071,8175.648632,8439.448483	0.9861164761,0.9192408255,0.9857441356,0.9181037627,0.9856885074,0.9185353954,0.9856704079,0.9187045746	0.9900170029,-0.9450696882,-0.9813704264,-0.9863021298,-0.985662052,-0.9849835688,-0.9846201351,-0.5770293039	ok
-1.34422111	-45.00000000	-43.74948560	0.8800685971	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1241.630052,3006.257427,4190.234503,5551.506402,6707.575918,8011.008959,9158.503858,10443.63561	832.9383982,4643.701588,5201.302736,5791.859439,6451.19601,7201.704141,8068.083465,9083.448211	0.9860917381,-0.9087985471,-0.9857310007,-0.9181683822,-0.9856774386,-0.9185737329,-0.9856602312,-0.9187295679	0.9900261027,-0.9459548303,-0.9810464673,-0.986555967,-0.9859466415,-0.9851848343,-0.9846913923,-0.9845612873	ok
