delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-32.56281407	-46.01317772	0.8580275530	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9510.482046,17119.16442,24728.4627,32338.0501,39947.76803,47557.54423,55167.34614,62777.15941	5330.431164,18394.2368,26000.40807,33606.90623,41214.95066,48823.93011,56433.36981,64043.02144	0.9426367438,0.9423527785,0.9422274807,0.9421718754,0.9421484253,0.9421377056,0.9421329921,0.9421306484	-0.9636319931,-0.9460337108,-0.9439790612,-0.9429597815,-0.9424969392,-0.9422912976,-0.9422005017,-0.9421604981	ok
-1.49497487	-32.56281407	-46.47638140	0.8587357570	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3558.28583,11167.75054,18777.79465,26388.11603,33998.5649,41609.0718,49219.60469,56830.1493	5327.692647,18388.90271,25996.23862,33603.51147,41212.24424,48821.91249,56432.05578,64042.42306	0.9756421441,0.9424146953,0.9422945289,0.9422396976,0.942216123,0.9422046615,0.9422003824,0.9421985983	-0.9636025248,-0.9460992541,-0.9440797262,-0.943057971,-0.9425850453,-0.9423709994,-0.9422747532,-0.9422315718	ok
-1.48994975	-32.56281407	-46.90210905	0.8578209019	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	16.18961964,3582.357668,11192.66749,18803.51974,26414.63673,34025.87771,41637.17618,49248.50091	5325.013158,18383.7245,25992.3063,33600.42694,41209.91143,48820.32818,56431.23406,64042.37631	0.9642788428,0.9439321987,0.9424747398,0.9423604541,0.9423071472,0.9422839224,0.9422724165,0.9422673937	-0.9635730577,-0.9461641022,-0.9441805734,-0.9431570233,-0.9426740761,-0.9424513999,-0.9423494255,-0.9423028356	ok
-1.48492462	-32.56281407	-47.30550149	0.8573193491	full	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	27.37864855,3728.664867,11339.88653,18951.61224,26563.588,34175.68324,41787.83477,49400.01254	5322.391621,18378.69502,25988.60497,33597.648,41207.94857,48819.174,56430.90177,64042.8785	0.999172704,-0.939231972,-0.9425333783,-0.9424248181,-0.9423740445,-0.9423509066,-0.9423395973,-0.9423349236	-0.9635435912,-0.9462282476,-0.9442815998,-0.9432569752,-0.9427640964,-0.94253257,-0.9424245814,-0.9423743376	ok
-1.47989950	-32.56281407	-40.32278919	0.8757326656	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7556.721054,15166.63001,22777.57742,30389.52344,38002.05387,45614.88569,53227.86557,60840.91675	5319.826983,18373.80714,25985.12844,33595.1701,41206.35218,48818.44703,56431.05627,64043.92721	0.9446871647,0.9435117147,0.9429293291,0.9426499646,0.9425173112,0.9424541398,0.9424245479,0.9424104947	-0.9635141245,-0.946291681,-0.9443828013,-0.9433578647,-0.9428551755,-0.9426145866,-0.9425002909,-0.9424461335	ok
-1.47487437	-32.56281407	-41.85475756	0.8729393167	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7816.213223,15427.45206,23039.75295,30652.8865,38266.49504,45880.34942,53494.32611,61108.36267	5317.31822,18369.05362,25981.87049,33592.98875,41205.11895,48818.14459,56431.69519,64045.52025	0.9442689268,0.943350054,0.9428933899,0.9426716367,0.9425642812,0.9425123328,0.9424870947,0.9424745553	-0.9634846571,-0.9463543912,-0.9444841715,-0.9434597303,-0.9429473859,-0.9426975327,-0.9425766296,-0.9425182852	ok
-1.46984925	-32.56281407	-42.63119120	0.8701459678	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8008.078524,15620.7247,23234.35523,30848.68318,38463.40425,46078.33067,53693.36051,61308.44189	5314.864334,18364.4272,25978.82483,33591.0995,41204.24574,48818.26422,56432.81643,64047.65578	0.9439840125,0.9432532481,0.9428868049,0.9427050576,0.9426165503,0.9425719517,0.9425510667,0.9425406325	-0.9634551882,-0.9464163653,-0.9445857025,-0.9435626102,-0.9430408034,-0.9427814976,-0.9426536821,-0.9425908612	ok
-1.46482412	-32.56281407	-43.23852350	0.8673526189	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8212.515051,15826.68831,23441.7191,31057.3083,38673.20887,46289.27286,53905.42048,61521.6105	5312.464352,18359.92048,25975.98505,33589.4979,41203.72955,48818.80372,56434.41821,64050.33221	0.9437121942,0.9431587996,0.942877952,0.9427373901,0.9426665959,0.9426315611,0.942614333,0.9426047862	-0.9634257174,-0.946477589,-0.9446873846,-0.9436665441,-0.9431355087,-0.9428665774,-0.9427315395,-0.9426639401	ok
-1.45979899	-32.56281407	-43.77455103	0.8645592701	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8448.52163,16064.32881,23680.82367,31297.73732,38914.88193,46532.14848,54149.47829,61766.84058	5310.117323,18355.52598,25973.34463,33588.17952,41203.56755,48819.76118,56436.49905,64053.54833	0.9434629102,0.9430720264,0.942870882,0.9427686586,0.9427159747,0.9426894638,0.9426758485,0.9426689479	-0.963396244,-0.9465380461,-0.9447892059,-0.9437715715,-0.9432315861,-0.9429528757,-0.9428103029,-0.9427376067	ok
-1.45477387	-32.56281407	-44.27618615	0.8617659212	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8732.028243,16349.52454,23967.52054,31585.80705,39204.25246,46822.78256,54441.35701,62059.95472	5307.822323,18351.23605,25970.89689,33587.13991,41203.75708,48821.13493,56439.05781,64057.30329	0.9432617044,0.9430054888,0.9428718494,0.94280244,0.9427668225,0.9427476626,0.9427385131,0.9427327749	-0.9633667676,-0.9465977191,-0.9448911528,-0.9438777325,-0.9433291256,-0.9430405042,-0.9428900841,-0.9428119594	ok
-1.44974874	-32.56281407	-44.76062445	0.8589725723	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9064.837256,16683.98546,24303.4757,31923.16006,39542.95064,47162.79851,54782.67678,62402.5712	5305.578449,18347.04288,25968.63495,33586.37455,41204.29559,48822.92362,56442.09375,64061.59664	0.9431404987,0.9429769624,0.9428896385,0.9428438108,0.9428204998,0.9428071356,0.942800336,0.9427966266	-0.9633372876,-0.9466565889,-0.9449932092,-0.9439850672,-0.9434282204,-0.9431295834,-0.9429710043,-0.9428871054	ok
-1.44472362	-32.56281407	-45.23620439	0.8561792234	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9321.344384,16942.01098,24562.94287,32184.0259,39805.19252,47426.40472,55047.64167,62668.89201	5303.384819,18342.93847,25966.55171,33585.87888,41205.1807,48825.12621,56445.60652,64066.42842	0.9431267238,0.943002981,0.942936341,0.9428998776,0.9428802169,0.942870311,0.9428652508,0.942862251	-0.9633078035,-0.9467146352,-0.9450953567,-0.9440936155,-0.9435289698,-0.943220243,-0.9430531978,-0.9429631663	ok
-1.43969849	-32.56281407	-45.70640687	0.8545956313	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3388.212271,11010.42192,18632.83813,26255.37283,33877.97417,41500.61224,49123.2707,56745.94034	5301.240576,18338.91458,25964.63983,33585.6482,41206.41015,48827.74199,56449.59627,64071.79916	-0.9429035124,-0.943038248,-0.9429861747,-0.942958175,-0.9429416633,-0.9429338645,-0.9429290652,-0.9429259742	-0.9632783149,-0.9467718362,-0.9451975746,-0.9442034178,-0.9436314778,-0.9433126231,-0.9431368127,-0.9430402792	ok
