delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-41.70761540	0.9040262475	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2278.671571,4575.182417,6712.085253,8784.841365,10827.78739,12856.05404,14876.89642,16893.93312	5035.434462,6718.160719,8524.732367,10416.91851,12362.55345,14339.1228,16332.76403,18335.56998	0.9143245423,0.9160859645,0.917777725,0.9188066266,0.9193823045,0.9196922304,0.9198562351,0.9199423312	-0.9200110998,-0.9362383622,-0.9275923891,-0.9236644825,-0.9218332294,-0.9209451424,-0.9205016052,-0.9202760715	ok
-1.49497487	-45.00000000	-42.09476642	0.9025703728	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2411.284648,4712.689391,6857.802562,8940.26773,10993.76324,13033.07961,15065.27189,17093.83863	5030.99029,6693.210509,8488.909572,10378.82815,12328.34541,14312.54038,16315.86658,18329.42402	0.9149346549,0.9161729759,0.9178027599,0.9187827587,0.9193254912,0.9196151374,0.9197670438,0.9198461853	-0.9203968577,-0.938460966,-0.9284559488,-0.9239586949,-0.9218989452,-0.9209155442,-0.9204304809,-0.9201863431	ok
-1.48994975	-45.00000000	-42.39242488	0.9011144981	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2536.08192,4844.107286,6998.118924,9090.659642,11154.93659,13205.46924,15249.14444,17289.35526	4154.222938,5316.774054,6661.102998,8181.46427,9865.466246,11681.30225,13589.45548,15555.17716	0.9150917709,0.9162462369,0.9178199295,0.9187553878,0.9192687551,0.9195402698,0.9196813522,0.9197544036	-0.9281955535,-0.9217640125,-0.9767906184,-0.9559761242,-0.936877878,-0.9275905524,-0.9234734832,-0.9216003979	ok
-1.48492462	-45.00000000	-42.64210890	0.8998652745	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2666.167157,4981.238337,7144.3663,9247.140473,11322.32954,13384.19428,15439.45878,17491.41395	4158.957155,5301.69827,6627.715729,8132.461201,9806.487101,11619.27112,13530.45095,15503.37424	-0.912917545,-0.9163162868,-0.9178357848,-0.9187290643,-0.9192142498,-0.9194685999,-0.9195996928,-0.9196667653	-0.9286489459,-0.9015207082,-0.9767941599,-0.9586751325,-0.9381453569,-0.9280059232,-0.9235630846,-0.921572886	ok
-1.47989950	-45.00000000	-42.86056007	0.8984883335	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2775.065998,5097.330089,7269.694468,9382.815319,11469.02567,13542.3273,15609.2819,17673.07868	5019.000525,6617.840812,8376.847123,10256.34197,12215.42913,14221.73046,16254.09751,18300.25083	0.915056842,0.9163854614,0.9178518138,0.9187039692,0.9191624046,0.9194003622,0.919522035,0.919583754	-0.9215740626,-0.9464078212,-0.9315934562,-0.9250164199,-0.9221574432,-0.9208588832,-0.9202435071,-0.9199437204	ok
-1.47487437	-45.00000000	-43.06075282	0.8974457610	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2901.296365,5230.845073,7412.545716,9536.118673,11633.45592,13718.29742,15797.0416,17872.77617	4169.563008,5271.818206,6559.831287,8030.616929,9681.265195,11484.88795,13400.1008,15386.4162	-0.9088368922,-0.9164540974,-0.9178682777,-0.9186808168,-0.9191132364,-0.9193358204,-0.9194485436,-0.919505359	-0.9295760556,-0.8495012684,-0.9721378275,-0.9645101,-0.9411933293,-0.9290364464,-0.9238153691,-0.9215512097	ok
-1.46984925	-45.00000000	-43.24500380	0.8964031885	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3014.306464,5351.205084,7542.333618,9676.460522,11785.0286,13881.51217,15972.14501,18059.91383	5012.18496,6567.287831,8298.27728,10167.39564,12130.76045,14150.93937,16202.55496,18270.6831	0.9174762109,0.9165226121,0.9178855538,0.9186594986,0.919067044,0.9192749232,0.919379193,0.9194311006	-0.9223769667,-0.9527965343,-0.934261816,-0.9259079239,-0.9223917959,-0.9208508042,-0.9201415552,-0.9198040674	ok
-1.46482412	-45.00000000	-43.41824741	0.8955672672	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3135.064136,5479.378916,7680.027932,9824.811494,11944.71471,14052.94248,16155.56333,18255.4621	4181.839598,5242.322255,6490.669421,7923.799961,9546.09272,11335.81811,13251.75805,15249.71825	-0.9124779685,-0.9165906257,-0.9179034103,-0.9186397559,-0.9190235664,-0.9192174352,-0.9193137063,-0.9193612658	-0.9305323309,-0.7836915557,-0.9576182304,-0.9704865093,-0.9450904796,-0.9304137654,-0.9241900896,-0.9215814498	ok
-1.45979899	-45.00000000	-43.58129976	0.8948590633	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3255.441515,5607.231136,7817.491312,9973.033271,12104.37559,14224.44997,16339.15725,18451.28109	4188.671038,5227.696361,6455.691327,7868.603829,9474.702731,11255.42933,13170.2187,15173.15914	-0.9139462127,-0.9166584112,-0.9179217762,-0.918622051,-0.918982978,-0.9191632893,-0.9192521936,-0.9192955592	-0.9310222592,-0.7470620283,-0.9450172033,-0.9731894036,-0.9474264864,-0.9312728634,-0.9244360443,-0.9216197693	ok
-1.45477387	-45.00000000	-43.73527944	0.8941508593	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	42.83328239,3360.00664,5719.353574,7939.324214,10105.73061,12248.61804,14380.64155,16507.53429	4196.00561,5213.105783,6420.49423,7812.270047,9400.756688,11170.95794,13083.41322,15090.64788	0.9650768633,-0.9132608966,-0.9167259264,-0.9179410673,-0.9186060958,-0.9189453086,-0.9191128707,-0.9191945172	-0.9315205507,-0.7092020083,-0.9279382529,-0.9753723756,-0.9500574605,-0.9322744531,-0.9247302981,-0.9216762374	ok
-1.44974874	-45.00000000	-43.88226145	0.8934426554	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	50.72228949,3365.641995,5732.609681,7962.384477,10139.75917,12294.29635,14438.37104,16577.54763	4203.878147,5198.468185,6385.112596,7754.847679,9324.253444,11082.27542,12991.06261,15001.79242	0.9922600493,0.921692551,0.9167931961,0.91796111,0.9185920832,0.9189102398,0.9190658514,0.9191408883	-0.9320276167,-0.6714084776,-0.9057937852,-0.9766446422,-0.953005245,-0.9334462695,-0.9250819633,-0.9217534732	ok
-1.44472362	-45.00000000	-40.91067083	0.8980399679	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2034.150876,4434.283406,6682.512706,8874.510839,11042.38883,13199.34668,15351.24561,17500.77636	4212.327245,5183.6165,6349.579513,7696.392676,9245.20494,10989.26158,12892.87847,14906.17238	0.9149766171,0.9167031324,0.917892925,0.9185345288,0.9188557254,0.919011616,0.9190861151,0.9191215548	-0.932543898,-0.635427482,-0.8782002154,-0.9764567152,-0.9562792432,-0.9348221934,-0.925502538,-0.9218547561	ok
-1.43969849	-45.00000000	-41.66542473	0.8967907443	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2200.858322,4588.29772,6839.673229,9040.004833,11218.47014,13387.09561,15551.19896,17713.20446	4998.073406,6415.501623,8044.381939,9861.888666,11823.72802,13878.69508,15986.21824,18120.91113	0.9155349362,0.9168954874,0.9179857232,0.9185609067,0.9188442011,0.9189799434,0.9190441994,0.9190744016	-0.9248875723,-0.973498468,-0.9464277604,-0.9300523521,-0.9235462002,-0.9210082991,-0.9199537986,-0.9194911609	ok
