delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-41.48241206	-41.73969806	0.8999465949	continued:5	1,1,1,-1,-1,1,1,-1	1,1,1,1,1,1,1,1	430.1365455,2253.83044,4392.531033,6514.514305,8591.588822,10664.04639,12758.31521,14844.96797	5122.178059,5735.732097,6369.504752,7102.734431,7980.251322,9073.418664,9391.998964,10518.14834	0.9894511164,0.9086639141,0.9818296445,-0.8347647087,-0.9538259791,0.5104036444,0.7604098147,-0.2021001896	1.417443664e-14,4.895759741e-14,1.004191759e-13,1.665963553e-13,2.449055264e-13,3.509360757e-13,3.536773142e-13,4.980856906e-13	ok
-1.49497487	-41.48241206	-42.17771214	0.8974876146	continued:5	1,1,1,-1,-1,1,1,-1	1,1,1,1,1,1,1,1	559.4412009,2390.747967,4534.298659,6665.608704,8747.796477,10829.79148,12930.0891,15027.02686	5170.355584,5770.049598,6374.319261,7067.334618,7888.111136,8895.518953,9119.574205,10198.34895	0.9875646295,0.1853869259,0.3577389176,-0.0791602398,-0.1515231948,0.02656504651,0.05198686073,-0.009555175872	6.283980176e-15,4.993555985e-14,1.109429823e-13,1.785297785e-13,2.677239827e-13,3.915053355e-13,3.995650662e-13,5.466730656e-13	ok
-1.48994975	-41.48241206	-42.52844018	0.8950286342	continued:5	1,1,1,-1,-1,1,1,-1	1,1,1,1,1,1,1,1	686.9646202,2516.61949,4669.511935,6813.691047,8899.325533,10989.54541,13096.16269,15203.69803	5225.123814,5810.442174,6385.110116,7038.254796,7803.787958,8729.714504,9901.690108,10291.17636	0.9867930989,0.7474739444,0.9219218758,-0.4822537461,-0.7328569033,0.1947011201,0.3648691317,-0.07583440802	1.552431601e-14,6.003969083e-14,1.257491431e-13,2.090395767e-13,3.036032748e-13,4.349192164e-13,6.091142991e-13,6.046115029e-13	ok
-1.48492462	-41.48241206	-42.83662841	0.8927763050	continued:5	1,-1,-1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	815.9444617,2647.575686,4810.926947,6968.884788,9057.219971,11155.11746,13268.13835,15386.41703	5287.732042,5858.092926,6403.030566,7016.621533,7728.360664,8576.933279,9628.726277,9902.32929	0.9865067598,-0.8938442108,-0.9780499169,0.8151519961,0.9467832349,-0.5256453011,-0.7782719293,0.2490884373	-2.859292822e-14,6.165201073e-14,1.357405898e-13,2.279991907e-13,3.381756303e-13,4.750867435e-13,6.633487722e-13,6.681251527e-13	ok
-1.47989950	-41.48241206	-43.12028558	0.8905239758	continued:5	1,1,1,-1,-1,1,1,-1	1,1,1,1,1,1,1,1	939.2119683,2760.557424,4934.752492,7106.82414,9197.314205,11302.50532,13421.97939,15551.11733	5359.672539,5914.425632,6429.492225,7003.844281,7663.215477,8438.412316,9380.108419,10580.4858	0.9863915043,0.9123824682,0.9830612263,-0.8777437793,-0.9706961261,0.7020179995,0.8972880423,-0.4140183036	2.906111723e-14,7.009247382e-14,1.631647313e-13,2.658882722e-13,3.93415939e-13,5.634411514e-13,7.660145275e-13,1.05181858e-12	ok
-1.47487437	-41.48241206	-43.39129455	0.8886060151	continued:5	1,-1,-1,1,1,-1,-1,1	1,1,1,1,1,1,1,1	1068.165186,2891.321152,5076.594478,7262.992971,9355.121264,11467.24219,13593.23039,15733.35202	5442.637684,5981.073285,6466.156928,7001.636564,7610.103257,8315.809193,9156.86725,10199.1652	0.9863422212,-0.2285777451,-0.4457600415,0.1274229461,0.2436165253,-0.05169365267,-0.1034535029,0.02344352001	2.310682999e-14,7.722152452e-14,1.709568317e-13,2.837352707e-13,4.319523193e-13,6.127475479e-13,8.52647193e-13,1.168946829e-12	ok
-1.46984925	-41.48241206	-43.65270624	0.8868157719	continued:5	1,1,1,-1,-1,1,1,-1	1,1,1,1,1,1,1,1	1193.799426,3013.801827,5210.309229,7411.18313,9504.446621,11623.13935,13755.71568,15906.95391	5538.314278,6059.697093,6514.799648,7011.932151,7571.118047,8211.260581,8960.635957,9865.634097	0.9863101724,0.05030030097,0.10692423,-0.02909237768,-0.05688339095,0.01217028188,0.02461155175,-0.005817152532	1.959055522e-14,8.632223076e-14,1.914438491e-13,3.151660594e-13,4.882456239e-13,6.978278323e-13,9.370002224e-13,1.247342466e-12	ok
-1.46482412	-41.48241206	-43.90819890	0.8852321797	continued:5	1,-1,-1,1,1,-1,-1,1	1,1,1,1,1,1,1,1	1319.123437,3136.440232,5344.342519,7559.838214,9653.710923,11778.59359,13917.85627,16080.36297	5647.797158,6151.452491,6576.851494,7036.518177,7548.431884,8127.235869,8793.679544,9580.085106	0.9862851063,-0.2879582123,-0.546754129,0.1830314861,0.3432869611,-0.08061168075,-0.1624999974,0.04071251631	1.080260985e-14,1.097060477e-13,2.391337546e-13,3.895444425e-13,5.651011512e-13,7.741113961e-13,1.031943632e-12,1.368809263e-12	ok
-1.45979899	-41.48241206	-44.15899650	0.8837763050	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	1438.418915,3245.817664,5465.245371,7695.482814,9789.447727,11920.13848,14066.21114,16240.15646	5770.282142,6255.776036,6652.30059,7076.063835,7543.462344,8065.855838,8658.395796,9343.539873	0.9862567809,0.9219758897,0.9857795084,-0.9170096826,-0.9839424692,0.8869264253,0.9752452607,-0.8085722674	-1.15196712e-13,1.126451544e-13,2.441719478e-13,3.905734179e-13,5.685559654e-13,7.944142302e-13,1.056485117e-12,1.415895338e-12	ok
-1.45477387	-41.48241206	-44.40634431	0.8827337325	continued:5	1,-1,-1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	1569.713935,3383.539339,5614.723076,7859.890117,9953.3731,12089.43408,14242.48608,16428.07577	5900.903122,6368.347743,6737.75892,7128.291248,7555.145464,8027.259865,8555.770776,9156.440614	0.9862415207,-0.9058324878,-0.9822347332,0.8905357572,0.9752938478,-0.7902729109,-0.9409516417,0.6245838909	-1.756097602e-13,1.18440879e-13,2.538547129e-13,4.266869715e-13,6.317637337e-13,8.569377753e-13,1.135260918e-12,1.461742858e-12	ok
