delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-39.44444444	-44.74393657	0.8489471241	continued:5	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	762.8653225,2381.491131,3175.704274,6099.855609,8858.366219,11910.3383,14722.98594,17388.68784	6076.541048,6469.520468,6739.58299,7013.577973,7303.446966,7613.605293,7947.75951,8310.29872	0.984691387,0.9854837675,0.9583982314,0.9871284835,-0.9309798257,-0.9872249828,0.9313421644,0.9869297318	-0.9145152039,-0.9128666046,-0.9368306329,-0.9390037771,-0.9371911504,-0.9345863604,-0.9318166049,-0.9289680712	ok
-1.38888889	-39.44444444	-45.37981332	0.8461537753	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1015.698657,1352.889432,3222.489702,5119.726559,12922.49211,20695.58632,28456.92611,36213.9066	5788.742941,6173.373763,6431.297537,6691.779017,6966.279101,7259.021535,7573.376421,7913.219851	0.9845157353,0.4756710892,0.985796411,-0.930490562,-0.9292882528,-0.928208024,-0.9274248403,-0.9269074214	-0.7827635937,-0.7811585985,-0.7983024787,-0.7990738509,-0.7970513076,-0.7946469317,-0.7923805858,-0.790388773	ok
-1.27777778	-39.44444444	-45.88781206	0.8433604264	continued:5	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1338.412139,1942.115038,9940.233066,12520.74158,15496.11057,18057.53966,21021.99496,23649.24946	5614.544427,5998.505054,6251.857615,6507.425247,6776.493843,7063.311881,7371.259181,7704.207761	0.9845256443,0.9408839154,0.9350417427,0.9861477338,-0.9350771682,-0.9861304602,0.9349865786,0.9861916203	-0.479868662,-0.4838639816,-0.4881843448,-0.4877730896,-0.4868765797,-0.4863526194,-0.4864462143,-0.4872953115	ok
-1.16666667	-39.44444444	-46.27776637	0.8405670775	full	1,-1,-1,-1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1703.345969,3359.367715,11225.39702,19115.72192,27076.2523,29746.16908,33000.55508,34846.25766	5503.577646,5888.301801,6138.516615,6390.795854,6656.28743,6939.300523,7243.283264,7572.189127	0.9846375044,-0.8850188073,-0.9244418524,-0.9333012604,-0.9363946311,-0.9858327835,0.9383567174,0.9848644838	-0.2545136655,-0.2587328953,-0.2597056368,-0.2595552437,-0.2594904024,-0.259837463,-0.2607337937,-0.2622993791	ok
-1.05555556	-39.44444444	-43.51259217	0.7584077552	continued:5	1,1,1,1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	306.5082287,1029.37734,2001.595338,3637.673663,5243.775833,13185.62668,21210.52945,23532.52181	5430.499991,5816.506591,6064.153356,6313.801483,6576.450911,6856.485411,7157.44497,7483.39771	0.9849821631,0.9835738153,0.9828865592,0.9840602541,-0.906066179,-0.9337860692,-0.9382524513,-0.9850072957	-0.1372336362,-0.1401400467,-0.1405582637,-0.1405898191,-0.1407379871,-0.141171514,-0.1419780989,-0.1432463778	ok
-0.94444444	-39.44444444	-44.99290675	0.7610733866	continued:5	1,1,1,1,1,1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	489.9836977,1366.781667,2756.011473,3211.237533,11319.18445,15427.84217,20734.78569,21128.99238	5382.56543,5770.093982,6015.483972,6262.875324,6523.088122,6800.589714,7099.026551,7422.600364	0.9814364189,0.9824176386,0.9831990573,0.2248600192,0.9383260424,0.9865750871,-0.8811128054,-0.8718371073	-0.0771343628,-0.07900694975,-0.0792734057,-0.07935399445,-0.07951913367,-0.0798694032,-0.08046273011,-0.0813614883	ok
-0.83333333	-39.44444444	-46.02502219	0.7582800378	continued:5	1,1,1,-1,-1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	678.3829268,1699.458131,4016.819599,8479.183852,9376.953254,10262.88568,11759.77887,15053.32328	5352.459531,5741.630599,5984.968282,6230.367616,6488.41822,6763.680019,7059.918212,7381.482186	0.9802094407,0.9819701827,0.9842053479,-0.9460510265,-0.976044064,-0.9794452105,-0.9818875713,0.9358688174	-0.04487483848,-0.04607833336,-0.04626437365,-0.04634454401,-0.04648123988,-0.0467378997,-0.04715339118,-0.04777125594	ok
-0.72222222	-39.44444444	-46.81709620	0.7610733866	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	965.8423709,2412.422938,6840.87518,17073.65209,17472.90745,17719.48327,17968.59556,18231.28881	5335.577083,5726.447041,5967.882104,6211.50735,6467.608923,6740.851118,7035.130513,7354.956568	0.9802576203,0.9824050704,-0.9395474137,-0.9074312367,-0.8926101799,-0.9330497933,-0.9389906378,-0.9384049576	-0.02677960867,-0.02756022951,-0.02769143494,-0.02775745418,-0.02786088456,-0.02804282639,-0.02832963346,-0.02875176956	ok
-0.61111111	-39.44444444	-47.35721626	0.7638667355	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1386.487399,10697.81876,11095.46921,11338.03742,11583.10365,11841.11301,12116.96179,12414.85785	5328.822427,5721.404632,5961.052193,6203.103971,6457.438685,6728.842302,7021.357375,7339.665743	0.9806336485,0.8073821303,0.797203368,0.8293960604,0.8344485733,0.8343522871,0.8335055568,0.8329451973	-0.01628099126,-0.01679232785,-0.01688451146,-0.01693488841,-0.01701015754,-0.01713734487,-0.01733444858,-0.01762286922	ok
-0.50000000	-39.44444444	-47.68479425	0.7610733866	full	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	25.65563852,1757.430715,9230.867618,9968.440465,10498.33091,11149.12898,12063.32254,14490.61852	5330.012203,5724.285116,5962.232072,6202.912012,6455.646598,6725.369819,7016.288284,7333.269237	0.999140685,0.9807362631,-0.8944577134,-0.9176780748,-0.9324424373,-0.9404493149,-0.9532033521,-0.9816939778	-0.01003564014,-0.01037336486,-0.0104378406,-0.01047477636,-0.01052842597,-0.01061671369,-0.01075198871,-0.01094933991	ok
