delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-25.55555556	-48.36418669	0.8279332755	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	12.2984801,1536.670506,8366.85444,16029.61324,23681.02469,31324.66882,38963.30191,46598.85636	274.7113117,4903.533418,5612.133688,5894.412178,6197.934126,6532.458709,6908.924638,7344.121683	0.9651422069,0.9828680372,0.9575603911,0.9567968548,0.9561179734,0.9555633211,0.9551351284,0.9548231101	5.593395034e-20,1.123080533e-15,4.340434934e-13,6.098017638e-13,8.403103342e-13,1.179130882e-12,1.597689069e-12,2.257530095e-12	ok
-1.38888889	-25.55555556	-48.90389089	0.8251399267	full	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	55.06515349,1897.335799,7682.987179,15512.13844,23459.69929,32593.92887,33308.44835,33807.34228	271.1785173,4921.238742,5906.346694,6206.495766,6536.942677,6908.865132,7339.238291,7859.476951	0.9919775019,0.9832994091,0.9563999121,0.9591115613,0.9593282967,0.7393301974,0.7645999912,0.7944894475	5.243442367e-20,5.017080627e-14,6.176877118e-13,8.620889306e-13,1.157697963e-12,1.578984801e-12,2.245204904e-12,3.198683927e-12	ok
-1.27777778	-25.55555556	-41.03115644	0.7257172630	continued:5	1,1,1,1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	141.0682237,644.0945218,1335.019009,2614.38327,8505.572759,18105.54465,18572.46149,18854.94172	267.7650838,4945.705827,5925.54497,6222.838465,6549.654988,6917.552989,7343.779695,7860.509428	0.9790381051,0.9855007608,0.9823252767,0.9827373105,-0.9599355236,-0.9441242664,-0.8619050494,-0.95484693	4.920484231e-20,8.083416218e-14,5.974333084e-13,8.315946874e-13,1.158889311e-12,1.582639823e-12,2.2533256e-12,3.231524279e-12	ok
-1.16666667	-25.55555556	-44.33603504	0.7266321181	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	306.5666524,912.0610938,1837.94057,10397.00303,11424.3104,11737.3492,12086.60477,12487.25052	264.4641685,4975.377379,5950.194317,6245.207927,6568.783072,6933.0884,7355.727881,7869.804428	0.979872425,0.9826480245,0.9810972549,0.9509235578,0.9728486498,0.9737516171,0.9722996437,0.9708050562	4.622670178e-20,6.896241784e-14,6.428968506e-13,8.635908674e-13,1.175025518e-12,1.573744011e-12,2.214128986e-12,3.215435743e-12	ok
-1.05555556	-25.55555556	-46.13591523	0.7238387692	continued:5	1,1,1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	474.6950364,1164.057975,2543.589076,9146.459582,10151.91146,10455.86618,10792.71858,11176.8008	261.2694749,5009.109503,6272.31945,6593.013126,6954.102973,7373.641206,7885.826789,8578.613074	0.9759703198,0.9810718424,0.9821690052,-0.9508907744,-0.9693254994,-0.9745776293,-0.9733114033,-0.9716953868	4.347252881e-20,1.157723411e-14,8.30658806e-13,1.150395048e-12,1.569832378e-12,2.186313282e-12,3.207086443e-12,5.082808883e-12	ok
-0.94444444	-25.55555556	-47.50059605	0.7266321181	continued:5	1,1,1,1,1,1,1,1	1,-1,1,1,1,1,1,1	696.3710204,1565.149282,9198.014667,10472.86832,10796.88016,11163.52263,11593.18228,12126.58129	258.1751977,5046.041737,6303.198725,6621.362497,6979.578237,7396.453275,7907.457068,8606.807795	0.975292729,0.9798613147,0.8061130773,0.8431638923,0.849338682,0.8570112223,0.8680804716,0.8843369531	4.092141576e-20,-2.040968458e-14,8.667692579e-13,1.170990319e-12,1.56436277e-12,2.18410593e-12,3.230773643e-12,5.174444837e-12	ok
-0.83333333	-25.55555556	-48.49601173	0.7238387692	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	916.4407828,2001.270551,8528.616938,9797.487784,10118.9749,10482.72671,10909.75686,11442.37872	255.1759758,5085.514055,6337.081082,6653.077013,7008.736012,7423.353235,7933.856791,8641.926165	0.9752345608,0.9798734569,-0.6594871222,-0.7064444573,-0.7183386129,-0.7339342542,-0.7564854561,-0.7909467301	3.915329696e-20,2.332858689e-14,8.281117694e-13,1.108413897e-12,1.507883335e-12,2.088341078e-12,3.156303283e-12,5.149445152e-12	ok
-0.72222222	-25.55555556	-49.24069311	0.7266321181	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1266.967811,8685.30922,9936.704061,10252.41851,10608.1028,11024.36728,11541.35422,12277.2035	252.2668452,5127.011817,6373.335418,6687.565,7040.968799,7453.710795,7964.385663,8683.594625	0.9759876215,0.2452241796,0.2766653258,0.2868400884,0.3018960662,0.3256380504,0.3680603674,0.4718748627	3.691652444e-20,1.735033651e-13,8.26402445e-13,1.102880015e-12,1.510864155e-12,2.161485875e-12,3.221540732e-12,5.299838004e-12	ok
-0.61111111	-25.55555556	-49.72194863	0.7238387692	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1630.008413,8488.263114,9736.054208,10050.83768,10405.15491,10820.89752,11340.67692,12097.06693	249.4432076,5170.128149,6411.034847,6724.353074,7075.793785,7487.02718,7998.548564,8731.704708	0.9762541223,0.3457087604,0.3873135926,0.4009983401,0.4201296041,0.4499594701,0.5021672243,0.6239554829	3.483854504e-20,1.053672566e-13,7.706545385e-13,1.061436258e-12,1.440372008e-12,2.076541213e-12,3.133683609e-12,5.397369135e-12	ok
-0.50000000	-25.55555556	-50.03176558	0.7210454203	full	1,-1,-1,-1,-1,-1,-1,-1	1,-1,1,1,1,1,1,1	2094.10716,8071.268261,9627.706224,9980.164046,10394.53347,10915.61865,11690.28126,18429.13134	246.7007922,5214.537451,6763.055495,7112.821403,7522.901982,8035.96052,8786.420018,15641.0223	0.9767824383,-0.01557878687,-0.01877012766,-0.01999600054,-0.02202512242,-0.02600768953,-0.03889927706,-0.001929233684	3.290348617e-20,-6.884679907e-14,1.027966794e-12,1.450637395e-12,2.014106925e-12,3.071020216e-12,5.364286617e-12,2.79010193e-13	ok
