delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-44.59919840	-41.66005092	0.9036846521	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2261.980476,4679.490599,6949.772106,9164.065384,11353.94565,13532.61747,15706.02655,17876.93935	4964.255426,6532.512739,8297.85127,10221.70451,12254.58708,14352.62673,16485.96454,18637.32673	0.9157395592,0.9168089917,0.9179472001,0.9185651618,0.9188783221,0.9190321744,0.9191069291,0.9191427409	-0.9231860394,-0.9542059861,-0.9339568065,-0.9252474581,-0.9217989179,-0.9203625821,-0.919727938,-0.9194365084	ok
-1.49799599	-44.59919840	-42.06739799	0.9024354285	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2397.529344,4815.199075,7088.506277,9306.897845,11501.39277,13684.94814,15863.38424,18039.40044	4142.64497,5236.015747,6527.795093,8019.206079,9713.799873,11585.22053,13586.21758,15668.47618	0.9159201377,0.9168545851,0.9179672885,0.9185675877,0.9188702728,0.9190184345,0.9190897595,0.9191241069	-0.9307041005,-0.8136778396,-0.9681154696,-0.9653640286,-0.9400624423,-0.9276346038,-0.9227233502,-0.9207377555	ok
-1.49599198	-44.59919840	-42.37657780	0.9013928561	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2538.820432,4958.98056,7236.123129,9458.96479,11658.24317,13846.76966,16030.28221,18211.43336	4145.18049,5230.095176,6513.709838,7997.211416,9685.796923,11554.34902,13555.68392,15640.62251	-0.9144178903,-0.916886415,-0.9179796368,-0.9185662344,-0.9188606846,-0.9190039887,-0.9190729794,-0.9191059316	-0.9308923482,-0.8001678066,-0.9652442779,-0.9666319205,-0.9407903344,-0.927869068,-0.9227837709,-0.9207437336	ok
-1.49398798	-44.59919840	-42.63147867	0.9001436325	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2656.128003,5079.291845,7360.458043,9587.839069,11791.9507,13985.48012,16174.09239,18360.39742	4147.784962,5224.186233,6499.579702,7975.0193,9657.373051,11522.83228,13524.34565,15611.88113	0.9163045764,0.9169150859,0.9179904233,0.9185642581,0.918850912,0.9189900301,0.91905655,0.9190881769	-0.9310817887,-0.7862428708,-0.9618473499,-0.9678954452,-0.9415570828,-0.9281180371,-0.9228488121,-0.9207515466	ok
-1.49198397	-44.59919840	-42.85691910	0.8992287774	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2789.123736,5215.411333,7500.654212,9732.607287,11941.57653,14140.12887,16333.8584,18525.33343	4150.460159,5218.287645,6485.406923,7952.632258,9628.526937,11490.66109,13492.1855,15582.22944	-0.9113516623,-0.9169433114,-0.9180009707,-0.9185624573,-0.9188414979,-0.9189764292,-0.9190407134,-0.9190711612	-0.9312724438,-0.7719537761,-0.9578789519,-0.9691448185,-0.9423647709,-0.9283825518,-0.9229187624,-0.920761271	ok
-1.48997996	-44.59919840	-43.05995895	0.8983139223	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2909.344415,5338.790754,7628.133937,9864.679797,12078.52526,14282.11783,16480.98091,18677.64148	4153.207922,5212.397634,6471.193761,7930.052987,9599.257522,11457.82635,13459.18591,15551.64414	0.9163781038,0.9169710898,0.9180115018,0.9185607401,0.9188325207,0.9189633296,0.9190254179,0.9190547073	-0.9314643355,-0.7573571971,-0.9532929236,-0.9703683546,-0.943215533,-0.9286637444,-0.9229939365,-0.92077299	ok
-1.48797595	-44.59919840	-43.24827430	0.8976057184	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3036.054738,5468.681663,7762.144843,10003.30246,12222.04225,14430.69224,16634.70505,18836.56662	4156.030165,5206.513787,6456.94249,7907.284367,9569.56403,11424.31903,13425.32898,15520.10127	0.9166012543,0.9169990685,0.9180219377,0.918559445,0.9188239813,0.9189507416,0.9190106858,0.9190388519	-0.9316574868,-0.7425159356,-0.9480433947,-0.9715521812,-0.9441115373,-0.9289628465,-0.9230746784,-0.9207867941	ok
-1.48597194	-44.59919840	-43.42424674	0.8971041656	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3170.249218,5606.070321,7903.669862,10149.45704,12373.10894,14586.83305,16796.01172,19003.0899	4158.928875,5200.632882,6442.655395,7884.32945,9539.445982,11390.13025,13390.59651,15487.5762	-0.9134653641,-0.9170268198,-0.9180326668,-0.918558481,-0.9188158785,-0.9189386689,-0.918996518,-0.9190235908	-0.9318519212,-0.7274992885,-0.9420856237,-0.9726799278,-0.9450549624,-0.9292811999,-0.923161364,-0.9208027817	ok
-1.48396794	-44.59919840	-43.58906400	0.8966026128	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3287.523856,5726.551347,8028.304503,10278.73852,12507.31892,14726.13343,16940.49345,19152.80307	4161.906119,5194.750657,6428.334759,7861.191476,9508.903215,11355.25126,13354.97002,15454.04353	0.9177134998,0.9170544372,0.918043518,0.9185577293,0.9188083916,0.9189271342,0.9189829241,0.9190089355	-0.9320476625,-0.7123836804,-0.9353769563,-0.9737323786,-0.9460479663,-0.9296202657,-0.9232544053,-0.9208210605	ok
-1.48196393	-44.59919840	-43.74563681	0.8962287774	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	13.56475337,3402.956976,5845.194072,8151.113474,10406.21042,12639.73619,14863.65771,17083.21501	4164.964045,5188.861506,6413.982855,7837.873859,9477.935894,11319.6735,13318.43073,15419.47717	0.9567629176,0.916102191,0.9170821826,0.9180546272,0.9185572733,0.918801147,0.918916319,0.918969938	-0.9322447355,-0.6972536738,-0.9278778862,-0.9746870952,-0.9470926475,-0.9299816364,-0.9233542539,-0.9208417477	ok
-1.47995992	-44.59919840	-43.89456100	0.8960615931	full	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3442.441227,5887.916795,8198.023854,10457.80345,12696.29319,14925.33815,17150.10877,19372.92719	4955.36403,6432.562593,8131.04941,10023.33554,12059.25117,14184.68585,16359.04835,18558.02598	-0.4816925195,-0.9171097879,-0.9180657477,-0.9185569858,-0.9187943082,-0.9189056525,-0.918957572,-0.9189815879	-0.9248052998,-0.9683317996,-0.9410067727,-0.9274610281,-0.9223845585,-0.9204394382,-0.9196375786,-0.9192889358	ok
-1.47795591	-44.59919840	-40.95315710	0.9015349169	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2060.742951,4532.579957,6854.496999,9122.059589,11366.87166,13601.6575,15831.92896,18060.14831	4954.702616,6422.572009,8113.693527,10001.97876,12037.57842,14165.45531,16343.84019,18547.60246	0.9154567621,0.9170150443,0.9180111335,0.9185247309,0.9187724496,0.9188887435,0.9189423819,0.9189672038	-0.9249710993,-0.9696710146,-0.9418848015,-0.9277408333,-0.922459303,-0.9204531992,-0.9196324311,-0.9192776654	ok
-1.47595190	-44.59919840	-41.66278484	0.9006200618	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2229.186117,4685.634763,7005.652176,9275.452271,11524.18383,13763.64322,15998.93985,18232.35156	4954.085251,6412.586874,8096.218744,9980.336511,12015.49038,14145.74357,16328.13065,18536.67952	0.9158065941,0.9171408745,0.9180753837,0.9185512235,0.9187789038,0.9188849531,0.9189338804,0.9189560718	-0.9251376512,-0.9709548451,-0.9427990508,-0.9280338718,-0.9225376164,-0.920468202,-0.9196280161,-0.9192670243	ok
-1.47394790	-44.59919840	-42.09120947	0.8995774894	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2380.305837,4836.537674,7159.629727,9433.693332,11687.23511,13931.77597,16172.29127,18410.99166	4953.512668,6402.608399,8078.62633,9958.406758,11992.98023,14125.54043,16311.90783,18525.24462	-0.9105759815,-0.9171874476,-0.9180969859,-0.9185568581,-0.9187755305,-0.9188770117,-0.9189235898,-0.9189447329	-0.9253049685,-0.9721677693,-0.9437506195,-0.9283409428,-0.9226196931,-0.9204844885,-0.9196243417,-0.9192570121	ok
-1.47194389	-44.59919840	-42.41157413	0.8982005484	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2503.175229,4961.918755,7289.005679,9567.717445,11826.24633,14075.95723,16321.73986,18565.75796	4952.98562,6392.637804,8060.917642,9936.18757,11970.04111,14104.83541,16295.15952,18513.28484	0.9163067725,0.9172191142,0.9181108385,0.9185588064,0.9187708552,0.9188688307,0.918913391,0.9189336892	-0.9254730642,-0.9732923122,-0.9447405292,-0.9286628999,-0.922705742,-0.9205021038,-0.9196214162,-0.9192476277	ok
-1.46993988	-44.59919840	-42.67991220	0.8971579759	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2639.893543,5101.759055,7433.057582,9716.516332,11980.0854,14234.99737,16486.06958,18735.42418	4952.50489,6382.676326,8043.094132,9913.677112,11946.66613,14083.61784,16277.87319,18500.78693	-0.9051223049,-0.9172475084,-0.918123049,-0.9185604408,-0.9187662601,-0.9188609454,-0.9189038293,-0.918923207	-0.925641952,-0.9743088894,-0.9457696985,-0.9290006543,-0.9227959878,-0.9205210958,-0.9196192491,-0.9192388707	ok
