delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_scs	gamma_scs	T_signs	gamma_signs	T_event_times	gamma_event_times	T_tangent_V	gamma_tangent_V	status
-1.50000000	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.49497487	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.48994975	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.48492462	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.47989950	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.47487437	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.46984925	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.46482412	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.45979899	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.45477387	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.44974874	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.44472362	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.43969849	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.43467337	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.42964824	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.42462312	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.41959799	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.41457286	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.40954774	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.40452261	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.39949749	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.39447236	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.38944724	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.38442211	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.37939698	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.37437186	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.36934673	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.36432161	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.35929648	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.35427136	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.34924623	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.34422111	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.33919598	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.33417085	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.32914573	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.32412060	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.31909548	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.31407035	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.30904523	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.30402010	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.29899497	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.29396985	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.28894472	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.28391960	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.27889447	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.27386935	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.26884422	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.26381910	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.25879397	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.25376884	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.24874372	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.24371859	-45.00000000												error: T SSCS does not start with ±1: Int64[]
