time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000870875543395	1.25640782769	NaN	1	2211.95160888	2.21195160888	0
20000	20	0.000673541273028	0.971714654431	0.174702725373	2	11448.0183165	11.4480183165	2
30000	30	0.000505111163322	0.728721370423	0.193484066084	3	24575.0856823	24.5750856823	3
40000	40	0.000356330533491	0.514076293585	0.245842891921	4	32541.1076053	32.5411076053	4
50000	50	0.000466531337579	0.673062447144	0.282793745514	5	41053.3848736	41.0533848736	5
60000	60	0.000426483431183	0.615285531189	0.286362636935	7	58820.9750848	58.8209750848	6
70000	70	0.000404359472638	0.583367405912	0.286362636935	7	58820.9750848	58.8209750848	6
80000	80	0.000333495548278	0.48113237366	0.318449650684	9	79633.9388567	79.6339388567	8
90000	90	0.000345991864726	0.499160747428	0.308977921572	10	86010.7564445	86.0107564445	8
100000	100	0.00035260683444	0.508704131431	0.335827174307	11	92711.0339774	92.7110339774	9
110000	110	0.000303347672167	0.437638182301	0.30326546108	12	106390.824697	106.390824697	9
120000	120	0.000302824224052	0.4368830063	0.324660655597	13	113978.692963	113.978692963	10
130000	130	0.000311859497942	0.449918151135	0.311158261729	14	122360.720905	122.360720905	10
140000	140	0.000265463763283	0.382983254824	0.314358232904	15	136709.626323	136.709626323	11
150000	150	0.000260719534673	0.376138779736	0.304170553593	16	144655.685701	144.655685701	11
160000	160	0.000262400883455	0.378564453285	0.324077104584	17	151351.494448	151.351494448	12
170000	170	0.000266144017277	0.383964653888	0.311068302962	18	160862.098584	160.862098584	12
180000	180	0.000246365261661	0.355429941245	0.315190889867	19	175205.119977	175.205119977	13
190000	190	0.000243088163911	0.350702088574	0.300617426914	21	189942.835591	189.942835591	13
200000	200	0.000240303127272	0.346684130025	0.314248130571	22	198671.166468	198.671166468	14
210000	210	0.000232416580684	0.335306248374	0.328308624574	23	206675.74429	206.67574429	15
220000	220	0.000249475575667	0.359917175837	0.317068114987	24	216907.453824	216.907453824	15
230000	230	0.000237647930205	0.342853490384	0.323688884796	25	229546.649658	229.546649658	16
240000	240	0.000236106065679	0.340629050079	0.316755153743	26	237429.555925	237.429555925	16
250000	250	0.000228053304486	0.329011371441	0.310719969191	27	244844.900805	244.844900805	16
260000	260	0.00023253796039	0.335481362273	0.303510119479	28	253427.06492	253.42706492	16
270000	270	0.000221180370045	0.319095823005	0.308786191189	29	267452.623445	267.452623445	17
280000	280	0.000220655887356	0.318339154431	0.30045815052	30	277633.141191	277.633141191	17
290000	290	0.000231774290238	0.334379619132	0.307544853412	31	289959.44038	289.95944038	18
300000	300	0.000231187915965	0.333533659876	0.317560331736	32	299155.752486	299.155752486	19
310000	310	0.000230722458427	0.332862146594	0.309673929933	33	309498.084932	309.498084932	19
320000	320	0.000239384989627	0.345359537398	0.321130957531	34	316846.614875	316.846614875	20
330000	330	0.000231612096696	0.334145623313	0.317083828339	35	323528.515712	323.528515712	20
340000	340	0.000235774460833	0.340150645412	0.321741988801	36	337439.404272	337.439404272	21
350000	350	0.000234517066386	0.338336608678	0.333035043588	37	344131.87516	344.13187516	22
360000	360	0.000233332701725	0.336627931655	0.326290630897	38	353839.167794	353.839167794	22
370000	370	0.00022872240221	0.329976675409	0.316097215142	39	367857.871708	367.857871708	22
380000	380	0.000225271009459	0.324997368203	0.323748201451	40	378085.022971	378.085022971	23
390000	390	0.000236868165677	0.341728527966	0.323748201451	40	378085.022971	378.085022971	23
400000	400	0.000229754765517	0.331466060832	0.327841512803	41	392205.511168	392.205511168	24
410000	410	0.000230404721166	0.332403748623	0.331973823391	43	408636.492727	408.636492727	25
420000	420	0.000232535610103	0.335477971525	0.340664100325	44	416672.088281	416.672088281	26
430000	430	0.000231321725659	0.333726706459	0.34990427955	45	423773.135303	423.773135303	27
440000	440	0.000235249833106	0.339393767592	0.341119492051	47	439652.094032	439.652094032	27
450000	450	0.000238052209866	0.343436742646	0.341119492051	47	439652.094032	439.652094032	27
460000	460	0.000231976946658	0.334671990544	0.344001123261	48	454588.486624	454.588486624	28
470000	470	0.000224371040527	0.323698987487	0.347374851558	49	468734.52338	468.73452338	29
480000	480	0.000231047141879	0.333330565801	0.342281254791	50	478179.354588	478.179354588	29
490000	490	0.000228929805391	0.330275894949	0.350520349479	51	485486.108045	485.486108045	30
500000	500	0.000237942359367	0.343278261876	0.347518553671	52	492098.018186	492.098018186	30
510000	510	0.000238618694878	0.344254007764	0.340576670908	53	504548.985046	504.548985046	30
520000	520	0.000234137771052	0.337789401181	0.344112507545	54	518439.488991	518.439488991	31
530000	530	0.00023338349025	0.336701204009	0.341269046628	55	525163.805186	525.163805186	31
540000	540	0.0002355810244	0.339871575629	0.347761137794	56	534376.436322	534.376436322	32
550000	550	0.000237077397994	0.342030386393	0.342238403644	57	545387.304481	545.387304481	32
560000	560	0.000238374083103	0.343901107569	0.345382177704	58	559708.593317	559.708593317	33
570000	570	0.00023874630035	0.344438103546	0.351985558989	59	568233.152101	568.233152101	34
580000	580	0.000240854043927	0.347478934752	0.348066147464	60	577000.325122	577.000325122	34
590000	590	0.00023919701425	0.345088346253	0.344949689931	61	584563.707008	584.563707008	34
600000	600	0.000240281364854	0.346652733493	0.351453655983	62	592956.901475	592.956901475	35
610000	610	0.000233266390933	0.336532265405	0.344491384449	63	607286.007042	607.286007042	35
620000	620	0.000232272489193	0.335098368294	0.351122161339	64	615170.512668	615.170512668	36
630000	630	0.000231849180302	0.334487662656	0.348280957555	65	622500.991128	622.500991128	36
640000	640	0.000232743528035	0.335777933696	0.354058454597	66	631654.404837	631.654404837	37
650000	650	0.000229589637582	0.331227831579	0.348380706505	67	644252.956194	644.252956194	37
660000	660	0.000227297085418	0.327920377941	0.354122263195	68	653230.852759	653.230852759	38
670000	670	0.000232551380495	0.335500723392	0.350899742098	69	661510.686698	661.510686698	38
680000	680	0.000226595405675	0.326908068055	0.353781190856	70	675677.633066	675.677633066	39
690000	690	0.000225505950389	0.325336316317	0.350820518633	71	683654.817555	683.654817555	39
700000	700	0.000224214452118	0.323473078167	0.354028066037	73	699359.757339	699.359757339	40
710000	710	0.000223666939334	0.322683184188	0.350942469527	74	707746.015921	707.746015921	40
720000	720	0.00021809981023	0.314651514638	0.350942469527	74	707746.015921	707.746015921	40
730000	730	0.000217445416635	0.313707424244	0.345045096052	75	722087.490796	722.087490796	40
740000	740	0.000218310420014	0.314955360329	0.348693500149	77	736859.872807	736.859872807	41
750000	750	0.000217810563654	0.314234220037	0.346017112235	78	744765.162939	744.765162939	41
760000	760	0.000215942642094	0.311539378865	0.351782344849	79	752621.032011	752.621032011	42
770000	770	0.000217457231926	0.313724470105	0.348892555095	80	761039.397681	761.039397681	42
780000	780	0.000212988251326	0.307277093956	0.343435898531	81	775322.851398	775.322851398	42
790000	790	0.000212243210816	0.306202227706	0.340478263189	82	784241.501037	784.241501037	42
800000	800	0.000215657468363	0.311127960138	0.345963528172	83	792357.208854	792.357208854	43
810000	810	0.000213970719321	0.30869449566	0.340822247095	84	806489.750956	806.489750956	43
820000	820	0.000214935318067	0.310086117487	0.346237231322	85	814508.596066	814.508596066	44
830000	830	0.000214235632484	0.309076684566	0.343389942584	86	823424.376029	823.424376029	44
840000	840	0.000212559341886	0.306658308433	0.346273971427	88	839434.802567	839.434802567	45
850000	850	0.00021305282363	0.307370252098	0.346273971427	88	839434.802567	839.434802567	45
860000	860	0.0002083578168	0.300596789028	0.341303002216	89	853810.258045	853.810258045	45
870000	870	0.000209746395189	0.302600084183	0.344720774922	91	868408.796996	868.408796996	46
880000	880	0.000210020603625	0.302995683334	0.343018311873	92	874833.32403	874.83332403	46
890000	890	0.00021392984445	0.308635525686	0.341101243905	93	881853.439956	881.853439956	46
900000	900	0.000216509533203	0.312357229857	0.344577416141	94	894039.079749	894.039079749	47
910000	910	0.000216449702315	0.312270912132	0.34769401363	95	906984.46576	906.98446576	48
920000	920	0.000217553763407	0.313863735594	0.351233592312	96	918656.898422	918.656898422	49
930000	930	0.000218203422344	0.314800995321	0.355563112895	97	928093.016801	928.093016801	50
940000	940	0.000219586292153	0.316796054736	0.355563112895	97	928093.016801	928.093016801	50
950000	950	0.000217114956598	0.313230671187	0.35091941997	98	942482.727899	942.482727899	50
960000	960	0.000218078093124	0.314620183476	0.355688056089	99	950544.112562	950.544112562	51
970000	970	0.000221451349957	0.319486764381	0.352326510696	100	961712.092028	961.712092028	51
980000	980	0.000216764573063	0.312725174598	0.354696452823	101	976121.961039	976.121961039	52
990000	990	0.000218315334945	0.314962451076	0.35251687104	102	984253.935871	984.253935871	52
1000000	1000	0.000217034844833	0.313115094341	0.35477329859	103	998904.171619	998.904171619	53
1010000	1010	0.000219001578695	0.31595249153	0.358321566211	104	1009773.84255	1009.77384255	54
1020000	1020	0.000219331930935	0.316429089069	0.356111725319	105	1018133.4457	1018.1334457	54
1030000	1030	0.000219430014528	0.316570593782	0.360889406883	106	1025343.54831	1025.34354831	55
1040000	1040	0.000218817452863	0.315686854106	0.359216846482	107	1032191.80248	1032.19180248	55
1050000	1050	0.000218841201161	0.315721115657	0.361592482315	109	1048191.93076	1048.19193076	56
1060000	1060	0.000220390610919	0.317956441431	0.359240278454	110	1057109.03463	1057.10903463	56
1070000	1070	0.00021823405978	0.314845195797	0.355914149041	111	1069042.32254	1069.04232254	56
1080000	1080	0.000216868976004	0.312875796204	0.36031235956	112	1076896.80984	1076.89680984	57
1090000	1090	0.000215898602338	0.311475842928	0.358191378382	113	1085314.23234	1085.31423234	57
1100000	1100	0.000214591163366	0.309589607207	0.354196930141	114	1099599.39702	1099.59939702	57
1110000	1110	0.000214171861284	0.308984682172	0.352001429585	115	1108498.14833	1108.49814833	57
1120000	1120	0.000213783957711	0.308425055611	0.350088474977	116	1116588.93298	1116.58893298	57
1130000	1130	0.00021603508332	0.311672743364	0.353059834023	117	1128650.48736	1128.65048736	58
1140000	1140	0.000217279775021	0.313468453908	0.357678999335	118	1135308.30904	1135.30830904	59
1150000	1150	0.000217856480056	0.314300463402	0.357678999335	118	1135308.30904	1135.30830904	59
1160000	1160	0.000217893914395	0.314354469738	0.351769330386	120	1158448.19301	1158.44819301	59
1170000	1170	0.000218146524611	0.314718909244	0.356428149586	121	1164699.79916	1164.69979916	60
1180000	1180	0.000216677239947	0.312599179545	0.354622263644	122	1172639.96902	1172.63996902	60
1190000	1190	0.000216697265298	0.312628070019	0.352634514123	123	1181253.82978	1181.25382978	60
1200000	1200	0.000216009014987	0.311635134709	0.354913068326	124	1195239.09597	1195.23909597	61
1210000	1210	0.000216144891623	0.311831163258	0.352511843017	125	1205386.00271	1205.38600271	61
1220000	1220	0.000216047330691	0.311690412585	0.355479367007	127	1218913.08131	1218.91308131	62
1230000	1230	0.000215960905624	0.31156572757	0.353405914828	128	1228049.62167	1228.04962167	62
1240000	1240	0.000215864015673	0.311425944918	0.353405914828	128	1228049.62167	1228.04962167	62
1250000	1250	0.000215844899399	0.311398365964	0.354132735365	130	1249274.99788	1249.27499788	63
1260000	1260	0.000213176994134	0.307549392268	0.352437520178	131	1257260.1489	1257.2601489	63
1270000	1270	0.000214888806671	0.310019015726	0.35047335569	132	1266278.36985	1266.27836985	63
1280000	1280	0.000214964411402	0.310128090297	0.354109864065	133	1275135.54886	1275.13554886	64
1290000	1290	0.000215710501984	0.311204471481	0.351280134398	134	1287376.26727	1287.37626727	64
1300000	1300	0.000216481168095	0.312316307657	0.355482136394	135	1293997.55069	1293.99755069	65
1310000	1310	0.000216187394766	0.311892482332	0.353342061014	136	1303793.50638	1303.79350638	65
1320000	1320	0.000215524353344	0.310935915761	0.355572292933	138	1319457.7403	1319.4577403	66
1330000	1330	0.000216509085814	0.312356584411	0.353640448887	139	1328609.64372	1328.60964372	66
1340000	1340	0.000214552813967	0.309534280719	0.357171218646	140	1337347.29228	1337.34729228	67
1350000	1350	0.000216832446043	0.31282309461	0.355556911197	141	1345354.07848	1345.35407848	67
1360000	1360	0.000219394823316	0.316519823595	0.353537160256	142	1354972.29389	1354.97229389	67
1370000	1370	0.000220060426141	0.317480085489	0.356928676446	143	1364057.53594	1364.05753594	68
1380000	1380	0.000219391620162	0.31651520242	0.35983414508	145	1376783.5376	1376.7835376	69
1390000	1390	0.000219123977992	0.316129076389	0.358389845226	146	1384240.93531	1384.24093531	69
1400000	1400	0.000220567388726	0.318211477897	0.361862001474	147	1392732.76024	1392.73276024	70
1410000	1410	0.000217259111536	0.313438642801	0.358707386739	148	1406889.72196	1406.88972196	70
1420000	1420	0.000219350480284	0.316455850122	0.356720577412	149	1416632.03199	1416.63203199	70
1430000	1430	0.000219896494335	0.317243581887	0.359262793509	150	1428609.18609	1428.60918609	71
1440000	1440	0.000220138395084	0.317592570897	0.363205530834	151	1434904.19883	1434.90419883	72
1450000	1450	0.000222773431995	0.321394125581	0.362007525228	152	1441546.77624	1441.54677624	72
1460000	1460	0.000218899449866	0.315805150775	0.363399487757	154	1459758.29725	1459.75829725	73
1470000	1470	0.00021841134288	0.315100961247	0.362323209819	155	1465975.86682	1465.97586682	73
1480000	1480	0.00022067364894	0.31836477898	0.36105557182	156	1472998.62815	1472.99862815	73
1490000	1490	0.000221021713505	0.318866930002	0.363332235541	158	1487563.50936	1487.56350936	74
1500000	1500	0.000221116789038	0.319004095003	0.362135247103	159	1494340.42397	1494.34042397	74
1510000	1510	0.000222683427271	0.321264276211	0.360574944661	160	1502663.14131	1502.66314131	74
1520000	1520	0.000221682477304	0.319820210659	0.362487361052	162	1518642.60486	1518.64260486	75
1530000	1530	0.00022237659411	0.320821609532	0.360779224944	163	1527678.35136	1527.67835136	75
1540000	1540	0.000221066578759	0.318931656882	0.360779224944	163	1527678.35136	1527.67835136	75
1550000	1550	0.000221829382936	0.320032150685	0.356690414446	165	1548889.85993	1548.88985993	75
1560000	1560	0.000221438890046	0.319468788529	0.356690414446	165	1548889.85993	1548.88985993	75
1570000	1570	0.000219447323586	0.316595565474	0.358602184892	166	1563021.70036	1563.02170036	76
1580000	1580	0.000220631317523	0.318303707655	0.355894224418	168	1578604.21885	1578.60421885	76
1590000	1590	0.000221486158437	0.319536982403	0.359475762452	169	1585274.38041	1585.27438041	77
1600000	1600	0.000218736951373	0.315570715005	0.356698848307	170	1599453.16558	1599.45316558	77
1610000	1610	0.000222094639913	0.320414835611	0.355527037329	171	1606557.54324	1606.55754324	77
1620000	1620	0.000221589445999	0.319685994856	0.357852309521	172	1618680.76705	1618.68076705	78
1630000	1630	0.000220598422124	0.318256249626	0.356606422708	173	1626165.33194	1626.16533194	78
1640000	1640	0.000220104349912	0.317543454096	0.359711885054	174	1634620.81906	1634.62081906	79
1650000	1650	0.000217327309756	0.313537032035	0.357006302373	175	1648838.33681	1648.83833681	79
1660000	1660	0.000217337079554	0.313551126874	0.355416599486	176	1658040.4481	1658.0404481	79
1670000	1670	0.000219989185957	0.31737730763	0.358192564926	177	1667841.55369	1667.84155369	80
1680000	1680	0.000218531079297	0.315273704382	0.357059058057	178	1674957.29623	1674.95729623	80
1690000	1690	0.00022028754138	0.317807743518	0.360122499311	179	1683285.76836	1683.28576836	81
1700000	1700	0.000221119996516	0.319008722414	0.362135884331	181	1698222.6544	1698.2226544	82
1710000	1710	0.000220786061191	0.318526955578	0.361085577304	182	1704967.46254	1704.96746254	82
1720000	1720	0.000220982983948	0.318811055062	0.359535900371	183	1714119.19116	1714.11919116	82
1730000	1730	0.000220766105375	0.318498165421	0.362307081443	184	1723553.5112	1723.5535112	83
1740000	1740	0.000219029736184	0.315993114201	0.359681960081	185	1737937.20731	1737.93720731	83
1750000	1750	0.00021999167404	0.317380897175	0.358392961182	186	1745989.03745	1745.98903745	83
1760000	1760	0.000220121441091	0.317568111455	0.36087716269	187	1756661.82339	1756.66182339	84
1770000	1770	0.000220690119731	0.318388541309	0.359600474918	188	1764695.84387	1764.69584387	84
1780000	1780	0.000221347322451	0.319336684414	0.362160203791	189	1774879.18145	1774.87918145	85
1790000	1790	0.000222491369217	0.32098719501	0.359991537467	190	1787369.03438	1787.36903438	85
1800000	1800	0.000222586549205	0.321124510707	0.363043497316	191	1794988.43535	1794.98843535	86
1810000	1810	0.000221350779306	0.319341671602	0.361798165371	192	1802957.66396	1802.95766396	86
1820000	1820	0.000222826026464	0.32147000336	0.359513941785	194	1817989.31408	1817.98931408	86
1830000	1830	0.000223697575816	0.322727383288	0.362088298491	195	1827835.19946	1827.83519946	87
1840000	1840	0.000223123587604	0.321899293342	0.365014338184	196	1835803.13479	1835.80313479	88
1850000	1850	0.000225176421857	0.324860907138	0.363748096126	197	1843969.95408	1843.96995408	88
1860000	1860	0.000223165390709	0.321959602474	0.365948831638	199	1857253.07056	1857.25307056	89
1870000	1870	0.00022322631188	0.322047493145	0.364680558856	200	1865477.01644	1865.47701644	89
1880000	1880	0.000223095741611	0.321859120066	0.36360281662	201	1872767.67228	1872.76767228	89
1890000	1890	0.000225885501736	0.325883893163	0.36228258865	202	1881351.30784	1881.35130784	89
