trajectory	final_lambda1_nats_per_second	final_binary_sign_lz76_nats_per_second	final_n_symbols	final_binary_lz76_phrase_count	binary_convergence_path
1	0.227233879299	0.119752404255	1055	172	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_binary_sign_lz76.tsv
2	0.227482259768	0.118815661151	1043	171	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_binary_sign_lz76.tsv
3	0.227243953967	0.117651374835	1056	169	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_binary_sign_lz76.tsv
4	0.219313420404	0.120386633674	1057	173	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_binary_sign_lz76.tsv
5	0.226705797746	0.121220983183	1056	174	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_binary_sign_lz76.tsv
6	0.221100494748	0.116638476961	1040	168	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_binary_sign_lz76.tsv
7	0.228545985816	0.119037138786	1053	171	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_binary_sign_lz76.tsv
8	0.227229554078	0.118318099567	1059	170	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_binary_sign_lz76.tsv
9	0.23515612348	0.12019472164	1035	173	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_binary_sign_lz76.tsv
10	0.229523410377	0.121933191973	1061	175	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_binary_sign_lz76.tsv
