trajectory	final_lambda1_nats_per_second	final_full_sscs_lz76_nats_per_second	final_full_sscs_lz76_bits_per_second	final_n_symbols_total	final_n_symbols_discarded	final_n_symbols_used	final_alphabet_size	final_lz76_phrase_count	convergence_path
1	0.227233879299	0.248926765645	0.359125410341	1055	105	950	25	327	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_full_sscs_lz76_discard10.tsv
2	0.227482259768	0.247301807592	0.356781091416	1043	104	939	24	326	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_full_sscs_lz76_discard10.tsv
3	0.227243953967	0.250038592797	0.360729437859	1056	105	951	24	326	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_full_sscs_lz76_discard10.tsv
4	0.219313420404	0.241843604343	0.348906568656	1057	105	952	25	318	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_full_sscs_lz76_discard10.tsv
5	0.226705797746	0.250551362876	0.361469208709	1056	105	951	25	328	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_full_sscs_lz76_discard10.tsv
6	0.221100494748	0.243051982085	0.350649889233	1040	104	936	24	320	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_full_sscs_lz76_discard10.tsv
7	0.228545985816	0.249488570033	0.359935922745	1053	105	948	25	328	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_full_sscs_lz76_discard10.tsv
8	0.227229554078	0.249973249769	0.360635167796	1059	105	954	25	329	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_full_sscs_lz76_discard10.tsv
9	0.23515612348	0.252465300307	0.364230436749	1035	103	932	25	333	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_full_sscs_lz76_discard10.tsv
10	0.229523410377	0.248992276249	0.359219922164	1061	106	955	25	326	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_full_sscs_lz76_discard10.tsv
