trajectory	final_lambda1_bits_per_second	final_lz76_measurement_window_bits_per_second	final_n_symbols	final_lz76_phrase_count	final_alphabet_size	convergence_path
1	0.327829190787	0.360842711128	1055	359	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_lz76_measurement_window.tsv
2	0.328187528057	0.35913550127	1043	358	24	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_lz76_measurement_window.tsv
3	0.32784372546	0.358796148054	1056	357	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_lz76_measurement_window.tsv
4	0.316402384017	0.351636005287	1057	350	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_lz76_measurement_window.tsv
5	0.32706733015	0.359864920657	1056	358	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_lz76_measurement_window.tsv
6	0.318980587311	0.356903866751	1040	356	24	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_lz76_measurement_window.tsv
7	0.329722160352	0.357791538335	1053	356	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_lz76_measurement_window.tsv
8	0.327822950811	0.357769201574	1059	356	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_lz76_measurement_window.tsv
9	0.339258573179	0.362904260438	1035	362	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_lz76_measurement_window.tsv
10	0.331132285919	0.364131742954	1061	362	25	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_lz76_measurement_window.tsv
