trajectory	n_symbols_total	n_symbols_discarded	n_symbols_used	alphabet_size	first_event_time_seconds	last_event_time_seconds	mean_event_interval_seconds	real_full_sscs_lz76_nats_per_second	real_lz76_phrase_count	surrogate_count	surrogate_mean_nats_per_second	surrogate_std_nats_per_second	surrogate_q025_nats_per_second	surrogate_q25_nats_per_second	surrogate_median_nats_per_second	surrogate_q75_nats_per_second	surrogate_q975_nats_per_second	real_minus_surrogate_mean_nats_per_second	real_over_surrogate_mean	real_surrogate_z	real_surrogate_percentile	empirical_two_sided_p
1	1055	0	1055	25	2.73039253282	9991.74067708	9.47723935915	0.249948332136	359	200	0.257596472605	0.00177742674297	0.254125741587	0.256214446312	0.257606916129	0.258999385946	0.260391855763	-0.00764814046939	0.970309607146	-4.30292865776	0	0.00497512437811
2	1043	0	1043	24	2.14916675352	9994.82195362	9.58989710832	0.248748577147	358	200	0.257388768647	0.00160752392596	0.254289833859	0.256391689853	0.257781346708	0.258476175136	0.259883202702	-0.00864019149951	0.966431357728	-5.37484472857	0	0.00497512437811
3	1056	0	1056	25	2.68617820329	9994.11147544	9.47054530544	0.248529827315	357	200	0.257224890461	0.00153061789045	0.254099123165	0.256187609109	0.25688377109	0.258276095053	0.259668419015	-0.00869506314612	0.966196649436	-5.68075363577	0	0.00497512437811
4	1057	0	1057	25	2.12904693268	9999.02122827	9.4667539596	0.243556773329	350	200	0.25330948241	0.00157927597437	0.250515538281	0.252603167767	0.253299044262	0.253994920758	0.256778426738	-0.0097527090806	0.961498839334	-6.17543053836	0	0.00497512437811
5	1056	0	1056	25	8.23501742773	9992.34126007	9.46360781293	0.249408689538	358	200	0.257967308954	0.00142686054819	0.254982068075	0.257072085026	0.257768757344	0.259162101978	0.260555446612	-0.00855861941613	0.966822852668	-5.99821715371	0	0.00497512437811
6	1040	0	1040	24	0.544010437677	9996.98595007	9.62121457135	0.247162486893	356	200	0.253772000587	0.00165728510788	0.250633870136	0.252716700081	0.25341097673	0.254799530027	0.256899716889	-0.00660951369444	0.973954913548	-3.98815729594	0	0.00497512437811
7	1053	0	1053	25	2.14989157365	9990.01585481	9.49416916657	0.247820008233	356	200	0.258129599025	0.00156732139689	0.254781244419	0.256869615275	0.258261862512	0.258957986131	0.261046356987	-0.0103095907919	0.960060408295	-6.57784090257	0	0.00497512437811
8	1059	0	1059	25	0.786013222065	9998.79618313	9.44991509443	0.24777202027	356	200	0.25838584979	0.00169299698113	0.255427897301	0.257515863764	0.258211852585	0.259603830227	0.26169179669	-0.01061382952	0.958922558923	-6.26925484115	0	0.00497512437811
9	1035	0	1035	25	8.05148578539	9990.45931451	9.65416617865	0.251505718114	362	200	0.260266732217	0.00162421441647	0.25706385553	0.259148157062	0.260190307827	0.261232458593	0.263316760124	-0.00876101410335	0.966338325192	-5.39400094872	0	0.00497512437811
10	1061	0	1061	25	2.71420347325	9992.36596924	9.42419977903	0.252227517109	362	200	0.259330996493	0.00152828001357	0.256390664664	0.258498366982	0.259195128079	0.260588650273	0.261982172467	-0.00710347938379	0.972608444498	-4.64802216918	0	0.00497512437811
