trajectory	final_lambda1_bits_per_second	final_lz76_bits_per_second	final_n_symbols	final_alphabet_size	final_lz76_phrase_count	convergence_path
1	0.325940745939	0.359125410341	950	25	327	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_ttr1e6_postprocess_bits.tsv
2	0.327342965706	0.357191173695	937	24	326	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_ttr1e6_postprocess_bits.tsv
3	0.328698014727	0.361851376147	958	24	329	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_ttr1e6_postprocess_bits.tsv
4	0.316964774489	0.348906568656	952	25	318	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_ttr1e6_postprocess_bits.tsv
5	0.328451578809	0.362741046464	954	25	330	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_ttr1e6_postprocess_bits.tsv
6	0.322937112419	0.352637221802	937	24	322	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_ttr1e6_postprocess_bits.tsv
7	0.329965315618	0.356934974287	947	25	325	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_ttr1e6_postprocess_bits.tsv
8	0.328176326056	0.357790003629	953	25	326	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_ttr1e6_postprocess_bits.tsv
9	0.337318633016	0.363616175385	930	25	332	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_ttr1e6_postprocess_bits.tsv
10	0.328314354886	0.359773521741	957	25	327	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_ttr1e6_postprocess_bits.tsv
