trajectory	initial_state	post_transient_state	final_state	retcode	n_symbols	final_lambda1_nats_per_second	final_lz76_nats_per_second	final_lambda1_bits_per_second	final_lz76_bits_per_second	final_lz76_alphabet_units_per_second	final_lz76_alphabet_size	final_lz76_phrase_count	events_path	convergence_path	metadata_path
1	0.7913218438453058,0.10950107425528167,0.49756135167575705,0.9825545679487505,-42.14903489879139	0.8134110565874426,0.12443966505423977,0.45238911326361547,0.8164037195707864,-38.978834535297295	0.8307603554903985,0.4525165413113399,0.1728969023442868,0.697684442431883,26.0776085612601	Success	1055	0.227233879299	0.249948332136	0.327829190787	0.360599219251	0.0776508152955	25	359	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj01_metadata.txt
2	0.925328435488879,0.20941877542882287,0.20523356368511406,1.0897407299764779,-34.20608521548568	0.6817238565546244,0.10663470389997769,0.5922215110384738,0.823153575718053,-45.88007333573935	0.6157198437834857,0.06431302503421957,0.7309183157915697,0.8253175737379075,-47.76782818418429	Success	1043	0.227482259768	0.248748577147	0.328187528057	0.358868338678	0.0782707249235	24	358	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj02_metadata.txt
3	0.47959037637597274,0.04357115012698499,0.8394803569729717,0.6353757793060926,-51.56724371184221	0.6477033567127333,0.07023443482796979,0.6977008181316134,0.8414890358293047,-46.8964873714602	0.7396789972170313,0.09273720152643139,0.5806904838411739,0.8501310416324516,-43.88047815066322	Success	1056	0.227243953967	0.248529827315	0.32784372546	0.35855274938	0.0772101319955	25	357	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj03_metadata.txt
4	0.9055935891217847,0.18237002781766407,0.2564418884169539,1.0910048713172935,-35.97969182021049	0.6821837314574749,0.0998702559295801,0.602375960281976,0.8234353703734715,-45.80512212657167	0.6404909695558939,0.06854896351112791,0.7051261552056152,0.8601896094579,-47.24331845471408	Success	1057	0.219313420404	0.243556773329	0.316402384017	0.351378149057	0.075665165909	25	350	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj04_metadata.txt
5	0.6028094611656104,0.06283402988958177,0.7417970768338783,0.7900969047363892,-48.19778230865911	0.21013587616055404,0.018294610270914956,0.9588186640930892,0.5969147706269168,-59.82601512531457	0.7610553970983014,0.09951613753361743,0.5478692355341934,0.8559035866703191,-43.087833672441384	Success	1056	0.226705797746	0.249408689538	0.32706733015	0.359820679551	0.0774831658963	25	358	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj05_metadata.txt
6	0.6937533871093594,0.08072957679472104,0.6432027446446342,0.884338275905284,-45.55161229337189	0.7826038800999703,0.10795681829590797,0.5122033678703071,0.8440628884553949,-41.93830109074221	0.5849853755766694,0.05899884513017846,0.7596030546741271,0.8241322119328521,-48.68717576074402	Success	1040	0.221100494748	0.247162486893	0.318980587311	0.356580094134	0.0777716489673	24	356	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj06_metadata.txt
7	0.9247439896785589,0.20901565771854244,0.20626465736846508,1.0980546375437374,-34.27196931567965	0.6816757103402499,0.10889726485787447,0.5889517933918292,0.823043127969057,-45.90402289667812	0.7050602081677159,0.10592222117478055,0.5750995504263052,0.7429755157316591,-44.33693846654268	Success	1053	0.228545985816	0.247820008233	0.329722160352	0.357528696911	0.076989614299	25	356	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj07_metadata.txt
8	0.5884985432091185,0.05966131281304318,0.756435855092456,0.7737369785884812,-48.63225658327764	0.6861613017972561,0.07849360864781371,0.6530099700587741,0.8491644393588059,-45.73342224547669	0.6841237906905249,0.07773349561192473,0.6551367050791531,0.8669695431956024,-45.93040453646946	Success	1059	0.227229554078	0.24777202027	0.327822950811	0.357459464915	0.0769747060001	25	356	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj08_metadata.txt
9	0.6266986584732608,0.06596908649189573,0.7201494427090461,0.8074318648214078,-47.54470491247428	0.6930678201519448,0.07996617747710262,0.6441793758247244,0.8593994184553801,-45.58531089605976	0.7093499659296877,0.09180278544389564,0.5991889823179704,0.7802643194011954,-44.40469964089103	Success	1035	0.23515612348	0.251505718114	0.339258573179	0.362846052278	0.0781346444527	25	362	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj09_metadata.txt
10	0.7938987772395322,0.11041082311237002,0.49166418865495787,0.9842772224370179,-41.97714626974614	0.8127257690999556,0.12403393856702093,0.4538396561380785,0.816262428446962,-39.06048817165835	0.7842813524273347,0.10825707236001526,0.5093636895210256,0.8549663280925365,-42.002840988295596	Success	1061	0.229523410377	0.252227517109	0.331132285919	0.363887388109	0.0783588839186	25	362	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh0_dCa-35_dx-1_ystub_ttr1e4_tmax1e7_ensemble10_trajectories/traj10_metadata.txt
