time	time_seconds	lambda1_bits_per_second	lz76_measurement_window_bits_per_second	n_symbols	lz76_phrase_count	alphabet_size	lz76_elapsed_seconds	lz76_mean_event_interval_seconds
10000	10	0.982431688241	NaN	1	0	0	NaN	NaN
20000	20	1.1210837756	0.174896317229	2	2	2	11.4353465624	5.7176732812
30000	30	0.539673814593	0.18454636998	3	3	3	25.7652724498	8.58842414993
40000	40	0.39694269449	0.238459381411	5	4	4	38.9488235883	7.78976471766
50000	50	0.436695233323	0.275272235241	6	5	4	46.9528374058	7.82547290097
60000	60	0.464011309075	0.262039108031	7	5	4	53.567479739	7.65249710557
70000	70	0.449125702341	0.224761946525	8	5	5	66.7372757351	8.34215946689
80000	80	0.432113010739	0.25845384578	9	6	5	73.5897349534	8.17663721704
90000	90	0.380616074554	0.264682731803	10	7	6	87.8542264764	8.78542264764
100000	100	0.378386736108	0.285567344221	11	8	7	96.9139276922	8.81035706293
110000	110	0.358655293103	0.307048043822	12	9	7	105.080176069	8.75668133908
120000	120	0.371003953984	0.321720243175	14	10	7	118.343654241	8.45311816007
130000	130	0.375508585569	0.308792445909	15	10	7	126.5215729	8.43477152667
140000	140	0.355980567735	0.33153513475	16	11	7	132.715948894	8.29474680588
150000	150	0.352065103257	0.30847396983	18	11	7	148.697068479	8.26094824883
160000	160	0.348805586303	0.30847396983	18	11	7	148.697068479	8.26094824883
170000	170	0.321821323613	0.312621006162	19	12	7	163.057277523	8.58196197489
180000	180	0.308993211784	0.321366899166	21	13	7	177.678929113	8.46090138633
190000	190	0.333084514722	0.321366899166	21	13	7	177.678929113	8.46090138633
200000	200	0.354729994063	0.302458313251	22	13	8	191.671408926	8.71233676936
210000	210	0.336885601724	0.306715808054	23	14	9	206.477350439	8.97727610604
220000	220	0.321156397852	0.306715808054	23	14	9	206.477350439	8.97727610604
230000	230	0.322191060518	0.304038665483	25	15	9	229.108500841	9.16434003364
240000	240	0.329101196146	0.304038665483	25	15	9	229.108500841	9.16434003364
250000	250	0.319749940022	0.304447996216	27	16	9	249.888982618	9.25514750437
260000	260	0.327393067533	0.304447996216	27	16	9	249.888982618	9.25514750437
270000	270	0.310489245622	0.30980876052	28	17	9	263.791874503	9.42113837511
280000	280	0.314460668815	0.298091728832	30	17	9	279.837150974	9.32790503247
290000	290	0.318796649826	0.298091728832	30	17	9	279.837150974	9.32790503247
300000	300	0.334258373172	0.303089627938	31	18	9	294.221660417	9.49102130377
310000	310	0.309778115296	0.310140005616	33	19	9	309.032973922	9.36463557339
320000	320	0.304967926721	0.304797277588	34	19	9	317.134702609	9.32749125321
330000	330	0.304064767786	0.299772801134	35	19	9	325.100799517	9.28859427191
340000	340	0.316922171435	0.309802079543	36	20	9	333.756636435	9.27101767875
350000	350	0.321458088483	0.300771394444	37	20	10	346.406171721	9.36232896543
360000	360	0.319131885928	0.310918293918	38	21	11	354.454787441	9.32775756424
370000	370	0.31017622849	0.320786377421	39	22	11	362.48063197	9.29437517872
380000	380	0.321335153136	0.314313118401	40	22	11	372.50248632	9.312562158
390000	390	0.32953676824	0.323392175604	41	23	11	381.034871595	9.29353345354
400000	400	0.335214563977	0.326132234677	43	24	12	399.31763949	9.28645673233
410000	410	0.334173806132	0.326132234677	43	24	12	399.31763949	9.28645673233
420000	420	0.318256902622	0.31687275014	44	24	12	413.498348436	9.39768973718
430000	430	0.327163019953	0.324648683872	45	25	12	422.907389522	9.39794198938
440000	440	0.310069083417	0.315961645832	46	25	12	437.043706801	9.50095014785
450000	450	0.31746097535	0.324524391965	47	26	12	445.018352147	9.4684755776
460000	460	0.314264332479	0.317389176069	49	26	12	459.947808413	9.38668996761
470000	470	0.314546403742	0.313487806324	50	26	12	468.089214234	9.36178428468
480000	480	0.315906035905	0.322826354325	51	27	12	474.420635681	9.30236540551
490000	490	0.316419048125	0.319961489393	52	27	12	481.032491384	9.25062483431
500000	500	0.327657088838	0.313447793165	53	27	13	493.395888073	9.30935637874
510000	510	0.330508816406	0.318577205397	54	28	14	505.801568131	9.36669570613
520000	520	0.329364928786	0.32649913881	55	29	14	513.506505112	9.33648191113
530000	530	0.313733328916	0.319015720365	56	29	14	527.915340809	9.4270596573
540000	540	0.325682083457	0.326443620332	57	30	14	536.039577821	9.40420311967
550000	550	0.323706306837	0.319622780397	58	30	14	549.833868648	9.47989428703
560000	560	0.326860089978	0.327651167616	59	31	14	556.573430997	9.433447983
570000	570	0.327637300237	0.323671460235	60	31	14	565.739124268	9.42898540447
580000	580	0.327868268859	0.330142097866	61	32	15	574.854270415	9.42384049861
590000	590	0.340967140263	0.337821188965	62	33	15	581.634558935	9.38120256347
600000	600	0.324783614726	0.330937768866	63	33	15	596.034227678	9.46086075679
610000	610	0.332733235146	0.327518192046	64	33	15	604.546571179	9.44604017467
620000	620	0.332654196347	0.333562175463	65	34	16	613.86008578	9.44400131969
630000	630	0.337738450342	0.340243183804	66	35	16	621.772321233	9.42079274595
640000	640	0.330566191127	0.333896196552	67	35	16	635.865648841	9.49053207225
650000	650	0.330524065834	0.330438686893	68	35	16	644.782853506	9.48210078685
660000	660	0.327801576973	0.337034220966	69	36	16	652.47641564	9.45617993681
670000	670	0.32919611284	0.333900479451	70	36	16	660.838190387	9.44054557696
680000	680	0.315819623613	0.336987217062	71	37	16	675.22039977	9.51014647563
690000	690	0.311044359217	0.331937122217	73	37	16	689.960517669	9.45151394067
700000	700	0.310485848622	0.338085728477	74	38	16	697.927206088	9.43144873092
710000	710	0.311373295699	0.335156250366	75	38	16	706.22317197	9.4163089596
720000	720	0.31255238188	0.332604426854	76	38	16	713.824670815	9.39242987914
730000	730	0.311083127544	0.335604731448	77	39	16	728.251577482	9.45781269457
740000	740	0.312084460019	0.333262114737	78	39	16	735.549213955	9.43011812763
750000	750	0.317176777111	0.338497849585	79	40	16	744.912353908	9.42927030263
760000	760	0.311233457148	0.333919372411	80	40	16	757.299949295	9.46624936619
770000	770	0.31275923445	0.338553752869	81	41	16	767.777193179	9.47873077999
780000	780	0.315066662714	0.338553752869	81	41	16	767.777193179	9.47873077999
790000	790	0.311433076457	0.333310151775	82	41	16	782.033282818	9.53699125388
800000	800	0.311961045412	0.33600824312	84	42	16	799.020075412	9.5121437549
810000	810	0.310314967125	0.341870349432	85	43	16	806.164707503	9.48429067651
820000	820	0.317566590272	0.339236008863	86	43	16	814.563835303	9.47167250352
830000	830	0.312449461251	0.336680646238	87	43	16	822.876436223	9.45834984164
840000	840	0.311505025258	0.340134018636	89	44	16	837.705890476	9.41242573569
850000	850	0.307696527	0.337779666573	90	44	16	845.644556218	9.39605062464
860000	860	0.3101949501	0.343572562874	91	45	16	852.36945686	9.36669732813
870000	870	0.312171855479	0.340723236795	92	45	16	861.579887488	9.36499877704
880000	880	0.311991912209	0.337250445765	93	45	16	872.5330098	9.38207537419
890000	890	0.312653774427	0.340011744614	95	46	16	888.832114685	9.356127523
900000	900	0.312162718791	0.344810776922	96	47	16	897.574142829	9.34973065447
910000	910	0.310018302552	0.344810776922	96	47	16	897.574142829	9.34973065447
920000	920	0.310724961943	0.340343414727	97	47	16	911.420318891	9.39608576176
930000	930	0.320813171945	0.336859200841	98	47	17	922.911892853	9.41746829442
940000	940	0.31556814575	0.342059902629	99	48	17	930.273075909	9.39669773645
950000	950	0.311734558552	0.33825685374	100	48	17	942.789757497	9.42789757497
960000	960	0.312956175101	0.340630350038	102	49	17	959.834734985	9.41014446064
970000	970	0.313283962022	0.338465287373	103	49	17	968.012195209	9.39817665251
980000	980	0.313339498934	0.337014389286	104	49	17	974.206314705	9.36736841063
990000	990	0.311284062653	0.341940216938	105	50	17	981.786462234	9.35034725937
1000000	1000	0.313800098695	0.339735110005	106	50	17	990.171497799	9.34124054527
1010000	1010	0.305885771507	0.335558259739	107	50	17	1004.51513124	9.38799188075
1020000	1020	0.305474200579	0.338661466502	109	51	17	1019.24025821	9.35082805697
1030000	1030	0.305194823832	0.336385308164	110	51	17	1028.13451419	9.34667740173
1040000	1040	0.305973367948	0.340959868468	111	52	17	1036.22055768	9.33532033946
1050000	1050	0.307031379275	0.337590769492	112	52	17	1048.55490119	9.36209733205
1060000	1060	0.309988252354	0.341764260268	113	53	17	1057.65735927	9.35979963956
1070000	1070	0.311016254244	0.340247171547	114	53	17	1064.35321447	9.33643170588
1080000	1080	0.308546321733	0.336537227132	115	53	17	1078.07084462	9.37452908365
1090000	1090	0.305584792316	0.341198159467	116	54	17	1085.38385528	9.3567573731
1100000	1100	0.30863757887	0.338999503904	117	54	17	1094.39598166	9.35381180906
1110000	1110	0.305505435995	0.335709984248	118	54	17	1107.09464152	9.38215797898
1120000	1120	0.307671615503	0.340027497803	119	55	17	1115.24797092	9.3718316884
1130000	1130	0.306827900118	0.340027497803	119	55	17	1115.24797092	9.3718316884
1140000	1140	0.305203842761	0.340416944985	121	56	17	1138.18171215	9.40646043099
1150000	1150	0.310114703514	0.340416944985	121	56	17	1138.18171215	9.40646043099
1160000	1160	0.305838552743	0.336628390396	122	56	17	1152.96660049	9.45054590566
1170000	1170	0.30821223148	0.339251736659	124	57	17	1168.42199128	9.42275799419
1180000	1180	0.305532216513	0.337608685391	125	57	17	1176.06483899	9.40851871192
1190000	1190	0.30342491518	0.335777210383	126	57	17	1184.4310553	9.40024647063
1200000	1200	0.300700915933	0.332293041764	127	57	17	1198.80640603	9.43942051992
1210000	1210	0.302552030878	0.33639181943	128	58	17	1206.92590173	9.42910860727
1220000	1220	0.300994109583	0.333908833755	130	58	17	1219.78603733	9.38296951792
1230000	1230	0.304145936187	0.338345687865	131	59	17	1226.47331405	9.36239171031
1240000	1240	0.311615277652	0.338345687865	131	59	17	1226.47331405	9.36239171031
1250000	1250	0.301917676825	0.339422295932	133	60	17	1247.16894324	9.37721009955
1260000	1260	0.301590936363	0.337807136162	134	60	17	1255.05149549	9.36605593649
1270000	1270	0.301166648411	0.336323256896	135	60	17	1262.50245	9.35187
1280000	1280	0.302438312288	0.334576040277	136	60	17	1271.00485176	9.34562391
1290000	1290	0.298641866144	0.336911355902	137	61	17	1285.14503734	9.38062071051
1300000	1300	0.300887368296	0.334975796565	138	61	17	1294.48156049	9.38030116297
1310000	1310	0.300166961762	0.339025945873	139	62	17	1301.88958067	9.36611209115
1320000	1320	0.300688688342	0.340792644306	141	63	17	1319.83991649	9.36056678362
1330000	1330	0.298715168925	0.339212480856	142	63	17	1327.88176718	9.35128005056
1340000	1340	0.30182602674	0.342415090974	143	64	18	1338.23472631	9.35828479937
1350000	1350	0.301817446342	0.346381074019	144	65	18	1345.469369	9.34353728472
1360000	1360	0.302525453216	0.345136358969	145	65	18	1352.2020463	9.32553135379
1370000	1370	0.303158077221	0.343281198541	146	65	18	1361.3871028	9.32456919726
