time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
10	0.562887666853	NaN	1	0	0	NaN
20	0.03867035978	0.0697173421305	2	2	2	14.343633441
30	0.113748752137	0.206407150328	4	3	4	9.68958680367
40	0.154486163012	0.195721273228	5	4	4	9.49075409775
50	0.200821612789	0.233895699807	6	4	5	9.2098119762
60	0.236862103538	0.206077761756	7	5	5	9.73056723183
70	0.291661792411	0.2333822175	8	6	6	9.640837353
80	0.307702125183	0.2658873193	9	6	7	9.27271458388
90	0.278431171613	0.238092178778	10	7	7	9.76659409122
100	0.24916201598	0.264246189745	11	7	8	9.5212357481
110	0.284819224823	0.252241354731	12	7	8	9.47495307827
120	0.257831766067	0.262925829764	13	7	9	9.74359531008
130	0.280161441053	0.254393237973	14	7	9	9.62126716315
140	0.275316465049	0.254393237973	14	7	9	9.62126716315
150	0.265074391474	0.278696981697	16	8	11	9.8673476234
160	0.302879293841	0.278696981697	16	8	11	9.8673476234
170	0.27412646562	0.259941863465	17	8	11	10.1746939182
180	0.291317160028	0.270923393427	19	8	12	9.90280519339
190	0.275562070836	0.28713138206	20	8	13	9.78386006268
200	0.264522135189	0.279940269364	21	8	13	9.71297787505
210	0.250808938539	0.285638789047	22	8	14	9.93499563005
220	0.263257887891	0.279470192029	23	8	14	9.85247290595
230	0.256702572456	0.29123386206	25	8	15	9.56727248046
240	0.274701164515	0.306025820493	26	8	16	9.45207265004
250	0.312926889048	0.306025820493	26	8	16	9.45207265004
260	0.266253361557	0.288604498267	28	8	16	9.51842390522
270	0.2660494733	0.301034036732	29	8	17	9.45999991754
280	0.265394362341	0.296097700743	30	8	17	9.39072248969
290	0.272240750697	0.307295776139	31	8	18	9.3611117987
300	0.256922617664	0.295577359704	32	8	18	9.51527546906
310	0.267685021801	0.305409355565	33	8	19	9.50968945909
320	0.26577343088	0.300973235749	34	8	19	9.44600251124
330	0.268902565409	0.320178183477	36	8	21	9.41909767689
340	0.262117507776	0.315186754902	37	8	21	9.38084081614
350	0.275073296586	0.322976178647	38	9	22	9.40711428408
360	0.275784251487	0.333374412168	39	9	23	9.34994397897
370	0.279090254993	0.329652395418	40	9	23	9.28283457695
380	0.281987746753	0.337930621499	41	9	24	9.28039012502
390	0.288798935947	0.331290902551	42	10	24	9.30096244076
400	0.294220559415	0.335118797644	44	10	25	9.25626913537
410	0.29251066801	0.344916226359	45	10	26	9.1995401648
420	0.292114095811	0.339440578494	46	10	26	9.19752521447
430	0.289402001671	0.334691355397	47	10	26	9.18085044654
440	0.291803907039	0.338852874893	49	10	27	9.13027434398
450	0.292318636423	0.335660791971	50	10	27	9.07964950145
460	0.292348527115	0.342574278336	51	10	28	9.09079558422
470	0.292786848746	0.350538940328	52	10	29	9.06915328237
480	0.287278926788	0.341525852974	54	10	29	9.04935221077
490	0.293159696019	0.338539547572	55	10	29	9.00442304409
500	0.296561117422	0.338539547572	55	10	29	9.00442304409
510	0.299479814559	0.341610465046	56	11	30	9.10710681402
520	0.300769989647	0.344265664353	58	11	31	9.09469100879
530	0.307634018921	0.350809895805	59	11	32	9.09491464984
540	0.302978703892	0.350809895805	59	11	32	9.09491464984
550	0.302857608973	0.351247311335	61	11	33	9.13439497152
560	0.300075152107	0.348339253584	62	11	33	9.09793820625
570	0.299890669	0.352484784838	64	11	34	9.04294351732
580	0.299354510288	0.348488189364	65	11	34	9.03950756845
590	0.296795792337	0.345052565823	66	11	34	9.02407081463
600	0.300602722032	0.350431377912	67	11	35	9.04271923668
610	0.301296386787	0.350431377912	67	11	35	9.04271923668
620	0.308349694233	0.343153406661	68	11	35	9.13076446912
630	0.298172384462	0.346254607316	69	11	36	9.20437207472
640	0.298749241786	0.342431497013	70	11	36	9.20535266741
650	0.299347588043	0.34653691295	72	11	37	9.14954737875
660	0.300194313363	0.343257559341	73	11	37	9.13980844029
670	0.305638468585	0.340030440101	74	11	37	9.13073159536
680	0.306508985342	0.346510453696	75	11	38	9.10776217434
690	0.311429422856	0.342622459521	76	11	38	9.11780202935
700	0.309168093064	0.346181470988	77	11	39	9.16885204857
710	0.311534331608	0.342423069176	78	11	39	9.17783114612
720	0.304570920162	0.34896050118	79	11	40	9.14655873604
730	0.319101477961	0.345580105789	80	11	40	9.14683453849
740	0.304512788427	0.348761072354	82	11	41	9.11448052631
750	0.313609446651	0.345563366356	83	11	41	9.11299104672
760	0.312422550645	0.351841124457	84	11	42	9.08409645495
770	0.317368921892	0.348551820382	85	11	42	9.08614726204
780	0.315393495548	0.343251166296	86	12	42	9.14318340836
790	0.316005304643	0.348838560783	87	12	43	9.12870219931
800	0.314812030161	0.346330300792	88	12	43	9.11359234254
810	0.317008755355	0.343613463797	89	12	43	9.10536247978
820	0.308880155688	0.346327881041	90	12	44	9.16413324147
830	0.308706736473	0.343890843716	91	12	44	9.15007199923
840	0.306792594626	0.347088183528	93	12	45	9.11615333599
850	0.307578372153	0.345352151102	94	12	45	9.08589993883
860	0.319412495302	0.343500277852	95	12	45	9.05977976661
870	0.314855106357	0.347782636322	96	12	46	9.07260513338
880	0.309421559451	0.342963520069	97	12	46	9.1259139573
890	0.313215262778	0.348475913648	98	12	47	9.10352974011
900	0.312566627579	0.345166297101	99	12	47	9.11812752583
910	0.311994896933	0.3483546576	101	12	48	9.08355452531
920	0.310726661266	0.346127890814	102	12	48	9.07168982951
930	0.312085682136	0.344016434301	103	12	48	9.05782041187
940	0.319006056288	0.348791121144	104	12	49	9.0510845969
950	0.305591677487	0.344232813886	105	12	49	9.10231229712
960	0.302251742747	0.342019580583	106	12	49	9.09327013163
970	0.304525480901	0.345761524149	108	12	50	9.04456544197
980	0.305415714184	0.343163433517	109	12	50	9.04721017853
990	0.306239936191	0.343163433517	109	12	50	9.04721017853
1000	0.314434981092	0.345477087261	110	12	51	9.10070471827
1010	0.310236014154	0.354500065771	112	13	53	9.08698730433
