time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000500236218323	0.500236218323	0.721688311448	NaN	NaN	NaN	0	1	8051.48578539	8.05148578539	0
20000	20	0.00032412024573	0.32412024573	0.467606671167	NaN	NaN	NaN	0	1	8051.48578539	8.05148578539	0
30000	30	0.000297827008457	0.297827008457	0.429673548143	0.0482478242217	0.0696068967384	0.0696068967384	2	2	22417.8782962	22.4178782962	2
40000	40	0.000238371519007	0.238371519007	0.343897408361	0.142501714054	0.205586516184	0.129710649994	3	4	37236.2791822	37.2362791822	4
50000	50	0.00030236903184	0.30236903184	0.436226302753	0.142501714054	0.205586516184	0.129710649994	3	4	37236.2791822	37.2362791822	4
60000	60	0.000240392648753	0.240392648753	0.346813282223	0.118139634804	0.170439465264	0.107535329818	3	5	51645.6726841	51.6456726841	4
70000	70	0.000297017492407	0.297017492407	0.428505663353	0.139851146997	0.201762556236	0.127297999886	3	6	61434.4191071	61.4344191071	5
80000	80	0.000246917645232	0.246917645232	0.356226862284	0.127267461095	0.183608134988	0.115843835362	3	7	73579.7429909	73.5797429909	5
90000	90	0.00021816104901	0.21816104901	0.314739863522	0.135879355749	0.196032472698	0.098016236349	4	8	88395.3175151	88.3953175151	6
100000	100	0.000244866212785	0.244866212785	0.353267270866	0.154160819123	0.222407049248	0.111203524624	4	9	96735.62531	96.73562531	7
110000	110	0.000255177638095	0.255177638095	0.368143513026	0.150889214153	0.217687120981	0.0937527400012	5	10	104190.140674	104.190140674	7
120000	120	0.00026218993884	0.26218993884	0.378260124536	0.166366117328	0.240015572442	0.103369080623	5	12	117584.899546	117.584899546	8
130000	130	0.000276237106106	0.276237106106	0.398525903089	0.17734845497	0.255859736495	0.0989800573213	6	13	128203.702788	128.203702788	9
140000	140	0.000282772866003	0.282772866003	0.40795501148	0.191898593182	0.276851148737	0.0986163689391	7	14	135751.913079	135.751913079	10
150000	150	0.000293884421566	0.293884421566	0.423985597588	0.191898593182	0.276851148737	0.0986163689391	7	14	135751.913079	135.751913079	10
160000	160	0.000280991015341	0.280991015341	0.405384344366	0.210081784536	0.303083948731	0.10102798291	8	16	156525.201363	156.525201363	12
170000	170	0.000291939384675	0.291939384675	0.421179502511	0.206187483413	0.297465659813	0.0991552199377	8	17	163243.470756	163.243470756	12
180000	180	0.000280349135464	0.280349135464	0.404458307451	0.214185111068	0.309003797571	0.103001265857	8	19	177358.7285	177.3587285	13
190000	190	0.000283282509133	0.283282509133	0.408690271097	0.214185111068	0.309003797571	0.103001265857	8	19	177358.7285	177.3587285	13
200000	200	0.00027189371499	0.27189371499	0.392259714265	0.196469889066	0.28344613464	0.0944820448801	8	21	199908.301623	199.908301623	13
210000	210	0.000276840622996	0.276840622996	0.399396593913	0.196469889066	0.28344613464	0.0944820448801	8	21	199908.301623	199.908301623	13
220000	220	0.000288863445012	0.288863445012	0.416741859613	0.20006458814	0.288632189167	0.0962107297224	8	22	214522.644501	214.522644501	14
230000	230	0.00027693564618	0.27693564618	0.399533683389	0.206477579187	0.297884179547	0.0992947265158	8	24	229308.06963	229.30806963	15
240000	240	0.000261839916466	0.261839916466	0.377755148992	0.202047505581	0.291492934326	0.0971643114419	8	25	237461.949156	237.461949156	15
250000	250	0.000273836080661	0.273836080661	0.395061955587	0.202047505581	0.291492934326	0.0971643114419	8	25	237461.949156	237.461949156	15
260000	260	0.000269626125288	0.269626125288	0.388988273848	0.205261999505	0.296130468769	0.0987101562564	8	26	252249.448605	252.249448605	16
270000	270	0.000271840605764	0.271840605764	0.392183093848	0.201141343167	0.290185618305	0.0967285394351	8	27	260512.270541	260.512270541	16
280000	280	0.00025915898672	0.25915898672	0.373887384943	0.205217813251	0.296066721479	0.0933986518119	9	28	274228.927406	274.228927406	17
290000	290	0.00025103695871	0.25103695871	0.362169775411	0.213475695351	0.307980327034	0.0971569759202	9	29	282187.045601	282.187045601	18
300000	300	0.000270616415236	0.270616415236	0.390416960245	0.208785495409	0.301213798836	0.0950223739359	9	30	291504.291379	291.504291379	18
310000	310	0.000257302194214	0.257302194214	0.371208599603	0.212642856959	0.306778795215	0.0967779348329	9	31	304986.242745	304.986242745	19
320000	320	0.000249543519602	0.249543519602	0.360015198215	0.205244964737	0.296105892793	0.0934110089856	9	32	318856.681629	318.856681629	19
330000	330	0.000247767699326	0.247767699326	0.35745323111	0.213533412553	0.308063595355	0.0971832441507	9	33	325617.973047	325.617973047	20
340000	340	0.000247008229307	0.247008229307	0.356357547481	0.209546236733	0.302311316571	0.0953686022331	9	34	334723.450118	334.723450118	20
350000	350	0.000240547222585	0.240547222585	0.347036285123	0.216645693853	0.312553668152	0.0985997044125	9	35	342833.586294	342.833586294	21
360000	360	0.000236585293494	0.236585293494	0.341320429671	0.219971365452	0.317351598075	0.100113282785	9	37	359429.773804	359.429773804	22
370000	370	0.000248541206523	0.248541206523	0.358569166108	0.219971365452	0.317351598075	0.100113282785	9	37	359429.773804	359.429773804	22
380000	380	0.000256893709556	0.256893709556	0.370619280813	0.214317734644	0.309195132945	0.0930770095297	10	38	371628.138501	371.628138501	22
390000	390	0.000250048374846	0.250048374846	0.360743550372	0.217057328145	0.313147530904	0.0905199366326	11	39	386298.820561	386.298820561	23
400000	400	0.000249457721959	0.249457721959	0.359891418382	0.222897320487	0.321572858894	0.0929554026048	11	40	395314.011138	395.314011138	24
410000	410	0.000254555914396	0.254555914396	0.367246555329	0.219441392029	0.316587008045	0.0915141684952	11	41	404293.646456	404.293646456	24
420000	420	0.000245884973548	0.245884973548	0.354737031966	0.223091607623	0.321853155982	0.0930364266338	11	42	416928.081748	416.928081748	25
430000	430	0.000247496542243	0.247496542243	0.357062034132	0.220300255369	0.317826085928	0.091872342328	11	43	424951.858802	424.951858802	25
