idx	time	time_seconds	symbol	interval	interval_seconds
1	2714.20347325	2.71420347325	-2	2714.20347325	2.71420347325
2	16791.0600644	16.7910600644	-12	14076.8565912	14.0768565912
3	29127.4147598	29.1274147598	12	12336.3546954	12.3363546954
4	40060.391785	40.060391785	3	10932.9770252	10.9329770252
5	49212.9413285	49.2129413285	1	9152.54954347	9.15254954347
6	58700.3631685	58.7003631685	1	9487.42184002	9.48742184002
7	73083.5183219	73.0835183219	12	14383.1551534	14.3831551534
8	81285.447215	81.285447215	-1	8201.92889314	8.20192889314
9	88246.2664137	88.2462664137	1	6960.8191987	6.9608191987
10	96238.6041189	96.2386041189	0	7992.33770515	7.99233770515
11	105406.663149	105.406663149	1	9168.05903041	9.16805903041
12	114427.912724	114.427912724	-2	9021.24957505	9.02124957505
13	121069.816323	121.069816323	0	6641.90359819	6.64190359819
14	131130.182705	131.130182705	2	10060.3663821	10.0603663821
15	139139.726093	139.139726093	-1	8009.54338862	8.00954338862
16	145759.416503	145.759416503	0	6619.69040932	6.61969040932
17	159872.698101	159.872698101	-10	14113.281598	14.113281598
18	166177.475534	166.177475534	-1	6304.77743383	6.30477743383
19	172805.166977	172.805166977	0	6627.69144233	6.62769144233
20	183776.23527	183.77623527	-3	10971.0682937	10.9710682937
21	196147.916288	196.147916288	-12	12371.6810176	12.3716810176
22	204120.106628	204.120106628	0	7972.1903397	7.9721903397
23	212079.215732	212.079215732	-1	7959.10910427	7.95910910427
24	218735.650658	218.735650658	0	6656.43492572	6.65643492572
25	227655.133245	227.655133245	-2	8919.48258765	8.91948258765
26	235006.044841	235.006044841	0	7350.91159553	7.35091159553
27	244499.929635	244.499929635	-1	9493.88479408	9.49388479408
28	256790.053328	256.790053328	12	12290.1236926	12.2901236926
29	268464.676	268.464676	4	11674.6226729	11.6746226729
30	278260.587604	278.260587604	-2	9795.91160305	9.79591160305
31	291571.65609	291.57165609	10	13311.0684869	13.3110684869
32	305478.337782	305.478337782	12	13906.6816914	13.9066816914
33	316838.6012	316.8386012	-4	11360.2634185	11.3602634185
34	326473.10039	326.47310039	-5	9634.49918967	9.63449918967
35	334439.217167	334.439217167	0	7966.11677733	7.96611677733
36	343130.156976	343.130156976	-1	8690.93980838	8.69093980838
37	356262.052266	356.262052266	-11	13131.8952908	13.1318952908
38	366799.91245	366.79991245	5	10537.860184	10.537860184
39	374684.209182	374.684209182	-1	7884.29673164	7.88429673164
40	382023.29081	382.02329081	0	7339.08162763	7.33908162763
41	391275.880692	391.275880692	-1	9252.58988186	9.25258988186
42	403766.589301	403.766589301	12	12490.7086097	12.4907086097
43	413137.566707	413.137566707	-2	9370.97740595	9.37097740595
44	420643.217512	420.643217512	1	7505.65080459	7.50565080459
45	433165.937223	433.165937223	-6	12522.7197115	12.5227197115
46	441510.468894	441.510468894	2	8344.5316706	8.3445316706
47	450655.314426	450.655314426	1	9144.84553212	9.14484553212
48	459903.127209	459.903127209	1	9247.81278337	9.24781278337
49	472431.715867	472.431715867	-7	12528.5886574	12.5285886574
50	479088.620092	479.088620092	0	6656.90422534	6.65690422534
51	488011.966259	488.011966259	-2	8923.34616668	8.92334616668
52	495276.482083	495.276482083	0	7264.51582374	7.26451582374
53	504044.052846	504.044052846	-1	8767.57076334	8.76757076334
54	517024.700368	517.024700368	11	12980.6475225	12.9806475225
55	531760.19144	531.76019144	11	14735.4910718	14.7354910718
56	545151.244985	545.151244985	7	13391.0535445	13.3910535445
57	553581.507492	553.581507492	0	8430.26250713	8.43026250713
58	567843.487982	567.843487982	12	14261.9804902	14.2619804902
59	576914.877929	576.914877929	1	9071.38994739	9.07138994739
60	584970.788851	584.970788851	-1	8055.91092155	8.05591092155
61	591883.49754	591.88349754	0	6912.70868901	6.91270868901
62	606038.133727	606.038133727	12	14154.6361867	14.1546361867
63	615700.213863	615.700213863	-2	9662.08013604	9.66208013604
64	625244.550966	625.244550966	-5	9544.33710333	9.54433710333
65	631972.766524	631.972766524	0	6728.21555816	6.72821555816
66	641171.749855	641.171749855	1	9198.98333076	9.19898333076
67	651188.156482	651.188156482	-3	10016.406627	10.016406627
68	658300.541321	658.300541321	0	7112.38483859	7.11238483859
69	672188.845497	672.188845497	12	13888.3041768	13.8883041768
70	682741.268	682.741268	-4	10552.4225027	10.5524225027
71	689971.120888	689.971120888	0	7229.85288785	7.22985288785
72	698613.027039	698.613027039	-1	8641.90615131	8.64190615131
73	710971.038408	710.971038408	9	12358.0113683	12.3580113683
74	718987.374747	718.987374747	0	8016.33633945	8.01633633945
75	727949.416549	727.949416549	-2	8962.04180247	8.96204180247
76	734805.328577	734.805328577	0	6855.91202758	6.85591202758
77	742713.191746	742.713191746	-1	7907.86316914	7.90786316914
78	750579.916007	750.579916007	0	7866.72426084	7.86672426084
79	759008.85386	759.00885386	0	8428.93785251	8.42893785251
80	773273.212654	773.273212654	12	14264.3587949	14.2643587949
81	782333.558916	782.333558916	1	9060.34626194	9.06034626194
82	790493.24375	790.49324375	-1	8159.68483349	8.15968483349
83	796732.756344	796.732756344	-1	6239.51259386	6.23951259386
84	803577.198747	803.577198747	0	6844.44240369	6.84444240369
85	811718.894023	811.718894023	-1	8141.695276	8.141695276
86	819684.914368	819.684914368	0	7966.02034414	7.96602034414
87	828225.71263	828.22571263	-1	8540.79826245	8.54079826245
88	838147.023575	838.147023575	4	9921.31094537	9.92131094537
89	848372.124512	848.372124512	-3	10225.1009367	10.2251009367
90	855756.312055	855.756312055	1	7384.18754319	7.38418754319
91	863719.298703	863.719298703	-1	7962.98664791	7.96298664791
92	871671.830705	871.671830705	0	7952.53200141	7.95253200141
93	880446.576853	880.446576853	0	8774.74614817	8.77474614817
94	894262.251873	894.262251873	12	13815.6750203	13.8156750203
95	906873.236447	906.873236447	-6	12610.9845737	12.6109845737
96	915993.711756	915.993711756	3	9120.47530916	9.12047530916
97	924081.48997	924.08148997	-1	8087.77821415	8.08777821415
98	930936.671598	930.936671598	-1	6855.18162846	6.85518162846
99	939639.180135	939.639180135	3	8702.50853665	8.70250853665
100	947623.868153	947.623868153	0	7984.6880183	7.9846880183
101	956623.131151	956.623131151	1	8999.26299747	8.99926299747
102	965113.738889	965.113738889	0	8490.60773842	8.49060773842
103	979272.656384	979.272656384	12	14158.9174951	14.1589174951
104	989095.460391	989.095460391	-2	9822.80400626	9.82280400626
105	1001451.13871	1001.45113871	-11	12355.6783166	12.3556783166
106	1009417.18567	1009.41718567	0	7966.04696395	7.96604696395
107	1017888.49445	1017.88849445	-1	8471.308775	8.471308775
108	1026256.90747	1026.25690747	-3	8368.41302828	8.36841302828
109	1034223.77832	1034.22377832	0	7966.87084101	7.96687084101
110	1042494.83506	1042.49483506	-1	8271.05674149	8.27105674149
111	1049964.00883	1049.96400883	1	7469.17377504	7.46917377504
112	1059921.54335	1059.92154335	-3	9957.53451763	9.95753451763
113	1066545.01308	1066.54501308	0	6623.46973093	6.62346973093
114	1081193.90356	1081.19390356	10	14648.8904748	14.6488904748
115	1092820.06234	1092.82006234	4	11626.1587832	11.6261587832
116	1100918.51779	1100.91851779	-1	8098.45545177	8.09845545177
117	1107619.39791	1107.61939791	-1	6700.88011619	6.70088011619
118	1115277.91983	1115.27791983	-2	7658.5219244	7.6585219244
119	1123942.22833	1123.94222833	-2	8664.30849487	8.66430849487
120	1136394.47544	1136.39447544	12	12452.24711	12.45224711
121	1145315.55233	1145.31555233	-2	8921.07689121	8.92107689121
122	1153078.00318	1153.07800318	0	7762.45085477	7.76245085477
123	1161447.98377	1161.44798377	0	8369.98059286	8.36998059286
124	1175817.28793	1175.81728793	12	14369.3041599	14.3693041599
125	1183885.57494	1183.88557494	-1	8068.28701025	8.06828701025
126	1191301.2136	1191.3012136	-1	7415.63865179	7.41563865179
127	1203999.867	1203.999867	12	12698.6534076	12.6986534076
128	1212153.13845	1212.15313845	0	8153.27144253	8.15327144253
129	1226921.81396	1226.92181396	11	14768.675517	14.768675517
130	1235077.12494	1235.07712494	0	8155.31097296	8.15531097296
131	1249889.41673	1249.88941673	11	14812.2917944	14.8122917944
132	1258405.52529	1258.40552529	-1	8516.10855752	8.51610855752
133	1267471.00419	1267.47100419	-4	9065.47889886	9.06547889886
134	1274176.30033	1274.17630033	-1	6705.29614631	6.70529614631
135	1281742.40572	1281.74240572	-2	7566.10538567	7.56610538567
136	1289062.35792	1289.06235792	1	7319.95220383	7.31995220383
137	1297553.67595	1297.55367595	-1	8491.31802602	8.49131802602
138	1306736.54031	1306.73654031	3	9182.86436111	9.18286436111
139	1315732.71875	1315.73271875	-2	8996.1784375	8.9961784375
140	1322434.92406	1322.43492406	0	6702.20531236	6.70220531236
141	1331803.17901	1331.80317901	1	9368.25495268	9.36825495268
142	1345650.75196	1345.65075196	-12	13847.5729486	13.8475729486
143	1352461.64682	1352.46164682	0	6810.89485441	6.81089485441
144	1361255.75198	1361.25575198	1	8794.10516648	8.79410516648
145	1369279.63297	1369.27963297	0	8023.88098831	8.02388098831
146	1379183.09085	1379.18309085	2	9903.45788179	9.90345788179
147	1387277.57376	1387.27757376	0	8094.48290575	8.09448290575
148	1400196.32071	1400.19632071	6	12918.7469476	12.9187469476
149	1409255.16882	1409.25516882	1	9058.84811082	9.05884811082
150	1417430.19015	1417.43019015	-1	8175.02133386	8.17502133386
151	1423625.20611	1423.62520611	-1	6195.01596397	6.19501596397
152	1431072.39755	1431.07239755	0	7447.19143946	7.44719143946
153	1439581.39685	1439.58139685	0	8508.99929171	8.50899929171
154	1453711.31317	1453.71131317	12	14129.916324	14.129916324
155	1462899.49168	1462.89949168	-2	9188.17851221	9.18817851221
156	1469444.59672	1469.44459672	-1	6545.10504264	6.54510504264
157	1475847.82584	1475.84782584	-1	6403.22911801	6.40322911801
158	1483813.93	1483.81393	0	7966.10415423	7.96610415423
159	1492481.3807	1492.4813807	-1	8667.45069892	8.66745069892
160	1505193.78836	1505.19378836	10	12712.4076638	12.7124076638
161	1513215.94588	1513.21594588	0	8022.15751644	8.02215751644
162	1522900.43637	1522.90043637	2	9684.49049184	9.68449049184
163	1530894.35755	1530.89435755	0	7993.92118237	7.99392118237
164	1540085.07999	1540.08507999	1	9190.72243917	9.19072243917
165	1550341.23064	1550.34123064	2	10256.1506458	10.2561506458
166	1565515.92572	1565.51592572	11	15174.6950833	15.1746950833
167	1579344.83939	1579.34483939	12	13828.9136726	13.8289136726
168	1591665.24838	1591.66524838	5	12320.4089865	12.3204089865
169	1600706.80405	1600.70680405	1	9041.55567478	9.04155567478
170	1609087.60526	1609.08760526	-1	8380.80120316	8.38080120316
171	1617018.46304	1617.01846304	2	7930.85778519	7.93085778519
172	1625012.94092	1625.01294092	0	7994.47788421	7.99447788421
173	1634212.09633	1634.21209633	1	9199.15540155	9.19915540155
174	1644212.91533	1644.21291533	-3	10000.8190046	10.0008190046
175	1651000.34301	1651.00034301	0	6787.42768268	6.78742768268
176	1665389.44766	1665.38944766	12	14389.1046438	14.3891046438
177	1673672.89728	1673.67289728	-1	8283.44962147	8.28344962147
178	1681189.174	1681.189174	1	7516.27672525	7.51627672525
179	1694654.82861	1694.65482861	7	13465.6546083	13.4656546083
180	1703579.41343	1703.57941343	-2	8924.5848202	8.9245848202
181	1710820.66141	1710.82066141	0	7241.24797242	7.24124797242
182	1719501.3058	1719.5013058	-1	8680.64439452	8.68064439452
183	1732386.84581	1732.38684581	10	12885.5400053	12.8855400053
184	1745852.62785	1745.85262785	7	13465.7820446	13.4657820446
185	1754767.99321	1754.76799321	-2	8915.36536103	8.91536536103
186	1762386.94883	1762.38694883	0	7618.95562023	7.61895562023
187	1770758.6816	1770.7586816	0	8371.73276541	8.37173276541
188	1785125.1089	1785.1251089	12	14366.4273071	14.3664273071
189	1793171.94855	1793.17194855	-1	8046.83964651	8.04683964651
190	1799946.26153	1799.94626153	0	6774.312977	6.774312977
191	1814353.1833	1814.3531833	12	14406.9217757	14.4069217757
192	1823257.41678	1823.25741678	-1	8904.23348218	8.90423348218
193	1835212.91314	1835.21291314	-12	11955.4963551	11.9554963551
194	1842707.47149	1842.70747149	0	7494.55834519	7.49455834519
195	1851152.03526	1851.15203526	0	8444.56377582	8.44456377582
196	1865388.59367	1865.38859367	12	14236.5584095	14.2365584095
197	1874541.4379	1874.5414379	1	9152.84422991	9.15284422991
198	1884052.78412	1884.05278412	1	9511.34622167	9.51134622167
199	1898394.44034	1898.39444034	12	14341.6562225	14.3416562225
