time	time_seconds	lambda1_nats_per_second	full_sscs_lz76_nats_per_second	full_sscs_lz76_bits_per_second	n_symbols_total	n_symbols_discarded	n_symbols_used	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
10000	10	0.574918696116	NaN	NaN	1	106	0	0	0	NaN
20000	20	0.4054923757	NaN	NaN	2	106	0	0	0	NaN
30000	30	0.2764628074	NaN	NaN	3	106	0	0	0	NaN
40000	40	0.298677664519	NaN	NaN	3	106	0	0	0	NaN
50000	50	0.280024224762	NaN	NaN	5	106	0	0	0	NaN
60000	60	0.289612488978	NaN	NaN	6	106	0	0	0	NaN
70000	70	0.275813568395	NaN	NaN	6	106	0	0	0	NaN
80000	80	0.238965433157	NaN	NaN	7	106	0	0	0	NaN
90000	90	0.245455034141	NaN	NaN	9	106	0	0	0	NaN
100000	100	0.233731685098	NaN	NaN	10	106	0	0	0	NaN
110000	110	0.241227351467	NaN	NaN	11	106	0	0	0	NaN
120000	120	0.241881452224	NaN	NaN	12	106	0	0	0	NaN
130000	130	0.241330611872	NaN	NaN	13	106	0	0	0	NaN
140000	140	0.239975599446	NaN	NaN	15	106	0	0	0	NaN
150000	150	0.244690654887	NaN	NaN	16	106	0	0	0	NaN
160000	160	0.243860320247	NaN	NaN	17	106	0	0	0	NaN
170000	170	0.245467027248	NaN	NaN	18	106	0	0	0	NaN
180000	180	0.261480841488	NaN	NaN	19	106	0	0	0	NaN
190000	190	0.269345561432	NaN	NaN	20	106	0	0	0	NaN
200000	200	0.247797133602	NaN	NaN	21	106	0	0	0	NaN
210000	210	0.246220553116	NaN	NaN	22	106	0	0	0	NaN
220000	220	0.234306049438	NaN	NaN	24	106	0	0	0	NaN
230000	230	0.244156232758	NaN	NaN	25	106	0	0	0	NaN
240000	240	0.230658988602	NaN	NaN	26	106	0	0	0	NaN
250000	250	0.267849398508	NaN	NaN	27	106	0	0	0	NaN
260000	260	0.234794743537	NaN	NaN	28	106	0	0	0	NaN
270000	270	0.23665243072	NaN	NaN	29	106	0	0	0	NaN
280000	280	0.245389844904	NaN	NaN	30	106	0	0	0	NaN
290000	290	0.2510065276	NaN	NaN	30	106	0	0	0	NaN
300000	300	0.253639806053	NaN	NaN	31	106	0	0	0	NaN
310000	310	0.246012201331	NaN	NaN	32	106	0	0	0	NaN
320000	320	0.254327173372	NaN	NaN	33	106	0	0	0	NaN
330000	330	0.24509569214	NaN	NaN	34	106	0	0	0	NaN
340000	340	0.252426965646	NaN	NaN	35	106	0	0	0	NaN
350000	350	0.269070907956	NaN	NaN	36	106	0	0	0	NaN
360000	360	0.261766923026	NaN	NaN	37	106	0	0	0	NaN
370000	370	0.260465286664	NaN	NaN	38	106	0	0	0	NaN
380000	380	0.259936029632	NaN	NaN	39	106	0	0	0	NaN
390000	390	0.258435523497	NaN	NaN	40	106	0	0	0	NaN
400000	400	0.253494819796	NaN	NaN	41	106	0	0	0	NaN
410000	410	0.253853990382	NaN	NaN	42	106	0	0	0	NaN
420000	420	0.257243294409	NaN	NaN	43	106	0	0	0	NaN
430000	430	0.269787556219	NaN	NaN	44	106	0	0	0	NaN
440000	440	0.262120854449	NaN	NaN	45	106	0	0	0	NaN
450000	450	0.263305799815	NaN	NaN	46	106	0	0	0	NaN
460000	460	0.263694523912	NaN	NaN	48	106	0	0	0	NaN
470000	470	0.266011609836	NaN	NaN	48	106	0	0	0	NaN
480000	480	0.263808633441	NaN	NaN	50	106	0	0	0	NaN
490000	490	0.265312687432	NaN	NaN	51	106	0	0	0	NaN
500000	500	0.259395836016	NaN	NaN	52	106	0	0	0	NaN
510000	510	0.26422017199	NaN	NaN	53	106	0	0	0	NaN
520000	520	0.26168585264	NaN	NaN	54	106	0	0	0	NaN
530000	530	0.262382839945	NaN	NaN	54	106	0	0	0	NaN
540000	540	0.265511492057	NaN	NaN	55	106	0	0	0	NaN
550000	550	0.262517411042	NaN	NaN	56	106	0	0	0	NaN
560000	560	0.261395281452	NaN	NaN	57	106	0	0	0	NaN
570000	570	0.256556389192	NaN	NaN	58	106	0	0	0	NaN
580000	580	0.256475898555	NaN	NaN	59	106	0	0	0	NaN
590000	590	0.256204098549	NaN	NaN	60	106	0	0	0	NaN
600000	600	0.263547875184	NaN	NaN	61	106	0	0	0	NaN
610000	610	0.253862880388	NaN	NaN	62	106	0	0	0	NaN
620000	620	0.258864196474	NaN	NaN	63	106	0	0	0	NaN
630000	630	0.256906389241	NaN	NaN	64	106	0	0	0	NaN
640000	640	0.257079545906	NaN	NaN	65	106	0	0	0	NaN
650000	650	0.258228244631	NaN	NaN	66	106	0	0	0	NaN
660000	660	0.261241147292	NaN	NaN	68	106	0	0	0	NaN
670000	670	0.257812563804	NaN	NaN	68	106	0	0	0	NaN
680000	680	0.256598197579	NaN	NaN	69	106	0	0	0	NaN
690000	690	0.255435328508	NaN	NaN	71	106	0	0	0	NaN
700000	700	0.252883098609	NaN	NaN	72	106	0	0	0	NaN
710000	710	0.257284086732	NaN	NaN	72	106	0	0	0	NaN
720000	720	0.256922421183	NaN	NaN	74	106	0	0	0	NaN
730000	730	0.257268558422	NaN	NaN	75	106	0	0	0	NaN
740000	740	0.255128898273	NaN	NaN	76	106	0	0	0	NaN
750000	750	0.252998791633	NaN	NaN	77	106	0	0	0	NaN
760000	760	0.254030489503	NaN	NaN	79	106	0	0	0	NaN
770000	770	0.243702868019	NaN	NaN	79	106	0	0	0	NaN
780000	780	0.245556242035	NaN	NaN	80	106	0	0	0	NaN
790000	790	0.249627154336	NaN	NaN	81	106	0	0	0	NaN
800000	800	0.24805325204	NaN	NaN	83	106	0	0	0	NaN
810000	810	0.246657319776	NaN	NaN	84	106	0	0	0	NaN
820000	820	0.246077018213	NaN	NaN	86	106	0	0	0	NaN
830000	830	0.246101272079	NaN	NaN	87	106	0	0	0	NaN
840000	840	0.242666163895	NaN	NaN	88	106	0	0	0	NaN
850000	850	0.249238039042	NaN	NaN	89	106	0	0	0	NaN
860000	860	0.249563080431	NaN	NaN	90	106	0	0	0	NaN
870000	870	0.248830649946	NaN	NaN	91	106	0	0	0	NaN
880000	880	0.248118094536	NaN	NaN	92	106	0	0	0	NaN
890000	890	0.248172301091	NaN	NaN	93	106	0	0	0	NaN
900000	900	0.246806627299	NaN	NaN	94	106	0	0	0	NaN
910000	910	0.248969646825	NaN	NaN	95	106	0	0	0	NaN
920000	920	0.248942740635	NaN	NaN	96	106	0	0	0	NaN
930000	930	0.249793905258	NaN	NaN	97	106	0	0	0	NaN
940000	940	0.251382359909	NaN	NaN	99	106	0	0	0	NaN
950000	950	0.248869458179	NaN	NaN	100	106	0	0	0	NaN
960000	960	0.249136789049	NaN	NaN	101	106	0	0	0	NaN
970000	970	0.250275941334	NaN	NaN	102	106	0	0	0	NaN
980000	980	0.247024622145	NaN	NaN	103	106	0	0	0	NaN
990000	990	0.247299875999	NaN	NaN	104	106	0	0	0	NaN
1000000	1000	0.249551912859	NaN	NaN	104	106	0	0	0	NaN
1010000	1010	0.248037262909	NaN	NaN	106	106	0	0	0	NaN
1020000	1020	0.248114121784	NaN	NaN	107	106	1	0	0	NaN
1030000	1030	0.24768023405	0.0828289878742	0.119496970048	108	106	2	2	2	8.36841302
1040000	1040	0.247839996666	0.1345078907	0.194053866873	109	106	3	3	3	8.167641935
1050000	1050	0.248438870692	0.160564886311	0.231646165222	111	106	5	4	4	8.018878595
1060000	1060	0.24701274919	0.177614154826	0.256243060359	112	106	6	4	5	8.40660978
1070000	1070	0.248731730989	0.171397690573	0.24727459821	113	106	7	4	5	8.10941977167
1080000	1080	0.24948540031	0.171397690573	0.24727459821	113	106	7	4	5	8.10941977167
1090000	1090	0.255332991508	0.172450794447	0.248793905946	114	106	8	5	6	9.04362987286
1100000	1100	0.250007012044	0.182454738067	0.263226545796	115	106	9	6	7	9.36644598625
1110000	1110	0.251097475305	0.194350415243	0.280388380266	117	106	11	6	8	8.973090346
1120000	1120	0.252205140553	0.210500059742	0.303687392297	118	106	12	7	9	8.85358412545
1130000	1130	0.254792698838	0.223249618294	0.322081117193	119	106	13	7	10	8.83781115667
1140000	1140	0.25207292531	0.20678730425	0.29833101836	120	106	14	8	10	9.11584469154
1150000	1150	0.251863953227	0.218184812503	0.314774146995	121	106	15	8	11	9.10193270571
1160000	1160	0.251131496409	0.211498077526	0.305127227605	122	106	16	8	11	9.01263391533
1170000	1170	0.251420488141	0.222894668813	0.321569033338	123	106	17	8	12	8.9724680825
1180000	1180	0.247124915292	0.20741972295	0.299243405683	124	106	18	8	12	9.28992902824
1190000	1190	0.247850628729	0.218456195003	0.315165669183	125	106	19	8	13	9.22206002722
1200000	1200	0.249977219176	0.213348212056	0.307796407515	126	106	20	8	13	9.12698521842
1210000	1210	0.245816685724	0.202535110067	0.2921963989	127	106	21	8	13	9.3055686275
1220000	1220	0.247244237537	0.212635539235	0.306768237971	128	106	22	8	14	9.25069733333
1230000	1230	0.245741548508	0.200869207956	0.289793010185	129	106	23	9	14	9.50151452318
1240000	1240	0.246803079211	0.210344914042	0.303463564364	130	106	24	9	15	9.44298393435
1250000	1250	0.245855824589	0.199791498338	0.288238203864	131	106	25	9	15	9.666705095
1260000	1260	0.245750641177	0.19537816855	0.281871114866	132	106	26	9	15	9.6206812336
1270000	1270	0.247640339176	0.203460977277	0.293532142932	133	106	27	10	16	9.59932729769
1280000	1280	0.24760285386	0.21313675974	0.307491346308	134	106	28	10	17	9.49214095852
