idx	time	time_seconds	symbol	interval	interval_seconds
1	2211.95160888	2.21195160888	-1	2211.95160888	2.21195160888
2	11448.0183165	11.4480183165	3	9236.06670757	9.23606670757
3	24575.0856823	24.5750856823	-8	13127.0673658	13.1270673658
4	32541.1076053	32.5411076053	0	7966.021923	7.966021923
5	41053.3848736	41.0533848736	-1	8512.27726828	8.51227726828
6	50372.3325976	50.3723325976	-4	9318.94772404	9.31894772404
7	58820.9750848	58.8209750848	-2	8448.64248714	8.44864248714
8	71499.7832421	71.4997832421	12	12678.8081574	12.6788081574
9	79633.9388567	79.6339388567	-1	8134.15561454	8.13415561454
10	86010.7564445	86.0107564445	-1	6376.81758787	6.37681758787
11	92711.0339774	92.7110339774	0	6700.2775329	6.7002775329
12	106390.824697	106.390824697	-12	13679.7907197	13.6797907197
13	113978.692963	113.978692963	0	7587.86826552	7.58786826552
14	122360.720905	122.360720905	0	8382.02794201	8.38202794201
15	136709.626323	136.709626323	12	14348.9054179	14.3489054179
16	144655.685701	144.655685701	-1	7946.05937841	7.94605937841
17	151351.494448	151.351494448	0	6695.80874654	6.69580874654
18	160862.098584	160.862098584	1	9510.6041361	9.5106041361
19	175205.119977	175.205119977	12	14343.0213934	14.3430213934
20	183126.81457	183.12681457	-1	7921.69459262	7.92169459262
21	189942.835591	189.942835591	0	6816.02102115	6.81602102115
22	198671.166468	198.671166468	1	8728.33087694	8.72833087694
23	206675.74429	206.67574429	0	8004.57782272	8.00457782272
24	216907.453824	216.907453824	-2	10231.709534	10.231709534
25	229546.649658	229.546649658	12	12639.1958336	12.6391958336
26	237429.555925	237.429555925	-1	7882.90626731	7.88290626731
27	244844.900805	244.844900805	0	7415.34487954	7.41534487954
28	253427.06492	253.42706492	0	8582.16411478	8.58216411478
29	267452.623445	267.452623445	12	14025.5585254	14.0255585254
30	277633.141191	277.633141191	2	10180.5177464	10.1805177464
31	289959.44038	289.95944038	5	12326.2991881	12.3262991881
32	299155.752486	299.155752486	1	9196.31210605	9.19631210605
33	309498.084932	309.498084932	-3	10342.3324466	10.3423324466
34	316846.614875	316.846614875	-2	7348.52994247	7.34852994247
35	323528.515712	323.528515712	0	6681.90083716	6.68190083716
36	337439.404272	337.439404272	-12	13910.8885606	13.9108885606
37	344131.87516	344.13187516	0	6692.47088741	6.69247088741
38	353839.167794	353.839167794	1	9707.2926345	9.7072926345
39	367857.871708	367.857871708	12	14018.7039133	14.0187039133
40	378085.022971	378.085022971	2	10227.1512632	10.2271512632
41	392205.511168	392.205511168	-11	14120.488197	14.120488197
42	400171.565355	400.171565355	0	7966.05418723	7.96605418723
43	408636.492727	408.636492727	-1	8464.92737191	8.46492737191
44	416672.088281	416.672088281	-3	8035.59555364	8.03559555364
45	423773.135303	423.773135303	0	7101.04702199	7.10104702199
46	432067.287399	432.067287399	-1	8294.15209667	8.29415209667
47	439652.094032	439.652094032	1	7584.80663254	7.58480663254
48	454588.486624	454.588486624	11	14936.3925917	14.9363925917
49	468734.52338	468.73452338	12	14146.0367565	14.1460367565
50	478179.354588	478.179354588	-2	9444.83120822	9.44483120822
51	485486.108045	485.486108045	-2	7306.75345698	7.30675345698
52	492098.018186	492.098018186	0	6611.91014028	6.61191014028
53	504548.985046	504.548985046	5	12450.9668603	12.4509668603
54	518439.488991	518.439488991	-12	13890.5039456	13.8905039456
55	525163.805186	525.163805186	0	6724.31619497	6.72431619497
56	534376.436322	534.376436322	1	9212.63113569	9.21263113569
57	545387.304481	545.387304481	3	11010.8681593	11.0108681593
58	559708.593317	559.708593317	9	14321.2888354	14.3212888354
59	568233.152101	568.233152101	-1	8524.55878406	8.52455878406
60	577000.325122	577.000325122	-4	8767.17302136	8.76717302136
61	584563.707008	584.563707008	0	7563.38188607	7.56338188607
62	592956.901475	592.956901475	0	8393.19446677	8.39319446677
63	607286.007042	607.286007042	12	14329.1055674	14.3291055674
64	615170.512668	615.170512668	-1	7884.50562526	7.88450562526
65	622500.991128	622.500991128	0	7330.47846078	7.33047846078
66	631654.404837	631.654404837	-1	9153.41370896	9.15341370896
67	644252.956194	644.252956194	12	12598.5513565	12.5985513565
68	653230.852759	653.230852759	1	8977.8965648	8.9778965648
