discard_seconds	final_time_seconds	final_lz76_bits_per_second	final_n_symbols	final_phrase_count	mean_final_lz76_bits_per_second	final_lle_bits_per_second
0	9994.49741492	0.354228756499	1045	353	0.352248580591	0.323909415412
100	9994.49741492	0.352203753009	1034	348	0.352248580591	0.323909415412
200	9994.49741492	0.351168106144	1023	344	0.352248580591	0.323909415412
300	9994.49741492	0.35428757189	1013	344	0.352248580591	0.323909415412
400	9994.49741492	0.350243481483	1004	337	0.352248580591	0.323909415412
500	9994.49741492	0.349173976708	993	333	0.352248580591	0.323909415412
600	9994.49741492	0.349198638863	983	330	0.352248580591	0.323909415412
700	9994.49741492	0.34917581272	972	327	0.352248580591	0.323909415412
800	9994.49741492	0.351365061027	962	326	0.352248580591	0.323909415412
900	9994.49741492	0.352458145817	951	324	0.352248580591	0.323909415412
1000	9994.49741492	0.354784179973	942	323	0.352248580591	0.323909415412
1100	9994.49741492	0.352613366826	931	318	0.352248580591	0.323909415412
1200	9994.49741492	0.352700435019	921	315	0.352248580591	0.323909415412
1300	9994.49741492	0.350476157788	910	310	0.352248580591	0.323909415412
1400	9994.49741492	0.352721804288	898	309	0.352248580591	0.323909415412
1500	9994.49741492	0.357320786292	886	310	0.352248580591	0.323909415412
1600	9994.49741492	0.356254871428	875	306	0.352248580591	0.323909415412
1700	9994.49741492	0.353996269005	864	301	0.352248580591	0.323909415412
1800	9994.49741492	0.348192315843	854	293	0.352248580591	0.323909415412
1900	9994.49741492	0.351754907811	842	293	0.352248580591	0.323909415412
2000	9994.49741492	0.355459551724	831	293	0.352248580591	0.323909415412
2100	9994.49741492	0.350665933873	820	286	0.352248580591	0.323909415412
2200	9994.49741492	0.353340813794	811	285	0.352248580591	0.323909415412
2300	9994.49741492	0.354828988492	802	283	0.352248580591	0.323909415412
2400	9994.49741492	0.349818492988	790	276	0.352248580591	0.323909415412
2500	9994.49741492	0.350030916055	781	273	0.352248580591	0.323909415412
