time	time_seconds	lambda1_nat_per_timeunit	lambda2_nat_per_timeunit	lambda1_bits_per_second	lambda2_bits_per_second	positive_lyap_sum_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.00064423871442	-0.00053814957559	0.929439998442	-0.77638572396	0.929439998442	NaN	1	2211.95151863	2.21195151863	0
20000	20	0.000560614277507	-0.000163432028131	0.808795438011	-0.235782576507	0.808795438011	0.108271207254	2	11448.0173699	11.4480173699	2
30000	30	0.000430366943243	-0.000252848453232	0.620888254779	-0.364783209574	0.620888254779	0.141763622883	3	24572.5891559	24.5725891559	3
40000	40	0.000300304659333	-7.78162391129e-05	0.433248042776	-0.112265102269	0.433248042776	0.197845732853	4	32538.6101403	32.5386101403	4
50000	50	0.000347914400831	-5.77935634949e-05	0.501934380732	-0.0833784874494	0.501934380732	0.225468875632	6	49982.0796845	49.9820796845	5
60000	60	0.000345413568514	-9.22243449866e-05	0.498326442351	-0.133051605161	0.498326442351	0.265475935704	7	56596.6371782	56.5966371782	6
70000	70	0.00036180828872	-6.11266902189e-05	0.521979023889	-0.0881871728448	0.521979023889	0.238664251803	8	68204.2393499	68.2042393499	6
80000	80	0.000352948731725	-7.26789581658e-05	0.509197384947	-0.104853572523	0.509197384947	0.238664251803	8	68204.2393499	68.2042393499	6
90000	90	0.000380278155532	-4.79100601206e-05	0.548625409145	-0.0691196061447	0.548625409145	0.248729110814	9	81510.9837961	81.5109837961	7
100000	100	0.000337577004269	-6.72237946415e-05	0.487020669977	-0.096983435159	0.487020669977	0.261387708834	10	93715.4211725	93.7154211725	8
110000	110	0.00032249827351	-6.72641717049e-05	0.465266659888	-0.0970416869482	0.465266659888	0.278179684709	12	108531.50775	108.53150775	9
120000	120	0.000306744412207	-4.83476601675e-05	0.442538642312	-0.0697509295623	0.442538642312	0.301740965369	13	115414.694967	115.414694967	10
130000	130	0.000296579146446	-5.50074408936e-05	0.427873263809	-0.0793589621892	0.427873263809	0.291959968406	14	123303.929243	123.303929243	10
140000	140	0.000278454649706	-2.69535264801e-05	0.401725142243	-0.0388857189873	0.401725142243	0.301496843121	16	139029.304473	139.029304473	11
150000	150	0.00029616367564	-4.31631629423e-05	0.427273866137	-0.0622712811259	0.427273866137	0.288695065531	17	148793.128023	148.793128023	11
160000	160	0.000286773581426	-2.87370822705e-05	0.413726823782	-0.0414588460812	0.413726823782	0.305387306453	18	156963.472023	156.963472023	12
170000	170	0.000287276514296	-2.6680340315e-05	0.414452402539	-0.0384915946617	0.414452402539	0.305387306453	18	156963.472023	156.963472023	12
180000	180	0.000303761423834	-2.01900731852e-05	0.438235099778	-0.0291281184595	0.438235099778	0.284928021011	19	171701.173402	171.701173402	12
190000	190	0.000293133302131	-2.99070342241e-05	0.422901961304	-0.0431467299628	0.422901961304	0.293981376288	20	183773.833587	183.773833587	13
200000	200	0.000294819914008	-2.644155749e-05	0.425335227895	-0.0381471038642	0.425335227895	0.311091033539	21	190466.275784	190.466275784	14
210000	210	0.000277701998815	-3.43506238309e-05	0.400639296536	-0.0495574746523	0.400639296536	0.295006881507	22	204221.552907	204.221552907	14
220000	220	0.000270109388038	-2.22125942406e-05	0.38968547462	-0.0320459995563	0.38968547462	0.303086429349	24	219670.833097	219.670833097	15
230000	230	0.000279197049441	-2.48877780704e-05	0.402796198659	-0.0359054740008	0.402796198659	0.297106657122	25	227287.787181	227.287787181	15
240000	240	0.000281550247187	-2.18579151872e-05	0.406191145378	-0.0315343058448	0.406191145378	0.310952739428	26	234769.66217	234.76966217	16
250000	250	0.000284144855511	-2.05970071646e-05	0.40993437394	-0.0297152000935	0.40993437394	0.31949430614	27	245844.679814	245.844679814	17
260000	260	0.000291273996057	-2.2130978632e-05	0.420219549651	-0.0319282531225	0.420219549651	0.31949430614	27	245844.679814	245.844679814	17
270000	270	0.000271119614614	-2.4206311321e-05	0.391142923491	-0.0349223253011	0.391142923491	0.319590150449	29	266388.927076	266.388927076	18
