idx	time	time_seconds	symbol	interval	interval_seconds
1	2211.95151863	2.21195151863	-1	2211.95151863	2.21195151863
2	11448.0173699	11.4480173699	3	9236.06585129	9.23606585129
3	24572.5891559	24.5725891559	-8	13124.571786	13.124571786
4	32538.6101403	32.5386101403	0	7966.0209844	7.9660209844
5	41057.7137789	41.0577137789	-1	8519.10363861	8.51910363861
6	49982.0796845	49.9820796845	-4	8924.36590558	8.92436590558
7	56596.6371782	56.5966371782	0	6614.55749371	6.61455749371
8	68204.2393499	68.2042393499	-4	11607.6021717	11.6076021717
9	81510.9837961	81.5109837961	-12	13306.7444462	13.3067444462
10	93715.4211725	93.7154211725	-11	12204.4373764	12.2044373764
11	100618.800201	100.618800201	0	6903.37902874	6.90337902874
12	108531.50775	108.53150775	-1	7912.70754917	7.91270754917
13	115414.694967	115.414694967	0	6883.18721677	6.88318721677
14	123303.929243	123.303929243	-1	7889.2342757	7.8892342757
15	130497.835372	130.497835372	0	7193.90612942	7.19390612942
16	139029.304473	139.029304473	-1	8531.46910082	8.53146910082
17	148793.128023	148.793128023	4	9763.82354966	9.76382354966
18	156963.472023	156.963472023	0	8170.34400019	8.17034400019
19	171701.173402	171.701173402	11	14737.701379	14.737701379
20	183773.833587	183.773833587	-6	12072.6601849	12.0726601849
21	190466.275784	190.466275784	0	6692.44219677	6.69244219677
22	204221.552907	204.221552907	-12	13755.277123	13.755277123
23	211338.79777	211.33879777	0	7117.24486297	7.11724486297
24	219670.833097	219.670833097	-1	8332.03532778	8.33203532778
25	227287.787181	227.287787181	-2	7616.95408403	7.61695408403
26	234769.66217	234.76966217	1	7481.87498832	7.48187498832
27	245844.679814	245.844679814	3	11075.0176446	11.0750176446
28	260185.51506	260.18551506	-12	14340.8352455	14.3408352455
29	266388.927076	266.388927076	-1	6203.41201607	6.20341201607
30	273606.809637	273.606809637	0	7217.88256143	7.21788256143
31	282210.375065	282.210375065	-1	8603.56542813	8.60356542813
32	292892.668632	292.892668632	-7	10682.2935661	10.6822935661
33	299795.839284	299.795839284	0	6903.17065228	6.90317065228
34	307708.262301	307.708262301	-1	7912.42301755	7.91242301755
35	314593.862348	314.593862348	0	6885.60004666	6.88560004666
36	322485.336098	322.485336098	-1	7891.47375007	7.89147375007
37	329632.887357	329.632887357	0	7147.55125911	7.14755125911
38	338039.392978	338.039392978	-1	8406.50562099	8.40650562099
39	346390.909247	346.390909247	2	8351.51626917	8.35151626917
40	355626.36668	355.62636668	1	9235.45743265	9.23545743265
41	367935.159021	367.935159021	5	12308.7923409	12.3087923409
42	375817.604849	375.817604849	-1	7882.44582806	7.88244582806
43	383287.408266	383.287408266	0	7469.80341676	7.46980341676
44	391761.086433	391.761086433	0	8473.67816689	8.47367816689
45	405947.731428	405.947731428	12	14186.644995	14.186644995
46	415295.304177	415.295304177	1	9347.57274944	9.34757274944
47	429499.949059	429.499949059	-12	14204.6448823	14.2046448823
48	436313.169673	436.313169673	-1	6813.22061339	6.81322061339
49	445002.325762	445.002325762	2	8689.15608923	8.68915608923
50	459304.538289	459.304538289	12	14302.2125269	14.3022125269
51	467867.643819	467.867643819	-1	8563.10552976	8.56310552976
52	475848.346345	475.848346345	0	7980.70252615	7.98070252615
53	484513.429704	484.513429704	1	8665.08335906	8.66508335906
54	492506.090396	492.506090396	0	7992.66069229	7.99266069229
55	501678.686816	501.678686816	1	9172.59642019	9.17259642019
56	510593.770362	510.593770362	-2	8915.08354582	8.91508354582
57	518177.384789	518.177384789	0	7583.61442723	7.58361442723
58	526561.143285	526.561143285	0	8383.75849529	8.38375849529
59	540907.021872	540.907021872	12	14345.8785873	14.3458785873
60	548839.991632	548.839991632	-1	7932.96976044	7.93296976044
61	555591.275378	555.591275378	0	6751.2837459	6.7512837459
62	564725.67449	564.72567449	1	9134.39911166	9.13439911166
63	573873.334928	573.873334928	1	9147.66043779	9.14766043779
64	583169.937376	583.169937376	1	9296.60244867	9.29660244867
65	597972.576538	597.972576538	11	14802.6391619	14.8026391619
66	606709.607264	606.709607264	0	8737.03072576	8.73703072576
67	620560.599769	620.560599769	12	13850.9925052	13.8509925052
68	632452.025591	632.452025591	-5	11891.4258216	11.8914258216
69	640802.581785	640.802581785	2	8350.55619435	8.35055619435
70	650021.858368	650.021858368	1	9219.27658232	9.21927658232
71	660710.006906	660.710006906	-4	10688.1485381	10.6881485381
72	667328.025063	667.328025063	0	6618.01815782	6.61801815782
73	678209.969657	678.209969657	3	10881.9445938	10.8819445938
74	686383.427318	686.383427318	-1	8173.45766042	8.17345766042
75	692580.499784	692.580499784	-1	6197.07246641	6.19707246641
76	699946.35206	699.94635206	0	7365.85227602	7.36585227602
77	708857.491188	708.857491188	0	8911.13912753	8.91113912753
78	722562.536169	722.562536169	12	13705.044981	13.705044981
79	736676.147486	736.676147486	-10	14113.611317	14.113611317
80	744646.094666	744.646094666	0	7969.94718034	7.96994718034
81	752692.089209	752.692089209	-1	8045.99454331	8.04599454331
82	759458.093077	759.458093077	0	6766.00386774	6.76600386774
83	773871.55226	773.87155226	12	14413.4591826	14.4134591826
84	782234.295196	782.234295196	0	8362.74293653	8.36274293653
85	796615.038336	796.615038336	12	14380.7431401	14.3807431401
86	804789.070291	804.789070291	-1	8174.03195517	8.17403195517
87	810985.279342	810.985279342	-1	6196.2090506	6.1962090506
88	818380.571696	818.380571696	0	7395.29235424	7.39529235424
89	827036.461639	827.036461639	0	8655.88994294	8.65588994294
90	840972.234684	840.972234684	12	13935.7730452	13.9357730452
91	851903.518541	851.903518541	3	10931.2838569	10.9312838569
92	861031.833834	861.031833834	1	9128.31529271	9.12831529271
93	870124.00677	870.12400677	1	9092.17293569	9.09217293569
94	878029.444638	878.029444638	-1	7905.43786864	7.90543786864
95	884981.247113	884.981247113	0	6951.80247463	6.95180247463
96	892971.561631	892.971561631	-1	7990.31451835	7.99031451835
97	899584.168611	899.584168611	0	6612.60697963	6.61260697963
98	911130.841733	911.130841733	4	11546.6731222	11.5466731222
99	919345.944029	919.345944029	0	8215.10229613	8.21510229613
100	933474.497827	933.474497827	-12	14128.5537981	14.1285537981
101	940274.864435	940.274864435	0	6800.36660805	6.80036660805
102	954641.516319	954.641516319	12	14366.6518839	14.3666518839
103	962689.970557	962.689970557	-1	8048.45423724	8.04845423724
104	969481.627809	969.481627809	0	6791.65725267	6.79165725267
105	983863.762852	983.863762852	12	14382.1350429	14.3821350429
106	992053.589658	992.053589658	-1	8189.82680548	8.18982680548
107	998560.534524	998.560534524	-1	6506.94486648	6.50694486648
108	1006526.75318	1006.52675318	0	7966.21866022	7.96621866022
109	1014916.88537	1014.91688537	-1	8390.13218511	8.39013218511
110	1023131.17873	1023.13117873	2	8214.29336262	8.21429336262
111	1031405.64602	1031.40564602	0	8274.46728555	8.27446728555
112	1045468.08342	1045.46808342	-12	14062.4374003	14.0624374003
113	1053438.35899	1053.43835899	0	7970.27556882	7.97027556882
114	1061469.28606	1061.46928606	-1	8030.92707507	8.03092707507
115	1068140.6103	1068.1406103	0	6671.3242347	6.6713242347
116	1082286.19715	1082.28619715	-12	14145.5868577	14.1455868577
117	1089262.83136	1089.26283136	0	6976.63420172	6.97663420172
118	1103317.89751	1103.31789751	12	14055.0661555	14.0550661555
119	1113384.76575	1113.38476575	2	10066.8682423	10.0668682423
120	1121335.18371	1121.33518371	-1	7950.41795948	7.95041795948
121	1128016.25648	1128.01625648	0	6681.07276729	6.68107276729
122	1137545.68019	1137.54568019	-2	9529.42370604	9.52942370604
123	1146093.5537	1146.0935537	2	8547.87351646	8.54787351646
124	1159783.29421	1159.78329421	-12	13689.7405042	13.6897405042
125	1167286.52363	1167.28652363	0	7503.2294222	7.5032294222
126	1175722.49575	1175.72249575	0	8435.97211895	8.43597211895
127	1189974.26634	1189.97426634	12	14251.7705887	14.2517705887
128	1199084.34343	1199.08434343	1	9110.07709425	9.11007709425
129	1207607.52088	1207.60752088	-1	8523.17744917	8.52317744917
130	1215585.02959	1215.58502959	0	7977.50870493	7.97750870493
131	1223504.08786	1223.50408786	-1	7919.05827351	7.91905827351
132	1231405.41117	1231.40541117	0	7901.32331476	7.90132331476
133	1239883.04607	1239.88304607	0	8477.63489287	8.47763489287
134	1254063.12239	1254.06312239	12	14180.0763196	14.1800763196
135	1263480.384	1263.480384	1	9417.26161453	9.41726161453
136	1277744.01256	1277.74401256	12	14263.6285552	14.2636285552
137	1285734.42095	1285.73442095	0	7990.40839205	7.99040839205
138	1294874.74964	1294.87474964	1	9140.32869095	9.14032869095
139	1304071.61643	1304.07161643	1	9196.86678993	9.19686678993
140	1314328.97796	1314.32897796	-3	10257.3615334	10.2573615334
141	1321796.31367	1321.79631367	1	7467.33571156	7.46733571156
142	1331954.92412	1331.95492412	-3	10158.6104428	10.1586104428
143	1338172.82337	1338.17282337	-1	6217.89925732	6.21789925732
144	1346047.61714	1346.04761714	0	7874.79377	7.87479377
145	1354485.56329	1354.48556329	0	8437.94614248	8.43794614248
146	1368733.82185	1368.73382185	12	14248.2585593	14.2482585593
147	1377854.85485	1377.85485485	1	9121.03300257	9.12103300257
148	1386835.61942	1386.83561942	1	8980.76457482	8.98076457482
149	1395132.24096	1395.13224096	0	8296.6215421	8.2966215421
150	1409476.8773	1409.4768773	12	14344.6363365	14.3446363365
151	1417494.36755	1417.49436755	0	8017.49024623	8.01749024623
152	1426425.0807	1426.4250807	-2	8930.7131536	8.9307131536
153	1433569.46073	1433.56946073	0	7144.38003225	7.14438003225
154	1441967.80299	1441.96780299	-1	8398.34226124	8.39834226124
155	1450274.8467	1450.2748467	2	8307.04370127	8.30704370127
