idx	time	time_seconds	symbol	interval	interval_seconds
1	2211.95151919	2.21195151919	-1	2211.95151919	2.21195151919
2	11448.0173822	11.4480173822	3	9236.06586306	9.23606586306
3	24572.6234518	24.5726234518	-8	13124.6060696	13.1246060696
4	32538.644444	32.538644444	0	7966.02099218	7.96602099218
5	41057.6539435	41.0576539435	-1	8519.00949948	8.51900949948
6	49985.9057554	49.9859057554	-4	8928.25181194	8.92825181194
7	56598.9190593	56.5989190593	0	6613.01330388	6.61301330388
8	67153.4720727	67.1534720727	-4	10554.5530134	10.5545530134
9	75027.528839	75.027528839	0	7874.05676634	7.87405676634
10	83464.9358791	83.4649358791	0	8437.4070401	8.4374070401
11	97714.152611	97.714152611	12	14249.2167319	14.2492167319
12	106832.284987	106.832284987	1	9118.1323756	9.1181323756
13	115740.096432	115.740096432	1	8907.81144538	8.90781144538
14	123841.355011	123.841355011	0	8101.25857904	8.10125857904
15	137242.659835	137.242659835	7	13401.3048238	13.4013048238
16	146644.808784	146.644808784	-1	9402.1489491	9.4021489491
17	159000.710454	159.000710454	12	12355.9016702	12.3559016702
18	168779.592146	168.779592146	-3	9778.88169227	9.77888169227
19	176349.128913	176.349128913	0	7569.53676629	7.56953676629
20	184739.235977	184.739235977	0	8390.10706414	8.39010706414
21	199073.871368	199.073871368	12	14334.6353913	14.3346353913
22	206969.018673	206.969018673	-1	7895.14730487	7.89514730487
23	214052.821382	214.052821382	0	7083.802709	7.083802709
24	222307.969908	222.307969908	-1	8255.14852628	8.25514852628
25	229733.217361	229.733217361	1	7425.24745254	7.42524745254
26	239099.696278	239.099696278	1	9366.47891722	9.36647891722
27	252970.229674	252.970229674	-12	13870.5333956	13.8705333956
28	259731.333098	259.731333098	0	6761.10342409	6.76110342409
29	268837.395945	268.837395945	1	9106.06284745	9.10606284745
30	277009.077036	277.009077036	-1	8171.68109117	8.17168109117
31	284975.130185	284.975130185	0	7966.05314921	7.96605314921
32	293439.079579	293.439079579	-1	8463.94939392	8.46394939392
33	301489.013301	301.489013301	-3	8049.93372115	8.04993372115
34	308459.345868	308.459345868	0	6970.33256784	6.97033256784
35	316483.038805	316.483038805	-1	8023.69293641	8.02369293641
36	323129.833765	323.129833765	0	6646.79495971	6.64679495971
37	337879.337102	337.879337102	11	14749.5033378	14.7495033378
38	352014.109736	352.014109736	-12	14134.7726333	14.1347726333
39	358859.900785	358.859900785	0	6845.79104953	6.84579104953
40	373137.439925	373.137439925	12	14277.5391397	14.2775391397
