idx	g_h	status	retcode	lambda1_nats_per_second	lz76_nats_per_second	lambda1_bits_per_second	lz76_bits_per_second	lz76_alphabet_size	n_symbols	lz76_phrase_count	transient_runtime_seconds	main_runtime_seconds	total_runtime_seconds	events_path	metadata_path	error_message
1	0	ok	Success	0.23238024436	0.245266648061	0.335253826138	0.353844976853	24	260	110	1.080971917	20.240566375	21.4883692265	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh01_0.000000_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh01_0.000000_metadata.txt	
2	0.00111111111111	ok	Success	0.23238024436	0.245266648061	0.335253826138	0.353844976853	24	260	110	0.115816542	19.8537995	19.9714429379	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh02_0.001111_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh02_0.001111_metadata.txt	
3	0.00222222222222	ok	Success	0.23238024436	0.245266648061	0.335253826138	0.353844976853	24	260	110	0.0690515	14.640043375	14.7131488323	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh03_0.002222_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh03_0.002222_metadata.txt	
4	0.00333333333333	ok	Success	0.23238024436	0.245266648061	0.335253826138	0.353844976853	24	260	110	1.090245833	20.231218167	21.4884369373	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh04_0.003333_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh04_0.003333_metadata.txt	
5	0.00444444444444	ok	Success	0.23238024436	0.245266648061	0.335253826138	0.353844976853	24	260	110	0.114956667	19.931254125	20.0479578972	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh05_0.004444_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh05_0.004444_metadata.txt	
6	0.00555555555556	ok	Success	0.23238024436	NaN	0.335253826138	NaN	0	0	0	0.064112167	14.699431667	14.7645049095	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh06_0.005556_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh06_0.005556_metadata.txt	
7	0.00666666666667	ok	Success	0.23238024436	NaN	0.335253826138	NaN	0	0	0	1.086844917	20.252672125	21.4884109497	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh07_0.006667_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh07_0.006667_metadata.txt	
8	0.00777777777778	ok	Success	0.23238024436	NaN	0.335253826138	NaN	0	0	0	0.133546875	19.902568625	20.0385251045	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh08_0.007778_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh08_0.007778_metadata.txt	
9	0.00888888888889	ok	Success	0.23238024436	NaN	0.335253826138	NaN	0	0	0	1.083236541	20.238065334	21.4883711338	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh09_0.008889_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh09_0.008889_metadata.txt	
10	0.01	ok	Success	0.23238024436	NaN	0.335253826138	NaN	0	0	0	0.136023042	19.723588291	19.8618738651	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh10_0.010000_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/gh_sweep_smoke10_t2500s/gh10_0.010000_metadata.txt	
