idx	time	time_seconds	symbol	interval	interval_seconds
1	2730.39253282	2.73039253282	-2	2730.39253282	2.73039253282
2	15679.4782069	15.6794782069	-12	12949.085674	12.949085674
3	24074.7044385	24.0747044385	2	8395.2262316	8.3952262316
4	34835.6143417	34.8356143417	3	10760.9099032	10.7609099032
5	42946.5054911	42.9465054911	0	8110.89114945	8.11089114945
6	56942.9497328	56.9429497328	8	13996.4442417	13.9964442417
7	72282.0878402	72.2820878402	-12	15339.1381074	15.3391381074
8	84775.7704479	84.7757704479	12	12493.6826077	12.4936826077
9	92758.7807966	92.7587807966	0	7983.01034874	7.98301034874
10	101664.767116	101.664767116	1	8905.98631943	8.90598631943
11	109763.808953	109.763808953	0	8099.04183719	8.09904183719
12	122321.077019	122.321077019	-7	12557.2680653	12.5572680653
13	128942.722188	128.942722188	0	6621.64516924	6.62164516924
14	138763.10862	138.76310862	-3	9820.38643237	9.82038643237
15	145705.787935	145.705787935	0	6942.67931526	6.94267931526
16	153680.178009	153.680178009	-1	7974.39007386	7.97439007386
17	160306.888487	160.306888487	0	6626.71047775	6.62671047775
18	170865.789318	170.865789318	-3	10558.9008308	10.5589008308
19	181141.841662	181.141841662	4	10276.0523443	10.2760523443
20	195281.104232	195.281104232	12	14139.2625702	14.1392625702
21	204602.413765	204.602413765	-2	9321.30953227	9.32130953227
22	211958.829207	211.958829207	1	7356.41544259	7.35641544259
23	219996.581149	219.996581149	-1	8037.75194177	8.03775194177
24	226701.143349	226.701143349	0	6704.56220019	6.70456220019
25	240366.538827	240.366538827	-12	13665.3954774	13.6653954774
26	248205.306793	248.205306793	0	7838.76796632	7.83876796632
27	256610.148297	256.610148297	0	8404.84150461	8.40484150461
28	270918.182351	270.918182351	12	14308.0340534	14.3080340534
29	279275.813902	279.275813902	-1	8357.63155117	8.35763155117
30	287245.077016	287.245077016	0	7969.26311394	7.96926311394
31	295325.83313	295.32583313	-1	8080.75611362	8.08075611362
32	302315.079815	302.315079815	-1	6989.24668567	6.98924668567
33	313449.756025	313.449756025	-7	11134.6762092	11.1346762092
34	320838.17728	320.83817728	1	7388.42125532	7.38842125532
35	329256.376309	329.256376309	-1	8418.19902947	8.41819902947
36	337227.923794	337.227923794	0	7971.54748486	7.97154748486
37	345208.438998	345.208438998	-1	7980.51520415	7.98051520415
38	351827.718208	351.827718208	0	6619.27920927	6.61927920927
39	362455.9349	362.4559349	3	10628.2166924	10.6282166924
40	370471.840411	370.471840411	0	8015.9055114	8.0159055114
41	379447.990273	379.447990273	-2	8976.14986116	8.97614986116
42	386227.628878	386.227628878	0	6779.63860565	6.77963860565
43	395262.68554	395.26268554	1	9035.05666193	9.03505666193
44	403740.456856	403.740456856	-1	8477.77131553	8.47777131553
45	412719.404669	412.719404669	3	8978.94781356	8.97894781356
46	420810.882502	420.810882502	0	8091.47783308	8.09147783308
47	432719.792616	432.719792616	-6	11908.9101135	11.9089101135
48	439540.564364	439.540564364	0	6820.77174816	6.82077174816
49	448198.900651	448.198900651	1	8658.33628666	8.65833628666
50	456190.542801	456.190542801	0	7991.64215051	7.99164215051
51	465348.819462	465.348819462	1	9158.27666051	9.15827666051
52	474979.961263	474.979961263	-2	9631.14180139	9.63114180139
53	484401.137588	484.401137588	-4	9421.17632523	9.42117632523
54	492382.709968	492.382709968	0	7981.57238021	7.98157238021
55	501160.500941	501.160500941	1	8777.7909724	8.7777909724
56	509178.670664	509.178670664	0	8018.16972275	8.01816972275
57	518097.201757	518.097201757	-2	8918.53109339	8.91853109339
58	525474.459722	525.474459722	0	7377.25796487	7.37725796487
59	534244.27086	534.24427086	0	8769.81113798	8.76981113798
60	548064.435504	548.064435504	12	13820.1646445	13.8201646445
61	560526.353767	560.526353767	5	12461.9182626	12.4619182626
62	574263.658407	574.263658407	-12	13737.3046399	13.7373046399
63	581467.502082	581.467502082	0	7203.84367527	7.20384367527
64	590027.877776	590.027877776	-1	8560.37569412	8.56037569412
65	599475.569787	599.475569787	-5	9447.69201036	9.44769201036
66	607000.900795	607.000900795	0	7525.33100872	7.52533100872
67	615418.113661	615.418113661	0	8417.21286561	8.41721286561
68	629703.658888	629.703658888	12	14285.5452275	14.2855452275
69	638597.750203	638.597750203	1	8894.09131405	8.89409131405
