time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000678026556778	0.978185551055	NaN	1	2149.16675352	2.14916675352	0
20000	20	0.000578465662449	0.834549542539	0.106981016064	2	11496.6195707	11.4966195707	2
30000	30	0.000323281532968	0.466396664424	0.137746895681	3	25161.8450849	25.1618450849	3
40000	40	0.000277836433277	0.400833244466	0.194836000794	4	32944.2968915	32.9442968915	4
50000	50	0.000284880600648	0.410995829801	0.237106436348	5	41320.2349143	41.3202349143	5
60000	60	0.000199655525232	0.288042036139	0.201206536567	6	55679.6199391	55.6796199391	5
70000	70	0.000208746438183	0.30115745117	0.234642294124	7	63680.3811809	63.6803811809	6
80000	80	0.000227851978972	0.32872092012	0.231127901904	8	70293.2543787	70.2932543787	6
90000	90	0.000233399643022	0.336724507534	0.242649563851	9	83435.0239119	83.4350239119	7
100000	100	0.000202724130872	0.292469098278	0.250025432998	10	97810.964021	97.810964021	8
110000	110	0.000214822022762	0.309922666913	0.272717155487	11	105935.965445	105.935965445	9
120000	120	0.000214662848054	0.309693026351	0.292011947483	13	119123.507649	119.123507649	10
130000	130	0.00020767556438	0.299612506845	0.284719691958	14	126320.451667	126.320451667	10
140000	140	0.000227659481283	0.328443204659	0.303670566748	15	134235.538764	134.235538764	11
150000	150	0.000227972584362	0.328894916917	0.293395608769	16	142744.318034	142.744318034	11
160000	160	0.000206444676481	0.297836710978	0.298362672957	17	156874.574425	156.874574425	12
170000	170	0.000213859212537	0.308533625376	0.288309941584	18	166067.031523	166.067031523	12
180000	180	0.000220094089451	0.31752865138	0.302099423411	20	178832.099045	178.832099045	13
190000	190	0.000217729424911	0.314117161575	0.296443264964	21	185594.295318	185.594295318	13
200000	200	0.000217736940789	0.314128004695	0.309503666784	22	194696.877607	194.696877607	14
210000	210	0.000208628141241	0.300986784758	0.323785319352	23	202600.75106	202.60075106	15
220000	220	0.000214942342314	0.310096251333	0.308571135398	25	218862.661509	218.862661509	15
