time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000529952319548	0.764559583319	NaN	1	2730.39265635	2.73039265635	0
20000	20	0.000387627146695	0.559227762251	0.0772255471246	2	15679.4754047	15.6794754047	2
30000	30	0.000365139525326	0.52678498242	0.148513904555	3	24074.690424	24.074690424	3
40000	40	0.00031615285404	0.456112154686	0.186897016549	4	34833.6338466	34.8336338466	4
50000	50	0.000342518642103	0.494149946374	0.230973459908	5	42941.5597023	42.9415597023	5
60000	60	0.000301564332614	0.435065367172	0.23949006662	6	56698.4452191	56.6984452191	6
70000	70	0.000305039893258	0.440079541277	0.271626248721	7	64742.5494771	64.7425494771	7
80000	80	0.000294156915593	0.424378723369	0.254904571528	8	74816.1928043	74.8161928043	7
90000	90	0.000299642701573	0.432293039598	0.313256151401	10	88626.9263661	88.6269263661	9
100000	100	0.000286460866899	0.413275672083	0.334373952789	11	96784.9028506	96.7849028506	10
110000	110	0.000311034079383	0.448727323873	0.334373952789	11	96784.9028506	96.7849028506	10
120000	120	0.000276896836215	0.399477692445	0.321810025561	13	119487.773145	119.487773145	11
130000	130	0.00026823245878	0.386977638088	0.313373730092	14	126829.534528	126.829534528	11
140000	140	0.000271019346389	0.39099826702	0.328037482975	15	136121.169448	136.121169448	12
150000	150	0.000249132206576	0.359421798953	0.308551455918	16	148573.165837	148.573165837	12
160000	160	0.000257081361448	0.370890005266	0.323140963661	17	157496.626844	157.496626844	13
170000	170	0.000245502481044	0.354185211928	0.314953253842	18	165285.984298	165.285984298	13
180000	180	0.000241485032371	0.348389258651	0.329606301168	19	173664.422548	173.664422548	14
190000	190	0.000220086693176	0.31751798081	0.310226714737	20	188019.540661	188.019540661	14
200000	200	0.000219594282861	0.316807582892	0.324668870203	21	195996.201339	195.996201339	15
210000	210	0.000232525282923	0.335463072555	0.319431292907	22	202619.865414	202.619865414	15
220000	220	0.00025298603747	0.364981701672	0.309194348145	23	212641.34552	212.64134552	15
230000	230	0.000239601849915	0.34567240066	0.32308473149	24	220328.909368	220.328909368	16
240000	240	0.000245845301617	0.354679797468	0.310046029501	25	232791.816729	232.791816729	16
250000	250	0.000225052374675	0.324681944884	0.316596086745	27	248593.41099	248.59341099	17
260000	260	0.000220290541774	0.317812072172	0.309997469381	28	256946.28232	256.94628232	17
270000	270	0.000227024815721	0.327527575799	0.322018264864	29	264915.394489	264.915394489	18
280000	280	0.00022815408232	0.329156763122	0.311428230602	31	279837.266701	279.837266701	18
290000	290	0.000235456965762	0.339692596847	0.32243960798	32	288152.058364	288.152058364	19
300000	300	0.000236530737633	0.341241722202	0.335102035797	33	294673.33355	294.67333355	20
310000	310	0.000234752129729	0.338675733398	0.342840631568	35	307937.430303	307.937430303	21
320000	320	0.000235761107454	0.340131380558	0.336813085238	36	316116.778376	316.116778376	21
330000	330	0.000221297000739	0.31926408553	0.327884880674	38	329998.631111	329.998631111	21
340000	340	0.000230965817036	0.333213238852	0.337566214363	39	338360.367015	338.360367015	22
350000	350	0.000233756567852	0.337239441215	0.337566214363	39	338360.367015	338.360367015	22
360000	360	0.000218852864569	0.315737942398	0.326146756755	40	352742.63491	352.74263491	22
370000	370	0.000214880109602	0.310006468508	0.331894726894	42	367515.835696	367.515835696	23
380000	380	0.000213404369728	0.307877425911	0.327030963991	43	375483.073894	375.483073894	23
390000	390	0.000214582433161	0.309577012184	0.322097315726	44	383711.939029	383.711939029	23
400000	400	0.000211468408227	0.305084423854	0.326887340388	46	399453.093448	399.453093448	24
410000	410	0.000214806478963	0.309900241951	0.335483006952	47	407848.237487	407.848237487	25
420000	420	0.000221500806959	0.319558115753	0.328749978598	48	418594.230779	418.594230779	25
430000	430	0.000220075035682	0.317501162602	0.337307970839	49	426684.863096	426.684863096	26
440000	440	0.000225652367664	0.325547551793	0.329785943345	50	438787.352079	438.787352079	26
450000	450	0.000230050602787	0.331892863795	0.338924038751	51	445757.202074	445.757202074	27
460000	460	0.000223587890249	0.322569140465	0.330244530859	52	459822.076498	459.822076498	27
470000	470	0.000224816565236	0.324341743776	0.324862061034	53	469808.18739	469.80818739	27
480000	480	0.000224287518514	0.323578490694	0.332629760135	54	478192.462721	478.192462721	28
490000	490	0.00022265555629	0.321224066887	0.332629760135	54	478192.462721	478.192462721	28
500000	500	0.000222974268089	0.321683870817	0.32448458436	55	492537.434245	492.537434245	28
510000	510	0.000219107670143	0.316105549136	0.318044544642	57	507237.210317	507.237210317	28
520000	520	0.000219025514041	0.315987022935	0.32507544202	58	516311.047423	516.311047423	29
530000	530	0.000220032152948	0.317439295894	0.321511025037	59	524346.034902	524.346034902	29
540000	540	0.000225954430102	0.325983335775	0.318839944705	60	531035.684854	531.035684854	29
550000	550	0.000217161970158	0.313298497417	0.322830997577	61	544826.304675	544.826304675	30
560000	560	0.000212426194044	0.306466216702	0.32732424244	63	559836.933367	559.836933367	31
570000	570	0.000217306201805	0.313506579698	0.32475310601	64	566524.07657	566.52407657	31
580000	580	0.000220867189594	0.318643999123	0.32475310601	64	566524.07657	566.52407657	31
590000	590	0.000213939786178	0.308649868568	0.325910367184	66	587216.238059	587.216238059	32
600000	600	0.00021339547912	0.307864599475	0.322801435653	67	595099.559416	595.099559416	32
610000	610	0.000212432492853	0.306475303962	0.31991110849	68	602691.186234	602.691186234	32
620000	620	0.000224786653591	0.324298590393	0.326559915592	69	611071.555702	611.071555702	33
630000	630	0.000206869067919	0.298448978401	0.32018480422	70	625423.343087	625.423343087	33
640000	640	0.000207215390344	0.298948616045	0.317263943813	71	633382.963418	633.382963418	33
650000	650	0.00020793633779	0.29998872335	0.311759336905	73	648953.445907	648.953445907	33
660000	660	0.000206010548667	0.297210396933	0.318532326368	74	656568.025775	656.568025775	34
670000	670	0.000206071667014	0.297298572068	0.315543290829	75	664940.968542	664.940968542	34
680000	680	0.000199945628814	0.288460567138	0.318959655988	76	679305.388523	679.305388523	35
690000	690	0.000201804473092	0.291142312558	0.325258317339	77	687338.217945	687.338217945	36
700000	700	0.000202540377122	0.292203997654	0.323126923885	78	694017.65007	694.01765007	36
710000	710	0.000201099909685	0.290125842426	0.31771049694	79	707974.632755	707.974632755	36
720000	720	0.000201869633787	0.29123631957	0.315703781695	80	714614.623396	714.614623396	36
730000	730	0.000202175347774	0.291677371623	0.32089489714	81	724706.564001	724.706564001	37
740000	740	0.000199567049671	0.287914392885	0.317939785984	82	733563.031099	733.563031099	37
750000	750	0.000202131956017	0.29161477055	0.323909637904	83	741617.963858	741.617963858	38
760000	760	0.000206364363964	0.297720844507	0.32010708034	84	752530.425717	752.530425717	38
770000	770	0.000202869919972	0.29267942749	0.323610189374	86	768188.642194	768.188642194	39
780000	780	0.000201914728626	0.291301377671	0.320983822755	87	776559.360597	776.559360597	39
790000	790	0.0001970155503	0.284233357396	0.320983822755	87	776559.360597	776.559360597	39
800000	800	0.000197958860312	0.285594266073	0.321653899468	89	798986.541489	798.986541489	40
810000	810	0.000200742824283	0.289610677087	0.327673179263	90	805995.944624	805.995944624	41
820000	820	0.000197650394969	0.285149244651	0.327673179263	90	805995.944624	805.995944624	41
830000	830	0.000199528990448	0.287859485033	0.322886837942	91	820005.877251	820.005877251	41
840000	840	0.000201263054036	0.290361209971	0.319657808551	92	830361.670711	830.361670711	41
850000	850	0.000197028327702	0.28425179129	0.314990522548	93	844732.412749	844.732412749	41
860000	860	0.00020363567921	0.293784184544	0.320413752123	94	852769.081329	852.769081329	42
870000	870	0.000198563495247	0.286466569895	0.317356280197	95	863054.844524	863.054844524	42
880000	880	0.000198014627356	0.285674720909	0.320471589464	96	877078.95362	877.07895362	43
890000	890	0.000200338804857	0.289027800265	0.318823079614	97	883690.823738	883.690823738	43
900000	900	0.000200854717317	0.289772104612	0.31514512551	98	896065.328916	896.065328916	43
910000	910	0.000207443791967	0.299278129934	0.31514512551	98	896065.328916	896.065328916	43
920000	920	0.000206108266037	0.297351373298	0.318160024445	99	910277.816526	910.277816526	44
930000	930	0.000203466592576	0.293540244096	0.327434123471	101	928856.455014	928.856455014	46
940000	940	0.000211130636356	0.304597122051	0.327434123471	101	928856.455014	928.856455014	46
950000	950	0.000209090829557	0.301654302897	0.323627435586	102	941842.468193	941.842468193	46
960000	960	0.000206738033813	0.298259936146	0.327391240253	103	953319.061238	953.319061238	47
970000	970	0.000209782343196	0.302651946195	0.325341273074	104	961393.21607	961.39321607	47
980000	980	0.000209211781103	0.301828799093	0.328971098813	105	973072.214842	973.072214842	48
990000	990	0.000209784116465	0.302654504482	0.331890622963	107	988731.942079	988.731942079	49
1000000	1000	0.000211719875966	0.305447215114	0.329175402834	108	998931.102991	998.931102991	49
1010000	1010	0.000215414544369	0.310777494897	0.329175402834	108	998931.102991	998.931102991	49
1020000	1020	0.000215140317947	0.310381869797	0.325211400869	109	1013145.31895	1013.14531895	49
1030000	1030	0.000212214108967	0.306160242614	0.32791461616	110	1027343.30371	1027.34330371	50
1040000	1040	0.000212926647178	0.307188217957	0.32562573857	111	1036617.47759	1036.61747759	50
1050000	1050	0.000213837073087	0.308501684901	0.32562573857	111	1036617.47759	1036.61747759	50
1060000	1060	0.000214015532485	0.30875914739	0.332731313599	113	1059170.83648	1059.17083648	52
1070000	1070	0.000213135265634	0.307489190769	0.331055925373	114	1066579.41904	1066.57941904	52
1080000	1080	0.000213405813859	0.307879509352	0.329030992602	115	1075182.95354	1075.18295354	52
1090000	1090	0.000210473542723	0.303649136325	0.325408928565	116	1089181.05018	1089.18105018	52
1100000	1100	0.000213135757347	0.30748990016	0.329053652178	117	1099867.93011	1099.86793011	53
1110000	1110	0.000217086486772	0.31318959791	0.329053652178	117	1099867.93011	1099.86793011	53
1120000	1120	0.000214168882822	0.30898038516	0.325844423847	118	1112734.73375	1112.73473375	53
1130000	1130	0.000218519165159	0.315256515915	0.330073597322	119	1121242.81346	1121.24281346	54
1140000	1140	0.000213274624318	0.307690242851	0.326549268658	120	1135374.1524	1135.3741524	54
1150000	1150	0.0002138471677	0.308516248348	0.324500440608	121	1144580.48374	1144.58048374	54
1160000	1160	0.000214618072183	0.309628428424	0.327684282918	123	1158519.48946	1158.51948946	55
1170000	1170	0.000214499748414	0.309457723308	0.327684282918	123	1158519.48946	1158.51948946	55
1180000	1180	0.00021458085992	0.309574742476	0.328958044708	125	1179060.48948	1179.06048948	56
1190000	1190	0.000213408756706	0.307883754982	0.327331984771	126	1186930.77774	1186.93077774	56
1200000	1200	0.00021258998906	0.306702522959	0.325569276529	127	1195363.5608	1195.3635608	56
1210000	1210	0.000211391994859	0.304974182667	0.322264080631	128	1209621.02483	1209.62102483	56
1220000	1220	0.000211010554426	0.304423880446	0.320387576573	129	1218711.04001	1218.71104001	56
1230000	1230	0.000210979127055	0.304378540333	0.324533515865	130	1226628.4116	1226.6284116	57
1240000	1240	0.000210656770669	0.303913478374	0.323255420804	131	1233474.69306	1233.47469306	57
1250000	1250	0.000210413108343	0.303561947945	0.320121350021	133	1249530.72736	1249.53072736	57
1260000	1260	0.000210732229076	0.304022341844	0.323995730105	134	1258224.45858	1258.22445858	58
1270000	1270	0.000212098103062	0.305992881469	0.323995730105	134	1258224.45858	1258.22445858	58
1280000	1280	0.000213197440217	0.307578889732	0.325176587582	136	1279223.2748	1279.2232748	59
1290000	1290	0.000216079430993	0.311736723531	0.325176587582	136	1279223.2748	1279.2232748	59
1300000	1300	0.000216028552407	0.311663321248	0.322397590404	137	1292216.07286	1292.21607286	59
1310000	1310	0.000214963808262	0.31012722015	0.32501692444	139	1307473.3407	1307.4733407	60
1320000	1320	0.000215305731178	0.310620510646	0.328919476882	140	1315452.69682	1315.45269682	61
1330000	1330	0.000214870218221	0.309992198262	0.327312989161	141	1323863.08443	1323.86308443	61
1340000	1340	0.000213711605865	0.308320673962	0.324357974662	143	1339826.97906	1339.82697906	61
1350000	1350	0.000214599281831	0.309601319677	0.328529794927	144	1346438.95688	1346.43895688	62
1360000	1360	0.000214896034703	0.310029443573	0.326138531278	145	1358241.29091	1358.24129091	62
1370000	1370	0.000216177431151	0.311878107873	0.326138531278	145	1358241.29091	1358.24129091	62
1380000	1380	0.000214805890806	0.30989939342	0.327366002702	147	1378846.9721	1378.8469721	63
1390000	1390	0.000216059867472	0.311708499337	0.325510286177	148	1388636.43698	1388.63643698	63
1400000	1400	0.000215057940408	0.31026302413	0.329409146522	149	1395909.48087	1395.90948087	64
1410000	1410	0.000213626231284	0.308197504478	0.327793168158	150	1404712.32779	1404.71232779	64
1420000	1420	0.000216353113172	0.312131563454	0.325217888931	151	1417750.86307	1417.75086307	64
1430000	1430	0.000216831104656	0.312821159398	0.328624638257	152	1426895.81181	1426.89581181	65
1440000	1440	0.000217043626477	0.313127763575	0.327250507512	153	1434804.58363	1434.80458363	65
1450000	1450	0.000216116916223	0.311790803287	0.330911085433	154	1442674.82357	1442.67482357	66
1460000	1460	0.000217161934195	0.313298445532	0.329421094906	155	1451107.55311	1451.10755311	66
1470000	1470	0.000214570317241	0.309559532605	0.32663949126	156	1465365.11281	1465.36511281	66
1480000	1480	0.000214498264399	0.309455582328	0.329971161316	157	1474454.7616	1474.4547616	67
1490000	1490	0.000213519990173	0.308044230953	0.327541154853	159	1489205.0585	1489.2050585	67
1500000	1500	0.000213701303891	0.308305811356	0.326099954487	160	1497680.38655	1497.68038655	67
1510000	1510	0.000213569619308	0.30811583066	0.329628060846	161	1505654.8056	1505.6548056	68
1520000	1520	0.000213500009749	0.308015405294	0.328316063014	162	1513557.70628	1513.55770628	68
1530000	1530	0.000213089708235	0.307423465335	0.325892691074	164	1528578.80116	1528.57880116	68
1540000	1540	0.00021418459466	0.309003052551	0.32486096022	165	1535306.33712	1535.30633712	68
1550000	1550	0.000212533409613	0.306620896072	0.326996663599	166	1549572.4514	1549.5724514	69
1560000	1560	0.000210656765593	0.303913471051	0.32571012607	167	1557563.36705	1557.56336705	69
1570000	1570	0.000211855482891	0.305642854552	0.328892833603	168	1566711.22404	1566.71122404	70
1580000	1580	0.000212782544205	0.306980321313	0.327338775642	169	1576012.09907	1576.01209907	70
1590000	1590	0.000212642183227	0.306777823225	0.327338775642	169	1576012.09907	1576.01209907	70
1600000	1600	0.000212693406091	0.306851722197	0.332462449844	171	1599789.17327	1599.78917327	72
1610000	1610	0.000211924924329	0.30574303737	0.331145995319	172	1608011.44961	1608.01144961	72
1620000	1620	0.000213041770422	0.307354305689	0.331145995319	172	1608011.44961	1608.01144961	72
1630000	1630	0.000211473760871	0.305092146087	0.33225436963	174	1628630.03567	1628.63003567	73
1640000	1640	0.000212583052856	0.306692516133	0.330460015532	175	1639328.36594	1639.32836594	73
1650000	1650	0.00021310498694	0.307445507846	0.334017746054	176	1645941.25296	1645.94125296	74
1660000	1660	0.000212004491507	0.305857828543	0.33216784501	177	1656956.6195	1656.9566195	74
1670000	1670	0.000213410637482	0.307886468368	0.335417680435	178	1664926.96774	1664.92696774	75
1680000	1680	0.000213717351107	0.308328962595	0.333217745847	180	1679614.00324	1679.61400324	75
1690000	1690	0.000216631415028	0.312533068162	0.333217745847	180	1679614.00324	1679.61400324	75
