idx	time	time_seconds	symbol	interval	interval_seconds
1	2730.39265635	2.73039265635	-2	2730.39265635	2.73039265635
2	15679.4754047	15.6794754047	-12	12949.0827483	12.9490827483
3	24074.690424	24.074690424	2	8395.21501929	8.39521501929
4	34833.6338466	34.8336338466	3	10758.9434227	10.7589434227
5	42941.5597023	42.9415597023	0	8107.92585564	8.10792585564
6	56698.4452191	56.6984452191	8	13756.8855169	13.7568855169
7	64742.5494771	64.7425494771	0	8044.104258	8.044104258
8	74816.1928043	74.8161928043	-3	10073.6433272	10.0736433272
9	81394.1080027	81.3941080027	-1	6577.91519836	6.57791519836
10	88626.9263661	88.6269263661	1	7232.81836347	7.23281836347
11	96784.9028506	96.7849028506	0	8157.9764845	8.1579764845
12	111603.539291	111.603539291	11	14818.6364405	14.8186364405
13	119487.773145	119.487773145	-1	7884.23385411	7.88423385411
14	126829.534528	126.829534528	0	7341.76138289	7.34176138289
15	136121.169448	136.121169448	-1	9291.63491989	9.29163491989
16	148573.165837	148.573165837	12	12451.9963889	12.4519963889
17	157496.626844	157.496626844	-2	8923.46100753	8.92346100753
18	165285.984298	165.285984298	0	7789.35745318	7.78935745318
19	173664.422548	173.664422548	0	8378.4382502	8.3784382502
20	188019.540661	188.019540661	12	14355.1181134	14.3551181134
21	195996.201339	195.996201339	-1	7976.66067818	7.97666067818
22	202619.865414	202.619865414	0	6623.66407437	6.62366407437
23	212641.34552	212.64134552	-3	10021.4801062	10.0214801062
24	220328.909368	220.328909368	-1	7687.56384811	7.68756384811
25	232791.816729	232.791816729	12	12462.9073607	12.4629073607
26	241757.121776	241.757121776	-2	8965.30504715	8.96530504715
27	248593.41099	248.59341099	0	6836.28921407	6.83628921407
28	256946.28232	256.94628232	-1	8352.87133037	8.35287133037
29	264915.394489	264.915394489	0	7969.11216853	7.96911216853
30	273004.539783	273.004539783	-1	8089.14529368	8.08914529368
31	279837.266701	279.837266701	-1	6832.72691799	6.83272691799
32	288152.058364	288.152058364	-3	8314.79166367	8.31479166367
33	294673.33355	294.67333355	-1	6521.27518573	6.52127518573
34	300888.5402	300.8885402	-1	6215.20664972	6.21520664972
35	307937.430303	307.937430303	0	7048.89010304	7.04889010304
36	316116.778376	316.116778376	-1	8179.34807371	8.17934807371
37	322313.182394	322.313182394	-1	6196.4040177	6.1964040177
38	329998.631111	329.998631111	0	7685.44871731	7.68544871731
39	338360.367015	338.360367015	0	8361.73590342	8.36173590342
40	352742.63491	352.74263491	12	14382.2678946	14.3822678946
41	360934.012337	360.934012337	-1	8191.37742777	8.19137742777
42	367515.835696	367.515835696	-1	6581.82335825	6.58182335825
43	375483.073894	375.483073894	0	7967.23819855	7.96723819855
44	383711.939029	383.711939029	-1	8228.86513525	8.22886513525
45	391036.387697	391.036387697	1	7324.44866743	7.32444866743
46	399453.093448	399.453093448	-1	8416.70575173	8.41670575173
47	407848.237487	407.848237487	2	8395.14403839	8.39514403839
48	418594.230779	418.594230779	3	10745.9932917	10.7459932917
49	426684.863096	426.684863096	0	8090.63231777	8.09063231777
50	438787.352079	438.787352079	-6	12102.4889829	12.1024889829
51	445757.202074	445.757202074	0	6969.84999434	6.96984999434
52	459822.076498	459.822076498	12	14064.8744247	14.0648744247
53	469808.18739	469.80818739	2	9986.1108915	9.9861108915
54	478192.462721	478.192462721	0	8384.27533072	8.38427533072
55	492537.434245	492.537434245	12	14344.9715243	14.3449715243
56	500466.710559	500.466710559	-1	7929.27631436	7.92927631436
57	507237.210317	507.237210317	0	6770.49975772	6.77049975772
58	516311.047423	516.311047423	1	9073.83710612	9.07383710612
59	524346.034902	524.346034902	-1	8034.98747937	8.03498747937
60	531035.684854	531.035684854	0	6689.64995159	6.68964995159
61	544826.304675	544.826304675	-12	13790.6198206	13.7906198206
62	551802.453432	551.802453432	0	6976.14875736	6.97614875736
63	559836.933367	559.836933367	-1	8034.47993509	8.03447993509
64	566524.07657	566.52407657	0	6687.14320292	6.68714320292
65	580349.900473	580.349900473	-12	13825.8239026	13.8258239026
66	587216.238059	587.216238059	0	6866.33758688	6.86633758688
67	595099.559416	595.099559416	-1	7883.32135682	7.88332135682
68	602691.186234	602.691186234	0	7591.62681789	7.59162681789
69	611071.555702	611.071555702	0	8380.36946769	8.38036946769
70	625423.343087	625.423343087	12	14351.7873849	14.3517873849
71	633382.963418	633.382963418	-1	7959.62033097	7.95962033097
72	640038.133311	640.038133311	0	6655.1698931	6.6551698931
73	648953.445907	648.953445907	-2	8915.31259646	8.91531259646
74	656568.025775	656.568025775	0	7614.57986752	7.61457986752
75	664940.968542	664.940968542	0	8372.94276769	8.37294276769
76	679305.388523	679.305388523	12	14364.4199801	14.3644199801
77	687338.217945	687.338217945	-1	8032.82942209	8.03282942209
78	694017.65007	694.01765007	0	6679.43212504	6.67943212504
79	707974.632755	707.974632755	-12	13956.9826857	13.9569826857
80	714614.623396	714.614623396	0	6639.99064071	6.63999064071
81	724706.564001	724.706564001	2	10091.940605	10.091940605
82	733563.031099	733.563031099	1	8856.46709773	8.85646709773
83	741617.963858	741.617963858	0	8054.93275936	8.05493275936
84	752530.425717	752.530425717	3	10912.4618588	10.9124618588
85	760422.556434	760.422556434	-1	7892.13071728	7.89213071728
