time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000199533227681	0.287865598069	NaN	0	NaN	NaN	0
20000	20	0.000200552033068	0.289335423547	NaN	1	11211.9633894	11.2119633894	0
30000	30	0.000215206567856	0.310477448213	0.0978082691003	2	20448.1688348	20.4481688348	2
40000	40	0.000230685294152	0.33280852988	0.140272239948	3	33897.5659326	33.8975659326	3
50000	50	0.000211368987667	0.304940990304	0.233318080351	5	49758.8547658	49.7588547658	5
60000	60	0.000211258952515	0.304782243136	0.271877648965	6	57046.8924657	57.0468924657	6
70000	70	0.000228605723295	0.329808343317	0.255529932652	7	65918.4204275	65.9184204275	6
80000	80	0.000210138231539	0.303165384542	0.269058619122	8	78049.9062567	78.0499062567	7
90000	90	0.000204909861635	0.29562244121	0.299025406647	9	84806.840649	84.806840649	8
100000	100	0.000203213334391	0.293174869769	0.282941779088	10	93925.4176061	93.9254176061	8
