idx	time	time_seconds	symbol	interval	interval_seconds
1	11211.9633894	11.2119633894	-13	11211.9633894	11.2119633894
2	20448.1688348	20.4481688348	3	9236.20544536	9.23620544536
3	33897.5659326	33.8975659326	-8	13449.3970978	13.4493970978
4	41873.1656651	41.8731656651	0	7975.59973249	7.97559973249
5	49758.8547658	49.7588547658	-1	7885.68910067	7.88568910067
6	57046.8924657	57.0468924657	0	7288.03769994	7.28803769994
7	65918.4204275	65.9184204275	-1	8871.52796179	8.87152796179
8	78049.9062567	78.0499062567	-12	12131.4858292	12.1314858292
9	84806.840649	84.806840649	0	6756.93439228	6.75693439228
10	93925.4176061	93.9254176061	1	9118.57695713	9.11857695713
