idx	time	time_seconds	symbol	interval	interval_seconds
1	5695.3745224	5.6953745224	7	5695.3745224	5.6953745224
2	15898.2386059	15.8982386059	-7	10202.8640835	10.2028640835
3	25989.963272	25.989963272	-7	10091.724666	10.091724666
4	35893.5826924	35.8935826924	-7	9903.61942039	9.90361942039
5	45326.9838435	45.3269838435	6	9433.4011511	9.4334011511
6	55634.1503685	55.6341503685	-7	10307.1665251	10.3071665251
7	64507.3254946	64.5073254946	6	8873.17512609	8.87317512609
8	74426.4068605	74.4264068605	6	9919.08136582	9.91908136582
9	84327.7031219	84.3277031219	6	9901.29626144	9.90129626144
10	94224.7470541	94.2247470541	6	9897.04393224	9.89704393224
11	104120.898611	104.120898611	6	9896.15155692	9.89615155692
12	114016.897233	114.016897233	6	9895.99862153	9.89599862153
13	123912.887166	123.912887166	6	9895.98993337	9.89598993337
14	133808.888252	133.808888252	6	9896.00108619	9.89600108619
15	143704.898427	143.704898427	6	9896.01017454	9.89601017454
16	153600.913929	153.600913929	6	9896.01550254	9.89601550254
17	163496.932265	163.496932265	6	9896.01833549	9.89601833549
18	173392.952051	173.392952051	6	9896.01978646	9.89601978646
19	183288.972568	183.288972568	6	9896.02051657	9.89602051657
20	193184.99345	193.18499345	6	9896.02088229	9.89602088229
21	203081.014514	203.081014514	6	9896.02106434	9.89602106434
22	212977.035669	212.977035669	6	9896.02115452	9.89602115452
23	222873.056869	222.873056869	6	9896.02119989	9.89602119989
24	232769.078091	232.769078091	6	9896.02122186	9.89602122186
25	242665.099324	242.665099324	6	9896.0212335	9.8960212335
26	252561.120563	252.561120563	6	9896.02123911	9.89602123911
27	262457.141805	262.457141805	6	9896.02124136	9.89602124136
28	272353.163048	272.353163048	6	9896.021243	9.896021243
29	282249.184291	282.249184291	6	9896.02124331	9.89602124331
30	292145.205535	292.145205535	6	9896.02124407	9.89602124407
31	302041.22678	302.04122678	6	9896.02124464	9.89602124464
32	311937.248024	311.937248024	6	9896.02124395	9.89602124395
33	321833.269268	321.833269268	6	9896.02124431	9.89602124431
