idx	time	time_seconds	symbol	interval	interval_seconds
1	1052.0539333	1.0520539333	0	1052.0539333	1.0520539333
2	10683.8534215	10.6838534215	2	9631.79948817	9.63179948817
3	18674.7008147	18.6747008147	0	7990.84739325	7.99084739325
4	27841.3999954	27.8413999954	1	9166.69918068	9.16669918068
5	36819.3222537	36.8193222537	-2	8977.92225825	8.97792225825
6	43656.6916763	43.6566916763	0	6837.36942267	6.83736942267
7	52622.6426162	52.6226426162	1	8965.9509399	8.9659509399
8	60887.9825434	60.8879825434	0	8265.33992714	8.26533992714
9	74661.4719835	74.6614719835	11	13773.4894402	13.7734894402
10	82778.0572995	82.7780572995	-1	8116.58531591	8.11658531591
11	89261.0978681	89.2610978681	-1	6483.04056866	6.48304056866
12	96637.9331533	96.6379331533	0	7376.83528522	7.37683528522
13	105914.295802	105.914295802	1	9276.36264845	9.27636264845
14	119777.40379	119.77740379	-11	13863.1079884	13.8631079884
15	127691.149323	127.691149323	1	7913.74553251	7.91374553251
16	140465.891673	140.465891673	-11	12774.74235	12.77474235
17	148350.981722	148.350981722	0	7885.09004914	7.88509004914
18	161346.566306	161.346566306	-11	12995.5845839	12.9955845839
19	168255.456443	168.255456443	-1	6908.89013719	6.90889013719
20	176056.745882	176.056745882	0	7801.28943865	7.80128943865
21	189702.471178	189.702471178	-10	13645.7252967	13.6457252967
22	196726.200437	196.726200437	-1	7023.72925844	7.02372925844
23	203723.399479	203.723399479	-1	6997.19904215	6.99719904215
24	211310.008627	211.310008627	1	7586.60914804	7.58660914804
25	222377.291786	222.377291786	3	11067.2831591	11.0672831591
26	235493.604029	235.493604029	-11	13116.312243	13.116312243
27	243572.914988	243.572914988	0	8079.31095928	8.07931095928
28	257617.922952	257.617922952	-11	14045.0079635	14.0450079635
29	269649.728154	269.649728154	10	12031.8052022	12.0318052022
30	283402.205185	283.402205185	9	13752.4770313	13.7524770313
31	296562.420484	296.562420484	10	13160.2152983	13.1602152983
32	309769.418754	309.769418754	10	13206.9982699	13.2069982699
33	322800.323197	322.800323197	-10	13030.9044431	13.0309044431
34	330369.710916	330.369710916	-1	7569.38771912	7.56938771912
35	338250.955123	338.250955123	0	7881.24420752	7.88124420752
36	350507.101629	350.507101629	-11	12256.1465054	12.2561465054
37	359101.204899	359.101204899	0	8594.10327019	8.59410327019
38	371219.811821	371.219811821	-11	12118.606922	12.118606922
39	380294.873099	380.294873099	-1	9075.06127768	9.07506127768
40	391221.496059	391.221496059	-11	10926.6229609	10.9266229609
41	398780.38761	398.78038761	-1	7558.89155025	7.55889155025
42	407257.050941	407.257050941	2	8476.66333175	8.47666333175
43	416284.611031	416.284611031	-2	9027.56008913	9.02756008913
44	424249.542259	424.249542259	0	7964.93122862	7.96493122862
45	433640.503175	433.640503175	1	9390.96091529	9.39096091529
46	447197.967584	447.197967584	11	13557.4644093	13.5574644093
47	455261.229374	455.261229374	-1	8063.26179061	8.06326179061
48	462152.068252	462.152068252	-1	6890.83887752	6.89083887752
49	469659.387059	469.659387059	1	7507.31880741	7.50731880741
50	479178.597621	479.178597621	-2	9519.21056151	9.51921056151
51	487347.78283	487.34778283	-3	8169.18520932	8.16918520932
52	495303.998307	495.303998307	0	7956.21547639	7.95621547639
53	503255.259196	503.255259196	-1	7951.26088944	7.95126088944
54	510019.325816	510.019325816	0	6764.06662024	6.76406662024
55	519201.837128	519.201837128	-2	9182.51131219	9.18251131219
56	525829.506338	525.829506338	-1	6627.66920905	6.62766920905
57	533218.708634	533.218708634	1	7389.2022969	7.3892022969
58	541134.927117	541.134927117	-1	7916.21848226	7.91621848226
59	549016.001681	549.016001681	0	7881.07456452	7.88107456452
60	558135.151111	558.135151111	-1	9119.14942944	9.11914942944
61	570080.097868	570.080097868	11	11944.9467572	11.9449467572
62	580649.355417	580.649355417	-3	10569.2575494	10.5692575494
63	592996.648409	592.996648409	10	12347.2929915	12.3472929915
64	601931.662976	601.931662976	-2	8935.01456722	8.93501456722
65	609524.523781	609.524523781	0	7592.86080499	7.59286080499
66	620448.097733	620.448097733	-4	10923.5739519	10.9235739519
67	627598.108077	627.598108077	1	7150.01034403	7.15001034403
68	635676.2132	635.6762132	0	8078.10512284	8.07810512284
69	649587.454669	649.587454669	-9	13911.2414695	13.9112414695
70	658008.216284	658.008216284	-3	8420.76161446	8.42076161446
71	665612.895115	665.612895115	-1	7604.67883163	7.60467883163
72	676959.680224	676.959680224	-11	11346.7851089	11.3467851089
73	684740.070141	684.740070141	0	7780.38991731	7.78038991731
74	698548.590998	698.548590998	-11	13808.520857	13.808520857
75	710870.964209	710.870964209	9	12322.3732104	12.3223732104
76	723967.022868	723.967022868	10	13096.0586591	13.0960586591
77	736834.841312	736.834841312	10	12867.8184445	12.8678184445
78	749702.763486	749.702763486	10	12867.9221738	12.8679221738
79	762743.424284	762.743424284	10	13040.6607981	13.0406607981
80	775908.733233	775.908733233	10	13165.3089485	13.1653089485
81	785004.385588	785.004385588	1	9095.65235554	9.09565235554
82	798530.591709	798.530591709	10	13526.2061203	13.5262061203
83	811926.508042	811.926508042	-11	13395.9163334	13.3959163334
84	823282.141241	823.282141241	10	11355.6331985	11.3556331985
85	836336.140176	836.336140176	10	13053.9989357	13.0539989357
86	849517.272819	849.517272819	10	13181.132643	13.181132643
87	858702.445472	858.702445472	1	9185.17265235	9.18517265235
88	872008.162319	872.008162319	-11	13305.7168477	13.3057168477
89	884545.757895	884.545757895	-10	12537.595576	12.537595576
90	896315.464121	896.315464121	10	11769.7062255	11.7697062255
91	908389.01175	908.38901175	5	12073.5476289	12.0735476289
92	920605.282895	920.605282895	5	12216.2711454	12.2162711454
93	934298.417509	934.298417509	10	13693.134614	13.693134614
94	947828.366494	947.828366494	10	13529.948985	13.529948985
95	960949.989432	960.949989432	-9	13121.6229376	13.1216229376
96	968891.356449	968.891356449	-1	7941.36701754	7.94136701754
97	977123.979071	977.123979071	-2	8232.62262166	8.23262262166
98	988888.00686	988.88800686	-10	11764.0277891	11.7640277891
99	996760.921421	996.760921421	0	7872.91456146	7.87291456146
100	1009411.83661	1009.41183661	-11	12650.9151895	12.6509151895
101	1017259.6098	1017.2596098	-1	7847.7731895	7.8477731895
102	1028980.22983	1028.98022983	-10	11720.620032	11.720620032
103	1037174.16274	1037.17416274	0	8193.93291247	8.19393291247
104	1049415.21992	1049.41521992	-11	12241.0571773	12.2410571773
105	1057809.77576	1057.80977576	0	8394.55583367	8.39455583367
106	1069867.37127	1069.86737127	-11	12057.5955172	12.0575955172
107	1078897.38851	1078.89738851	-1	9030.01723521	9.03001723521
108	1089806.41189	1089.80641189	-11	10909.023384	10.909023384
109	1097297.94811	1097.29794811	-1	7491.53621648	7.49153621648
110	1105147.86374	1105.14786374	-2	7849.91563602	7.84991563602
111	1112934.22613	1112.93422613	1	7786.36238784	7.78636238784
112	1125945.11995	1125.94511995	-11	13010.8938163	13.0108938163
113	1133712.57831	1133.71257831	0	7767.45836196	7.76745836196
114	1147306.46854	1147.30646854	-11	13593.8902292	13.5938902292
115	1156906.5842	1156.9065842	-4	9600.11565792	9.60011565792
116	1165560.3811	1165.5603811	-3	8653.79690088	8.65379690088
117	1173328.53008	1173.32853008	1	7768.14897869	7.76814897869
118	1186366.94487	1186.36694487	-11	13038.4147968	13.0384147968
119	1194151.21485	1194.15121485	0	7784.26997287	7.78426997287
120	1208024.44548	1208.02444548	-11	13873.23063	13.87323063
121	1219695.59316	1219.69559316	-10	11671.1476869	11.6711476869
122	1227708.84979	1227.70884979	-1	8013.25662793	8.01325662793
123	1237917.95339	1237.91795339	4	10209.1035932	10.2091035932
124	1250849.51403	1250.84951403	-11	12931.5606415	12.9315606415
125	1257910.81398	1257.91081398	-1	7061.29994996	7.06129994996
126	1265598.60945	1265.59860945	0	7687.79546847	7.68779546847
127	1278291.48062	1278.29148062	11	12692.8711699	12.6928711699
128	1286405.55816	1286.40555816	-1	8114.07754286	8.11407754286
129	1294438.83147	1294.43883147	0	8033.27331465	8.03327331465
130	1308580.64647	1308.58064647	-10	14141.8149975	14.1418149975
131	1319898.2176	1319.8982176	6	11317.5711316	11.3175711316
132	1333537.95494	1333.53795494	10	13639.7373394	13.6397373394
133	1346348.76976	1346.34876976	-11	12810.8148137	12.8108148137
134	1357839.4307	1357.8394307	-10	11490.660948	11.490660948
135	1365733.34903	1365.73334903	-1	7893.91832727	7.89391832727
136	1374228.52647	1374.22852647	-1	8495.17743776	8.49517743776
137	1385024.26691	1385.02426691	-11	10795.7404442	10.7957404442
138	1393178.26211	1393.17826211	0	8153.99519572	8.15399519572
139	1405502.18788	1405.50218788	-11	12323.9257699	12.3239257699
140	1413996.02808	1413.99602808	0	8493.84020528	8.49384020528
141	1425955.10681	1425.95510681	-11	11959.0787249	11.9590787249
142	1434587.09352	1434.58709352	-1	8631.98670869	8.63198670869
143	1446636.54089	1446.63654089	10	12049.4473684	12.0494473684
144	1460434.03213	1460.43403213	-11	13797.4912434	13.7974912434
